node,layer,lat,lon,degree,geometry
7551,5,53.71759,-0.44219,12,"-0.44219, 53.71759"
11956,5,53.78166,-0.40643,21,"-0.40643, 53.78166"
13144,5,53.71717,-0.50782,13,"-0.50782, 53.71717"
13754,5,53.73781,-0.39873,20,"-0.39873, 53.73781"
21108,5,54.00154,-0.43467,29,"-0.43467, 54.00154"
21686,5,53.68906,-0.96086,12,"-0.96086, 53.68906"
27803,5,53.72724,-0.57944,23,"-0.57944, 53.72724"
42150,5,53.70493,-0.87422,37,"-0.87422, 53.70493"
45116,5,53.74417,-0.34568,72,"-0.34568, 53.74417"
49143,5,53.8423,-0.42388,20,"-0.42388, 53.8423"
51923,5,53.74985,-0.46945,2,"-0.46945, 53.74985"
51924,5,53.74953,-0.47095,2,"-0.47095, 53.74953"
52086,5,53.75145,-0.17396,2,"-0.17396, 53.75145"
52087,5,53.73723,-0.20627,2,"-0.20627, 53.73723"
52088,5,53.82217,-0.22494,2,"-0.22494, 53.82217"
52089,5,53.82223,-0.22471,2,"-0.22471, 53.82223"
52570,5,53.79587,-0.32532,3,"-0.32532, 53.79587"
52582,5,53.78409,-0.31113,2,"-0.31113, 53.78409"
52583,5,53.7831,-0.30935,2,"-0.30935, 53.7831"
52584,5,53.81006,-0.3374,3,"-0.3374, 53.81006"
53475,5,53.7637,-0.10922,4,"-0.10922, 53.7637"
53476,5,53.79725,-0.09857,4,"-0.09857, 53.79725"
53671,5,53.80272,-0.3249,2,"-0.3249, 53.80272"
54021,5,53.75117,-0.45387,3,"-0.45387, 53.75117"
54022,5,53.75496,-0.44681,3,"-0.44681, 53.75496"
54023,5,53.75447,-0.4498,2,"-0.4498, 53.75447"
54027,5,53.75084,-0.4636,2,"-0.4636, 53.75084"
54029,5,53.75078,-0.46714,3,"-0.46714, 53.75078"
54031,5,53.75098,-0.45776,3,"-0.45776, 53.75098"
54034,5,53.75123,-0.45951,4,"-0.45951, 53.75123"
54055,5,53.74347,-0.31315,2,"-0.31315, 53.74347"
54056,5,53.76519,-0.28428,3,"-0.28428, 53.76519"
54057,5,53.7653,-0.28427,2,"-0.28427, 53.7653"
54058,5,53.77038,-0.29544,3,"-0.29544, 53.77038"
54059,5,53.77838,-0.29181,2,"-0.29181, 53.77838"
54060,5,53.78398,-0.29433,3,"-0.29433, 53.78398"
54067,5,53.74499,-0.33053,6,"-0.33053, 53.74499"
54388,5,53.73591,-0.36141,3,"-0.36141, 53.73591"
54389,5,53.73246,-0.38679,3,"-0.38679, 53.73246"
54390,5,53.72561,-0.41619,2,"-0.41619, 53.72561"
54391,5,53.72698,-0.41125,2,"-0.41125, 53.72698"
54393,5,53.73101,-0.39436,2,"-0.39436, 53.73101"
54394,5,53.7295,-0.40174,2,"-0.40174, 53.7295"
54395,5,53.73432,-0.36954,2,"-0.36954, 53.73432"
54396,5,53.73494,-0.36506,2,"-0.36506, 53.73494"
54857,5,53.77745,-0.42964,2,"-0.42964, 53.77745"
54858,5,53.78077,-0.41388,5,"-0.41388, 53.78077"
54859,5,53.78129,-0.41398,5,"-0.41398, 53.78129"
54860,5,53.78093,-0.41387,3,"-0.41387, 53.78093"
54863,5,53.78462,-0.41251,2,"-0.41251, 53.78462"
54864,5,53.78499,-0.40768,2,"-0.40768, 53.78499"
54865,5,53.78507,-0.40753,2,"-0.40753, 53.78507"
55185,5,53.78018,-0.42227,4,"-0.42227, 53.78018"
