ori_node,des_node,ori_layer,des_layer,minutes,km
7551,13144,2,2,4,4.311
7551,45116,2,2,10,6.991
11956,45116,2,2,9,5.763
11956,49143,2,2,6,6.828
13144,7551,2,2,4,4.311
13144,27803,2,2,4,4.835
13144,45116,2,2,17,11.062
21108,49143,2,2,12,17.692
21108,152262,2,2,4,5.092
21108,192986,2,2,3,3.309
21686,42150,2,2,14,5.961
27803,13144,2,2,4,4.835
27803,42150,2,2,14,19.524
27803,45116,2,2,14,15.465
27803,61639,2,2,5,6.331
27803,64892,2,2,11,18.924
27803,242131,2,2,7,10.294
42150,21686,2,2,7,5.961
42150,27803,2,2,13,19.524
42150,183928,2,2,4,4.64
42150,242131,2,2,8,10.479
45116,7551,2,2,7,6.991
45116,11956,2,2,6,5.763
45116,27803,2,2,11,15.465
49143,11956,2,2,5,6.828
49143,21108,2,2,11,17.692
49143,152262,2,2,9,12.602
49143,195330,2,2,4,4.697
61639,27803,2,2,5,6.331
61639,242131,2,2,4,3.962
64892,27803,2,2,10,18.924
64892,192864,2,2,4,4.907
64892,242131,2,2,6,8.63
152262,21108,2,2,4,5.092
152262,49143,2,2,9,12.602
152262,195330,2,2,7,7.904
183928,42150,2,2,5,4.64
183928,242131,2,2,5,5.846
192864,64892,2,2,4,4.907
192864,242131,2,2,3,3.722
192986,21108,2,2,4,3.309
195330,49143,2,2,4,4.697
195330,152262,2,2,7,7.904
242131,27803,2,2,7,10.294
242131,42150,2,2,8,10.479
242131,61639,2,2,4,3.962
242131,64892,2,2,6,8.63
242131,183928,2,2,5,5.846
242131,192864,2,2,4,3.722
