ori_node,des_node,ori_layer,des_layer,minutes,km
2,8200,5,5,5,3.193
2,159671,5,5,6,4.085
25,36488,5,5,1,1.523
25,43457,5,5,4,1.557
68,11638,5,5,8,3.335
68,20040,5,5,4,3.556
68,31918,5,5,6,4.308
68,167754,5,5,3,2.939
226,42890,5,5,1,0.302
226,213194,5,5,1,0.41
306,29273,5,5,1,0.481
359,30380,5,5,2,3.768
359,37821,5,5,1,0.842
359,214923,5,5,1,0.176
374,14882,5,5,4,3.839
374,24652,5,5,3,1.903
374,28534,5,5,1,0.324
509,172322,5,5,1,0.883
592,12535,5,5,1,0.568
592,46417,5,5,1,0.512
1020,12535,5,5,1,0.291
1020,26069,5,5,4,1.964
1020,34442,5,5,2,0.736
1109,35216,5,5,1,0.168
1109,35379,5,5,10,3.808
1109,46707,5,5,1,0.244
1507,14104,5,5,1,0.922
1507,26069,5,5,1,0.723
1509,19481,5,5,1,0.25
1509,40370,5,5,1,0.23
1987,13172,5,5,6,2.341
1987,22878,5,5,5,1.832
1987,34559,5,5,6,4.179
1987,36488,5,5,6,3.565
2025,15932,5,5,1,0.678
2025,24394,5,5,3,0.908
2025,248177,5,5,1,0.094
2225,2225,5,5,1,0
2225,35129,5,5,1,0.095
2225,37746,5,5,4,2.58
2225,44020,5,5,11,8.319
2225,45709,5,5,4,1.536
2225,47848,5,5,5,3.08
2225,89909,5,5,3,4.083
2225,230519,5,5,1,0.22
2593,35218,5,5,5,1.574
2593,89909,5,5,7,4.935
2846,33702,5,5,1,0.207
2846,46363,5,5,3,0.591
2846,79484,5,5,1,0.19
3279,18963,5,5,1,0.461
3279,254081,5,5,1,1.056
3286,7540,5,5,1,0.329
3286,31211,5,5,1,0.263
3957,3957,5,5,1,0
3957,8829,5,5,1,0.684
3957,12180,5,5,1,0.543
3957,31965,5,5,1,0.663
3957,165973,5,5,1,0.326
3957,252182,5,5,1,0.406
4234,6389,5,5,1,0.291
4234,16375,5,5,3,2.906
4234,18248,5,5,2,1.178
4234,28107,5,5,3,2.838
4325,29392,5,5,1,0.361
4325,36255,5,5,1,0.355
4325,59697,5,5,1,0.231
4526,3957,5,5,1,0.781
4526,12180,5,5,1,0.265
4526,38039,5,5,2,0.632
4526,45196,5,5,1,0.262
4870,16210,5,5,1,0.457
4870,210900,5,5,1,0.078
4870,210902,5,5,1,0.403
5134,5725,5,5,1,0.217
5134,33702,5,5,1,0.234
5134,39672,5,5,1,0.153
5512,18405,5,5,3,1.15
5512,43909,5,5,1,0.486
5670,25759,5,5,4,4.221
5670,37733,5,5,1,0.135
5725,5134,5,5,1,0.217
5725,16796,5,5,1,0.249
6042,7501,5,5,1,1.042
6042,21704,5,5,1,0.451
6042,261833,5,5,1,0.644
6297,13984,5,5,2,0.466
6297,38750,5,5,1,0.172
6297,210902,5,5,1,0.349
6389,4234,5,5,1,0.291
6389,18248,5,5,2,0.889
6389,39356,5,5,2,1.474
6436,226,5,5,1,0.662
6436,10669,5,5,1,0.323
6436,17206,5,5,2,0.394
6436,213194,5,5,1,0.252
6713,14292,5,5,1,0.103
6713,16076,5,5,1,0.267
6713,45196,5,5,1,0.3
6713,232518,5,5,1,0.307
6713,242223,5,5,1,0.301
6713,242224,5,5,1,0.38
6713,242225,5,5,2,0.382
6747,24652,5,5,2,0.457
6875,16210,5,5,1,0.307
6875,46363,5,5,1,0.832
7333,28868,5,5,1,0.361
