ori_node,des_node,ori_layer,des_layer,minutes,km
53192,226066,4,4,1,0.129
58332,94560,4,4,13,15.111
59913,102130,4,4,1,0.41
62336,218004,4,4,3,1.707
62336,221977,4,4,2,2.971
64444,248617,4,4,2,1.676
64456,194054,4,4,4,3.676
64459,227126,4,4,5,3.264
64460,64444,4,4,2,1.717
64831,192916,4,4,2,0.593
69786,192916,4,4,21,19.837
87180,64460,4,4,1,0.3
94560,192916,4,4,10,9.241
98673,58332,4,4,10,8.228
99691,197043,4,4,1,0.153
102130,59912,4,4,2,0.234
118030,125045,4,4,1,0.195
122685,59913,4,4,3,0.791
125045,169693,4,4,1,0.206
125046,64831,4,4,1,0.214
125046,149864,4,4,1,0.213
133702,211970,4,4,1,0.215
138473,179494,4,4,1,0.214
139810,172731,4,4,1,0.267
149864,192916,4,4,1,0.554
154712,206773,4,4,12,9.62
158820,62336,4,4,4,1.704
169693,133702,4,4,1,0.196
169694,125046,4,4,1,0.207
172731,122685,4,4,3,0.778
174911,64459,4,4,6,5.183
177224,198864,4,4,1,0.316
179494,169694,4,4,1,0.344
192916,118030,4,4,1,0.569
192916,139810,4,4,1,0.259
192916,161333,4,4,23,19.712
192916,261462,4,4,10,9.267
194047,53192,4,4,1,0.545
194054,87180,4,4,3,3.167
197043,254852,4,4,1,0.685
198779,198861,4,4,1,0.228
198861,138473,4,4,1,0.291
198864,174911,4,4,1,0.2
204470,98673,4,4,14,9.687
211970,177224,4,4,1,0.148
218004,194047,4,4,1,0.5
221977,62336,4,4,3,2.971
226066,74617,4,4,1,0.167
227126,217273,4,4,3,3.641
244221,154712,4,4,10,8.232
248617,198779,4,4,2,1.611
254852,158820,4,4,1,0.438
261462,244221,4,4,14,15.114
