ori_node,des_node,ori_layer,des_layer,minutes,km
117,120,5,5,1,0.941
117,58768,5,5,1,0.149
120,117,5,5,1,0.941
120,58769,5,5,1,0.481
266,4332,5,5,1,4.044
266,16986,5,5,1,0.201
266,203971,5,5,1,0.102
311,8328,5,5,1,1.05
311,200439,5,5,1,1.315
387,11672,5,5,2,1.69
387,130278,5,5,1,0.89
403,387,5,5,3,1.965
403,25060,5,5,4,4.661
403,100873,5,5,1,0.354
403,120527,5,5,1,0.462
474,474,5,5,1,0
474,21009,5,5,1,0.665
474,34227,5,5,1,0.754
474,44408,5,5,4,3.678
474,46687,5,5,1,0.589
474,72171,5,5,2,0.658
474,120741,5,5,15,6.963
474,128876,5,5,1,0.384
474,205613,5,5,1,0.414
474,213683,5,5,3,1.117
474,215278,5,5,2,0.588
474,237700,5,5,1,1.392
550,553,5,5,2,1.123
550,126905,5,5,2,2.833
550,218996,5,5,1,1.4
550,218998,5,5,1,0.072
550,218999,5,5,5,2.334
552,20149,5,5,2,2.076
552,156682,5,5,1,1.158
553,550,5,5,1,1.123
553,9694,5,5,5,3.706
553,218997,5,5,1,1.051
553,250059,5,5,3,1.506
731,33109,5,5,1,0.216
731,44377,5,5,1,0.178
733,135496,5,5,1,0.167
733,189161,5,5,1,0.202
873,4233,5,5,2,1.756
873,99187,5,5,2,1.649
964,143251,5,5,1,0.221
964,153185,5,5,1,0.213
1038,1040,5,5,1,1.606
1038,41990,5,5,3,2.146
1040,1038,5,5,2,1.606
1040,17913,5,5,2,0.42
1388,1394,5,5,2,1.417
1388,230120,5,5,1,0.418
1394,1388,5,5,1,1.417
1394,140179,5,5,1,0.992
1394,140182,5,5,1,1.138
1466,49202,5,5,1,0.215
1466,158601,5,5,1,0.234
1484,1484,5,5,1,0
1484,2015,5,5,1,0.299
1484,5957,5,5,1,0.203
1484,32698,5,5,1,0.723
1484,37691,5,5,1,0.896
1484,97896,5,5,1,0.146
1595,49180,5,5,1,0.392
1595,51035,5,5,1,0.252
1597,1598,5,5,1,0.292
1597,19112,5,5,1,0.219
1597,25059,5,5,1,0.185
1597,38286,5,5,1,0.259
1598,1597,5,5,1,0.292
1598,49180,5,5,1,0.298
