ori_node,des_node,ori_layer,des_layer,minutes,km
474,29621,2,2,5,5.58
474,32698,2,2,11,18.316
9114,103065,2,2,9,9.432
10435,15704,2,2,10,10.414
10435,24363,2,2,5,3.566
10435,32698,2,2,7,3.678
15704,10435,2,2,10,10.414
15704,16850,2,2,4,2.089
16850,15704,2,2,4,2.089
16850,103065,2,2,6,6.618
24363,10435,2,2,5,3.566
24363,27419,2,2,9,12.452
27419,24363,2,2,10,12.452
27419,49569,2,2,6,2.359
29621,474,2,2,5,5.58
29621,32698,2,2,11,12.853
32698,474,2,2,9,18.316
32698,10435,2,2,6,3.678
32698,29621,2,2,9,12.853
49569,27419,2,2,3,2.359
103065,9114,2,2,9,9.432
103065,16850,2,2,7,6.618
