node,layer,lat,lon,degree,geometry
7416,5,50.64647,-1.16635,18,"-1.16635, 50.64647"
14682,5,50.6339,-1.17984,20,"-1.17984, 50.6339"
16552,5,50.72858,-1.21337,10,"-1.21337, 50.72858"
39288,5,50.72435,-1.15657,16,"-1.15657, 50.72435"
42288,5,50.65685,-1.16239,14,"-1.16239, 50.65685"
47788,5,50.7624,-1.2967,11,"-1.2967, 50.7624"
48110,5,50.67836,-1.13872,17,"-1.13872, 50.67836"
51655,5,50.63937,-1.26019,2,"-1.26019, 50.63937"
51902,5,50.69002,-1.43156,2,"-1.43156, 50.69002"
52064,5,50.67306,-1.51728,3,"-1.51728, 50.67306"
52123,5,50.70116,-1.27681,4,"-1.27681, 50.70116"
52282,5,50.75575,-1.31062,2,"-1.31062, 50.75575"
52369,5,50.6837,-1.53795,3,"-1.53795, 50.6837"
52485,5,50.70962,-1.14393,6,"-1.14393, 50.70962"
52607,5,50.62796,-1.19676,2,"-1.19676, 50.62796"
52658,5,50.63328,-1.2355,2,"-1.2355, 50.63328"
52671,5,50.72795,-1.16641,3,"-1.16641, 50.72795"
52809,5,50.67513,-1.11667,2,"-1.11667, 50.67513"
53280,5,50.65745,-1.25603,2,"-1.25603, 50.65745"
53405,5,50.61159,-1.31948,2,"-1.31948, 50.61159"
53451,5,50.70088,-1.29636,2,"-1.29636, 50.70088"
53502,5,50.59247,-1.2173,3,"-1.2173, 50.59247"
53525,5,50.70202,-1.28211,2,"-1.28211, 50.70202"
53692,5,50.6942,-1.30792,2,"-1.30792, 50.6942"
53734,5,50.70283,-1.36135,2,"-1.36135, 50.70283"
53820,5,50.7567,-1.28362,2,"-1.28362, 50.7567"
53834,5,50.72586,-1.1507,2,"-1.1507, 50.72586"
53902,5,50.60074,-1.26705,2,"-1.26705, 50.60074"
53971,5,50.66794,-1.56589,4,"-1.56589, 50.66794"
53983,5,50.60106,-1.18921,2,"-1.18921, 50.60106"
54157,5,50.6908,-1.10009,2,"-1.10009, 50.6908"
54223,5,50.76297,-1.30524,2,"-1.30524, 50.76297"
54229,5,50.67694,-1.24665,2,"-1.24665, 50.67694"
55073,5,50.59601,-1.3182,2,"-1.3182, 50.59601"
55188,5,50.71973,-1.1674,2,"-1.1674, 50.71973"
55320,5,50.65058,-1.45354,2,"-1.45354, 50.65058"
55399,5,50.70527,-1.49464,3,"-1.49464, 50.70527"
55439,5,50.64682,-1.20243,2,"-1.20243, 50.64682"
55595,5,50.73048,-1.30662,2,"-1.30662, 50.73048"
55801,5,50.6274,-1.1883,2,"-1.1883, 50.6274"
56071,5,50.71519,-1.11273,2,"-1.11273, 50.71519"
56093,5,50.66387,-1.1359,2,"-1.1359, 50.66387"
56205,5,50.71207,-1.27991,2,"-1.27991, 50.71207"
56578,5,50.64637,-1.40676,4,"-1.40676, 50.64637"
56819,5,50.65948,-1.21204,2,"-1.21204, 50.65948"
57075,5,50.65435,-1.20224,3,"-1.20224, 50.65435"
57154,5,50.62609,-1.22374,2,"-1.22374, 50.62609"
57600,5,50.74076,-1.32223,2,"-1.32223, 50.74076"
57843,5,50.70381,-1.33747,2,"-1.33747, 50.70381"
57939,5,50.64192,-1.37771,2,"-1.37771, 50.64192"
57992,5,50.6054,-1.22448,2,"-1.22448, 50.6054"
58018,5,50.71271,-1.19248,3,"-1.19248, 50.71271"
58170,5,50.64818,-1.41255,2,"-1.41255, 50.64818"
58368,5,50.64679,-1.1767,3,"-1.1767, 50.64679"
59305,5,50.61889,-1.32062,2,"-1.32062, 50.61889"
59593,5,50.73823,-1.30881,2,"-1.30881, 50.73823"
59812,5,50.71795,-1.19108,2,"-1.19108, 50.71795"
59934,5,50.75106,-1.28456,3,"-1.28456, 50.75106"
60036,5,50.67985,-1.51772,2,"-1.51772, 50.67985"
60113,5,50.62668,-1.17875,2,"-1.17875, 50.62668"
60306,5,50.6314,-1.31644,2,"-1.31644, 50.6314"
60592,5,50.65513,-1.21134,2,"-1.21134, 50.65513"
60701,5,50.72805,-1.23987,2,"-1.23987, 50.72805"
61621,5,50.65456,-1.43799,2,"-1.43799, 50.65456"
61811,5,50.68234,-1.51654,4,"-1.51654, 50.68234"
61903,5,50.73049,-1.30644,2,"-1.30644, 50.73049"
61972,5,50.66329,-1.15386,2,"-1.15386, 50.66329"
61994,5,50.76088,-1.30364,2,"-1.30364, 50.76088"
62213,5,50.69136,-1.52604,2,"-1.52604, 50.69136"
62285,5,50.6591,-1.19575,3,"-1.19575, 50.6591"
62331,5,50.69854,-1.29857,3,"-1.29857, 50.69854"
62499,5,50.67497,-1.11712,2,"-1.11712, 50.67497"
62898,5,50.66165,-1.25475,2,"-1.25475, 50.66165"
63075,5,50.6116,-1.31989,2,"-1.31989, 50.6116"
63143,5,50.66255,-1.15766,2,"-1.15766, 50.66255"
63196,5,50.59247,-1.21931,2,"-1.21931, 50.59247"
63218,5,50.7552,-1.2827,2,"-1.2827, 50.7552"
63360,5,50.67925,-1.30833,2,"-1.30833, 50.67925"
63463,5,50.70622,-1.28138,2,"-1.28138, 50.70622"
63464,5,50.69168,-1.31289,3,"-1.31289, 50.69168"
63535,5,50.64949,-1.26659,2,"-1.26659, 50.64949"
63595,5,50.66984,-1.55467,3,"-1.55467, 50.66984"
63690,5,50.65628,-1.15056,3,"-1.15056, 50.65628"
63804,5,50.67419,-1.10311,2,"-1.10311, 50.67419"
63835,5,50.60994,-1.18776,2,"-1.18776, 50.60994"
64040,5,50.72886,-1.3284,2,"-1.3284, 50.72886"
64794,5,50.71958,-1.16699,2,"-1.16699, 50.71958"
64801,5,50.67854,-1.24952,3,"-1.24952, 50.67854"
65023,5,50.64696,-1.20203,2,"-1.20203, 50.64696"
65116,5,50.63098,-1.22245,2,"-1.22245, 50.63098"
65345,5,50.71878,-1.14652,3,"-1.14652, 50.71878"
65383,5,50.59905,-1.18975,2,"-1.18975, 50.59905"
65619,5,50.70369,-1.11515,2,"-1.11515, 50.70369"
65673,5,50.71773,-1.11313,3,"-1.11313, 50.71773"
66197,5,50.68012,-1.40677,2,"-1.40677, 50.68012"
66438,5,50.65957,-1.2117,2,"-1.2117, 50.65957"
66703,5,50.59478,-1.20242,5,"-1.20242, 50.59478"
66786,5,50.70366,-1.22306,3,"-1.22306, 50.70366"
67226,5,50.69681,-1.11346,3,"-1.11346, 50.69681"
67478,5,50.70404,-1.33374,2,"-1.33374, 50.70404"
67617,5,50.64175,-1.3778,2,"-1.3778, 50.64175"
67672,5,50.69415,-1.26123,2,"-1.26123, 50.69415"
67673,5,50.72287,-1.18933,2,"-1.18933, 50.72287"
67674,5,50.725,-1.18869,2,"-1.18869, 50.725"
67675,5,50.6917,-1.2544,2,"-1.2544, 50.6917"
67983,5,50.68141,-1.22621,2,"-1.22621, 50.68141"
68544,5,50.65253,-1.17114,2,"-1.17114, 50.65253"
68951,5,50.61915,-1.32062,2,"-1.32062, 50.61915"
69172,5,50.69619,-1.30914,2,"-1.30914, 50.69619"
69230,5,50.69275,-1.13985,2,"-1.13985, 50.69275"
69538,5,50.75129,-1.28459,4,"-1.28459, 50.75129"
69621,5,50.67661,-1.51803,2,"-1.51803, 50.67661"
69682,5,50.59263,-1.22766,4,"-1.22766, 50.59263"
70250,5,50.58722,-1.24036,2,"-1.24036, 50.58722"
70266,5,50.69007,-1.52637,2,"-1.52637, 50.69007"
70391,5,50.68216,-1.08969,2,"-1.08969, 50.68216"
71313,5,50.68214,-1.51673,4,"-1.51673, 50.68214"
71406,5,50.5863,-1.30633,2,"-1.30633, 50.5863"
71838,5,50.59712,-1.1935,2,"-1.1935, 50.59712"
71992,5,50.67552,-1.5087,2,"-1.5087, 50.67552"
72012,5,50.70831,-1.1165,2,"-1.1165, 50.70831"
72368,5,50.74469,-1.31354,2,"-1.31354, 50.74469"
72403,5,50.63474,-1.25717,2,"-1.25717, 50.63474"
72568,5,50.64278,-1.31971,4,"-1.31971, 50.64278"
72736,5,50.75543,-1.28254,2,"-1.28254, 50.75543"
72929,5,50.70929,-1.20894,2,"-1.20894, 50.70929"
72988,5,50.66138,-1.15198,2,"-1.15198, 50.66138"
73224,5,50.75518,-1.31445,2,"-1.31445, 50.75518"
73324,5,50.72648,-1.17537,2,"-1.17537, 50.72648"
73472,5,50.71449,-1.11885,3,"-1.11885, 50.71449"
73923,5,50.60698,-1.18141,2,"-1.18141, 50.60698"
73949,5,50.75097,-1.28255,3,"-1.28255, 50.75097"
74125,5,50.60424,-1.31774,2,"-1.31774, 50.60424"
74238,5,50.72229,-1.16714,2,"-1.16714, 50.72229"
74242,5,50.67859,-1.25007,3,"-1.25007, 50.67859"
74267,5,50.61575,-1.22164,2,"-1.22164, 50.61575"
74479,5,50.59757,-1.20064,2,"-1.20064, 50.59757"
74583,5,50.63073,-1.22203,2,"-1.22203, 50.63073"
74737,5,50.68442,-1.0872,2,"-1.0872, 50.68442"
75218,5,50.75571,-1.28056,2,"-1.28056, 50.75571"
75262,5,50.7073,-1.47949,2,"-1.47949, 50.7073"
75292,5,50.68118,-1.33476,2,"-1.33476, 50.68118"
75408,5,50.70353,-1.36967,2,"-1.36967, 50.70353"
75564,5,50.65052,-1.16646,3,"-1.16646, 50.65052"
76347,5,50.70344,-1.22296,2,"-1.22296, 50.70344"
76848,5,50.76049,-1.32322,2,"-1.32322, 50.76049"
77105,5,50.70428,-1.33393,2,"-1.33393, 50.70428"
77565,5,50.70058,-1.28532,2,"-1.28532, 50.70058"
77647,5,50.65796,-1.22684,2,"-1.22684, 50.65796"
77937,5,50.62681,-1.17929,2,"-1.17929, 50.62681"
78237,5,50.75896,-1.30143,2,"-1.30143, 50.75896"
78336,5,50.6313,-1.18752,2,"-1.18752, 50.6313"
78896,5,50.69169,-1.30895,3,"-1.30895, 50.69169"
78930,5,50.69298,-1.13984,2,"-1.13984, 50.69298"
79300,5,50.7035,-1.28446,2,"-1.28446, 50.7035"
79375,5,50.67635,-1.51774,2,"-1.51774, 50.67635"
79407,5,50.71774,-1.17087,2,"-1.17087, 50.71774"
79933,5,50.59817,-1.19806,2,"-1.19806, 50.59817"
80136,5,50.67939,-1.08847,2,"-1.08847, 50.67939"
80576,5,50.63763,-1.25874,2,"-1.25874, 50.63763"
80822,5,50.69262,-1.43325,2,"-1.43325, 50.69262"
80842,5,50.71913,-1.24214,3,"-1.24214, 50.71913"
81475,5,50.64657,-1.1969,2,"-1.1969, 50.64657"
81487,5,50.59456,-1.20722,2,"-1.20722, 50.59456"
81586,5,50.62855,-1.19682,2,"-1.19682, 50.62855"
81603,5,50.70497,-1.29818,2,"-1.29818, 50.70497"
81695,5,50.67015,-1.50724,2,"-1.50724, 50.67015"
81735,5,50.70829,-1.11615,2,"-1.11615, 50.70829"
82152,5,50.6572,-1.25581,2,"-1.25581, 50.6572"
82318,5,50.76007,-1.31946,2,"-1.31946, 50.76007"
82430,5,50.66666,-1.25442,2,"-1.25442, 50.66666"
82655,5,50.7093,-1.20859,2,"-1.20859, 50.7093"
82724,5,50.65507,-1.15181,3,"-1.15181, 50.65507"
82975,5,50.70487,-1.29851,2,"-1.29851, 50.70487"
83069,5,50.76304,-1.30477,2,"-1.30477, 50.76304"
83224,5,50.68259,-1.33111,2,"-1.33111, 50.68259"
