ori_node,des_node,ori_layer,des_layer,minutes,km
299,28355,5,5,1,0.293
299,36946,5,5,1,0.343
299,47425,5,5,5,2.505
300,17313,5,5,1,1.886
300,38129,5,5,20,13.036
300,237813,5,5,2,2.211
302,41620,5,5,1,0.53
302,49768,5,5,8,6.27
377,299,5,5,6,5.966
377,9931,5,5,1,0.489
377,9934,5,5,1,0.221
377,36872,5,5,1,0.119
377,42311,5,5,2,1.605
377,169319,5,5,1,0.44
382,25086,5,5,4,0.908
382,134336,5,5,2,1.044
984,4071,5,5,2,1.445
984,151373,5,5,1,0.387
2223,2224,5,5,1,0.36
2223,29184,5,5,2,0.578
2223,38129,5,5,15,6.807
2223,39635,5,5,4,1.094
2223,43204,5,5,15,5.134
2223,45192,5,5,6,2.167
2224,2223,5,5,1,0.36
2224,2224,5,5,1,0
2224,4118,5,5,12,4.562
2224,37413,5,5,1,0.749
2227,17312,5,5,1,0.228
2227,17324,5,5,1,0.77
2227,36024,5,5,2,0.759
2227,36625,5,5,1,0.536
2372,36631,5,5,1,0.596
2372,49768,5,5,1,0.425
2372,94669,5,5,1,0.278
2372,227585,5,5,5,1.085
2852,10159,5,5,1,1.515
2910,4062,5,5,1,1.244
2910,29187,5,5,2,1.686
2910,42311,5,5,15,3.099
2910,190005,5,5,1,0.714
3496,17312,5,5,2,0.592
3496,57893,5,5,1,0.121
3497,36626,5,5,1,0.338
3497,57895,5,5,1,0.072
4062,2910,5,5,1,1.244
4062,4068,5,5,2,1.796
4062,4069,5,5,1,1.206
4062,9931,5,5,4,3.155
4062,29185,5,5,3,1.86
4062,29187,5,5,3,2.341
4062,82413,5,5,1,1.574
4062,190005,5,5,1,0.53
4062,220509,5,5,2,0.798
4067,4067,5,5,1,0
4067,9934,5,5,1,0.406
4067,47425,5,5,2,3.419
4067,212789,5,5,2,1.828
4068,4062,5,5,4,1.796
4068,4069,5,5,1,0.589
4068,42311,5,5,1,0.242
4069,4068,5,5,1,0.589
4069,4069,5,5,1,0
4069,220509,5,5,1,0.409
4071,984,5,5,3,1.445
4071,30218,5,5,3,3.428
4118,4118,5,5,1,0
4118,7362,5,5,1,1.385
4118,25829,5,5,1,0.494
4118,38129,5,5,2,1.913
4151,27017,5,5,10,4.345
4151,127621,5,5,1,0.147
4152,30849,5,5,1,0.227
4152,91731,5,5,2,0.887
4220,17422,5,5,1,0.436
4220,26699,5,5,1,0.578
4459,27517,5,5,2,1.237
4459,169319,5,5,1,0.516
4460,36872,5,5,1,2.013
4460,47424,5,5,2,1.051
6009,27501,5,5,1,0.461
6009,64795,5,5,3,1.038
6009,64796,5,5,3,1.432
6012,25086,5,5,1,0.474
6012,30215,5,5,1,0.296
6385,6385,5,5,1,0
6385,28364,5,5,2,0.621
6385,67564,5,5,11,3.191
6385,210036,5,5,1,1.071
6470,23331,5,5,4,2.051
6470,38129,5,5,4,2.985
6470,41620,5,5,2,1.257
7261,7261,5,5,1,0
7261,44983,5,5,1,0.421
7261,49844,5,5,1,0.602
7362,4118,5,5,2,1.385
7362,37413,5,5,3,2.651
8037,25086,5,5,3,2.583
8037,30217,5,5,5,3.578
9931,377,5,5,1,0.489
9931,4062,5,5,5,3.155
9931,9931,5,5,1,0
9931,36872,5,5,1,0.536
9931,42311,5,5,1,1.124
9934,377,5,5,1,0.221
9934,4067,5,5,1,0.406
9934,69797,5,5,1,0.314
9934,258425,5,5,1,0.13
10159,2852,5,5,1,1.515
10159,15708,5,5,1,0.928
10161,11663,5,5,1,1.283
10161,43204,5,5,2,0.813
10161,45192,5,5,4,2.459
10161,167153,5,5,1,0.423
10161,176999,5,5,1,0.79
11072,11073,5,5,1,0.705
11072,29187,5,5,2,1.778
11073,11072,5,5,1,0.705
11073,15581,5,5,1,1.379
11663,10161,5,5,2,1.283
11663,11663,5,5,1,0
11663,15708,5,5,1,0.628
11663,176996,5,5,2,0.482
11788,17392,5,5,1,0.16
11788,39979,5,5,3,1.252
11788,112079,5,5,3,1.66
11788,251592,5,5,2,0.412
15454,36629,5,5,1,0.462
15454,253362,5,5,1,0.247
15581,11073,5,5,1,1.379
15581,30983,5,5,1,3.539
15581,82413,5,5,2,6.808
15581,169887,5,5,1,1.932
15581,223682,5,5,6,3.887
15708,10159,5,5,1,0.928
15708,11663,5,5,1,0.628
16527,39979,5,5,1,0.651
16527,219199,5,5,1,0.282
17312,2227,5,5,1,0.228
17312,17312,5,5,1,0
17312,26699,5,5,5,2.053
17312,96634,5,5,1,0.533
17312,164391,5,5,2,0.849
17312,183925,5,5,1,0.369
17312,183929,5,5,2,0.454
17313,300,5,5,1,1.886
17313,17313,5,5,1,0
17313,67564,5,5,4,1.731
17313,67567,5,5,4,1.54
17313,112179,5,5,1,0.431
17313,208282,5,5,1,0.313
17313,237813,5,5,3,4.084
17324,2227,5,5,1,0.77
17324,17324,5,5,1,0
17324,24137,5,5,5,2.289
17324,36024,5,5,1,0.363
17324,94670,5,5,1,0.193
17324,103250,5,5,1,0.306
17324,123785,5,5,1,0.403
17324,160089,5,5,1,0.584
17324,169973,5,5,5,1.8
17392,11788,5,5,1,0.16
17392,211488,5,5,1,0.389
17422,4220,5,5,1,0.436
17422,26699,5,5,1,0.979
17422,49767,5,5,8,6.26
18680,91899,5,5,2,0.83
18898,26656,5,5,2,0.582
18898,158049,5,5,6,4.88
18898,202000,5,5,2,0.532
19317,19327,5,5,1,0.75
19317,36544,5,5,5,2.33
19317,36625,5,5,13,2.57
19317,169973,5,5,5,1.132
19325,24137,5,5,1,0.763
19325,105860,5,5,2,2.693
19327,19317,5,5,4,0.75
19327,30218,5,5,1,1.612
19327,38058,5,5,1,0.332
19327,96633,5,5,2,0.967
19327,169973,5,5,2,0.552
19327,248257,5,5,1,0.613
23331,25542,5,5,1,0.5
23331,41620,5,5,1,0.797
24137,17312,5,5,2,1.306
24137,19325,5,5,1,0.763
24137,24137,5,5,1,0
24137,38060,5,5,1,0.541
24137,169973,5,5,2,0.622
24137,174150,5,5,1,0.387
25086,382,5,5,3,0.908
25086,6012,5,5,2,0.474
25086,104434,5,5,1,0.519
25542,23331,5,5,1,0.5
25542,25542,5,5,1,0
25542,26699,5,5,12,7.054
25542,201721,5,5,1,0.674
25829,4118,5,5,1,0.494
25829,44982,5,5,1,0.595
25829,206917,5,5,5,1.479
26656,18898,5,5,2,0.582
26656,26656,5,5,1,0
26656,35916,5,5,4,1.614
26656,128817,5,5,1,0.297
26699,4220,5,5,1,0.578
26699,17312,5,5,4,2.053
26699,24137,5,5,9,3.187
26699,26699,5,5,1,0
26699,36024,5,5,2,1.291
26699,38129,5,5,20,11.833
26699,67564,5,5,2,0.606
26699,67567,5,5,7,2.986
26699,97132,5,5,1,0.875
26699,97848,5,5,11,6.863
26699,112641,5,5,1,0.924
26699,152038,5,5,1,0.823
26699,169973,5,5,6,2.945
26699,193672,5,5,1,0.6
27017,4151,5,5,10,4.345
27501,4460,5,5,1,0.197
27501,6009,5,5,2,0.461
27501,36872,5,5,3,1.915
27501,47424,5,5,2,1.234
27517,4459,5,5,3,1.237
27517,82424,5,5,1,0.523
28355,299,5,5,1,0.293
28355,37194,5,5,4,1.788
28355,83501,5,5,2,0.829
28364,15454,5,5,1,0.47
28364,182127,5,5,1,0.324
28442,28442,5,5,1,0
28442,36404,5,5,3,2.681
28442,112077,5,5,8,2.183
28444,82413,5,5,15,10.64
28444,223682,5,5,4,2.94
29184,2223,5,5,2,0.578
29184,31880,5,5,1,0.419
29184,71361,5,5,1,0.476
29185,300,5,5,2,2.458
29185,97848,5,5,1,0.377
29187,2910,5,5,2,1.686
29187,11072,5,5,2,1.778
29187,42311,5,5,5,3.283
29840,30215,5,5,5,5.814
29857,34120,5,5,3,2.635
29857,44073,5,5,3,1.675
30214,36544,5,5,5,2.386
30214,49189,5,5,1,0.804
30215,6012,5,5,1,0.296
30215,29840,5,5,6,5.814
30216,19325,5,5,2,3.04
30216,30217,5,5,4,3.305
30216,105860,5,5,1,0.649
30217,8037,5,5,4,3.578
30217,30216,5,5,4,3.305
30218,4071,5,5,2,3.428
30218,19327,5,5,1,1.612
30218,38058,5,5,2,1.335
30219,93536,5,5,4,2.123
30219,158049,5,5,2,0.84
30844,44986,5,5,1,0.442
30844,49843,5,5,1,0.193
30849,4152,5,5,1,0.227
30849,127621,5,5,2,0.812
30850,30850,5,5,1,0
30850,108942,5,5,1,0.201
30983,15581,5,5,3,3.539
30983,46996,5,5,5,2.331
30983,50919,5,5,1,0.928
30983,169887,5,5,1,1.676
31880,10161,5,5,6,3.489
31880,29184,5,5,1,0.419
31880,45192,5,5,2,1.182
34120,29857,5,5,4,2.635
34120,44983,5,5,6,2.989
34800,91896,5,5,3,4.281
34800,128202,5,5,3,1.101
35916,26656,5,5,4,1.614
35916,72281,5,5,9,2.882
36024,17324,5,5,1,0.363
36024,103250,5,5,1,0.526
36024,160089,5,5,1,0.357
36404,36404,5,5,1,0
36404,134481,5,5,6,2.483
36404,218426,5,5,1,0.362
36544,19317,5,5,5,2.33
36544,30214,5,5,5,2.386
36625,26699,5,5,12,1.423
36625,36024,5,5,1,0.232
36625,176392,5,5,1,0.16
36626,3497,5,5,1,0.338
36626,36625,5,5,2,0.303
36629,15454,5,5,1,0.462
36629,36630,5,5,1,0.336
36630,36629,5,5,1,0.336
36630,36633,5,5,1,0.189
36631,26699,5,5,1,0.646
36631,67564,5,5,1,0.416
36632,36631,5,5,2,0.457
36632,36633,5,5,1,0.423
36633,36630,5,5,1,0.189
36633,36632,5,5,1,0.423
36633,186174,5,5,1,0.303
36872,377,5,5,1,0.119
36872,4460,5,5,1,2.013
36872,9931,5,5,1,0.536
36872,27501,5,5,2,1.915
36946,299,5,5,1,0.343
37194,28355,5,5,3,1.788
37194,47425,5,5,1,0.547
37194,83500,5,5,1,0.977
37413,2224,5,5,1,0.749
37413,7362,5,5,3,2.651
37413,37413,5,5,1,0
37574,46996,5,5,1,0.563
37574,50905,5,5,1,0.501
38058,19327,5,5,1,0.332
38058,30218,5,5,1,1.335
38058,38060,5,5,1,0.261
38058,96633,5,5,2,1.299
38060,24137,5,5,1,0.541
38060,38058,5,5,1,0.261
38129,300,5,5,15,13.036
38129,2223,5,5,15,6.807
38129,6470,5,5,3,2.985
38129,25829,5,5,10,1.446
38129,26699,5,5,18,11.833
38129,38129,5,5,1,0
38129,44982,5,5,1,0.874
38129,49843,5,5,1,0.665
38129,97342,5,5,2,0.724
38129,106103,5,5,1,0.492
38129,179351,5,5,2,0.308
39635,45191,5,5,6,2.251
39635,244752,5,5,2,0.729
39979,16527,5,5,1,0.651
39979,39979,5,5,1,0
39979,199935,5,5,1,0.594
39979,219199,5,5,2,0.794
40548,55065,5,5,1,0.357
40548,181563,5,5,1,0.329
41620,302,5,5,1,0.53
41620,6470,5,5,2,1.257
41620,23331,5,5,1,0.797
42311,4068,5,5,1,0.242
42311,9931,5,5,1,1.124
42311,82413,5,5,7,3.572
43204,2223,5,5,15,5.134
43204,10161,5,5,2,0.813
43204,167152,5,5,1,0.348
43204,176997,5,5,1,0.178
44072,49768,5,5,11,4.361
44072,186985,5,5,3,2.882
44073,29857,5,5,3,1.675
44073,153476,5,5,4,2.631
44982,4118,5,5,1,1.085
44982,25829,5,5,1,0.595
44982,38129,5,5,1,0.874
44982,91732,5,5,2,0.806
44983,7261,5,5,1,0.421
44983,34120,5,5,7,2.989
44983,49845,5,5,8,2.529
44983,84188,5,5,9,3.453
44986,7261,5,5,2,0.988
44986,30844,5,5,1,0.442
44986,38129,5,5,4,1.296
44986,44986,5,5,1,0
44986,49844,5,5,1,0.39
44986,97342,5,5,2,0.878
45191,39635,5,5,6,2.251
45191,45194,5,5,7,2.112
45192,10161,5,5,7,2.459
45192,31880,5,5,2,1.182
45192,176998,5,5,2,1.495
45193,45194,5,5,2,0.881
45193,241457,5,5,11,3.596
45194,45191,5,5,7,2.112
45194,45193,5,5,2,0.881
46996,30983,5,5,4,2.331
46996,37574,5,5,1,0.563
46996,46996,5,5,1,0
46996,142527,5,5,1,0.565
46996,223681,5,5,3,2.243
47103,47103,5,5,1,0
47103,110465,5,5,2,1.183
47103,230591,5,5,2,0.437
47424,27501,5,5,2,1.234
47424,64795,5,5,3,0.867
47424,64796,5,5,3,0.962
47425,377,5,5,7,3.647
47425,37194,5,5,1,0.547
47425,249159,5,5,6,3.436
49189,30214,5,5,1,0.804
49189,212789,5,5,1,0.443
49762,49762,5,5,1,0
49762,112641,5,5,2,0.96
49762,120828,5,5,9,3.947
49762,169963,5,5,1,0.441
49762,227585,5,5,2,0.552
49764,49764,5,5,1,0
49764,174151,5,5,1,0.362
49764,183930,5,5,2,0.364
49767,17422,5,5,8,6.26
49768,302,5,5,8,6.27
49768,2372,5,5,1,0.425
49768,44072,5,5,10,4.361
49768,94669,5,5,1,0.147
49768,182721,5,5,12,5.089
49843,30844,5,5,1,0.193
49843,38129,5,5,1,0.665
49843,44986,5,5,2,0.633
49844,7261,5,5,1,0.602
49844,44986,5,5,1,0.39
49845,44983,5,5,4,2.529
50905,37574,5,5,1,0.501
50905,50919,5,5,1,0.574
50913,16527,5,5,2,0.856
50913,118827,5,5,1,0.27
50913,219199,5,5,2,0.872
50919,30983,5,5,1,0.928
50919,50905,5,5,1,0.574
55065,40548,5,5,2,0.357
55065,50913,5,5,1,0.322
57893,24137,5,5,1,0.696
57894,17312,5,5,2,0.23
57895,57894,5,5,1,0.145
63285,18680,5,5,2,0.816
64795,6009,5,5,2,1.038
64795,64796,5,5,1,0.404
64796,47424,5,5,3,0.962
64796,64795,5,5,1,0.404
67564,26699,5,5,2,0.606
67564,67566,5,5,1,0.194
67565,49768,5,5,1,0.249
67565,94671,5,5,1,0.156
67566,26699,5,5,2,0.752
67566,49762,5,5,1,0.606
67566,132169,5,5,2,0.712
67566,152038,5,5,1,0.32
67567,19327,5,5,1,0.527
67567,67564,5,5,3,2.745
67567,97848,5,5,8,4.329
67567,184823,5,5,7,2.474
67568,3496,5,5,1,0.11
69797,4067,5,5,1,0.092
71361,2223,5,5,1,0.184
71492,91897,5,5,3,0.874
72281,35916,5,5,9,2.882
72281,186824,5,5,6,3.543
72782,63285,5,5,3,0.982
72782,91900,5,5,3,1.341
82413,17313,5,5,6,4.607
82413,29185,5,5,1,0.344
82413,67567,5,5,5,4.287
82424,27517,5,5,1,0.523
82424,110465,5,5,2,1.004
83451,50913,5,5,1,0.16
83500,28355,5,5,2,0.838
83501,37194,5,5,2,0.981
84188,44072,5,5,4,2.873
91731,91732,5,5,4,1.923
91732,4152,5,5,6,2.81
91732,44982,5,5,2,0.806
91896,91898,5,5,3,0.865
91897,34800,5,5,3,4.28
91898,192580,5,5,4,3.153
91899,72782,5,5,3,0.97
91900,71492,5,5,4,3.172
93535,30219,5,5,4,2.109
93536,151373,5,5,2,0.856
94667,164390,5,5,1,0.183
94668,67565,5,5,1,0.219
94669,2372,5,5,2,0.278
94669,94668,5,5,2,0.35
94670,17324,5,5,1,0.193
94671,67565,5,5,1,0.156
94671,186174,5,5,1,0.141
96633,3497,5,5,1,0.631
96633,17312,5,5,1,0.535
96634,19327,5,5,3,0.962
96634,67567,5,5,1,0.436
96634,169973,5,5,1,0.437
97132,17422,5,5,1,0.171
97132,26699,5,5,1,0.875
97342,38129,5,5,2,0.724
97342,44986,5,5,3,0.878
97848,2910,5,5,2,1.303
97848,4062,5,5,1,1.525
97848,15581,5,5,4,6.782
100849,49844,5,5,1,0.198
103250,17313,5,5,1,0.475
103250,169964,5,5,2,0.143
104434,8037,5,5,2,2.123
104434,25086,5,5,1,0.519
104434,133433,5,5,8,4.022
105860,19325,5,5,2,2.693
105860,30216,5,5,1,0.649
106103,44982,5,5,1,0.463
106511,218426,5,5,3,0.581
108942,100849,5,5,2,0.207
110465,47103,5,5,2,1.183
110465,82424,5,5,1,1.004
112077,112078,5,5,3,0.271
112077,207879,5,5,1,0.195
112078,28442,5,5,3,1.912
112079,11788,5,5,4,1.66
112079,218426,5,5,1,0.482
112179,17324,5,5,1,0.326
112179,184823,5,5,2,1.122
112641,2372,5,5,1,0.338
116876,44073,5,5,5,2.629
118827,40548,5,5,1,0.401
120828,116876,5,5,4,2.713
123785,151890,5,5,1,0.118
124476,257980,5,5,2,0.26
127621,4151,5,5,1,0.147
127621,30849,5,5,2,0.812
128202,382,5,5,2,0.903
128817,18898,5,5,2,0.285
130509,49762,5,5,6,3.932
132169,36632,5,5,1,0.333
133433,186824,5,5,5,2.66
133434,104434,5,5,7,3.988
134336,34800,5,5,3,1.221
134481,28442,5,5,1,0.198
137927,26699,5,5,4,1.052
142527,40548,5,5,1,0.28
142527,55065,5,5,2,0.637
142527,207879,5,5,3,0.399
151373,984,5,5,1,0.387
151373,93535,5,5,1,0.869
151889,160089,5,5,1,0.243
151890,151889,5,5,1,0.197
152038,36024,5,5,1,0.472
152038,36625,5,5,1,0.638
153476,130509,5,5,7,2.709
158049,18898,5,5,5,4.88
158049,30219,5,5,1,0.84
160089,184823,5,5,1,0.248
164389,183927,5,5,1,0.322
164390,49764,5,5,1,0.406
164391,24137,5,5,1,0.456
167152,10161,5,5,1,0.468
167153,43204,5,5,1,0.394
169319,377,5,5,1,0.44
169319,4459,5,5,2,0.516
169887,15581,5,5,2,1.932
169963,17324,5,5,1,0.675
169964,208380,5,5,1,0.226
169973,19327,5,5,1,0.552
169973,24137,5,5,2,0.622
169973,36625,5,5,7,1.643
169973,96633,5,5,1,0.445
174149,137927,5,5,1,0.212
174150,67568,5,5,1,0.339
174151,174152,5,5,1,0.097
174152,164389,5,5,1,0.247
176392,2227,5,5,1,0.375
176392,17312,5,5,1,0.591
176392,36626,5,5,1,0.152
176996,43204,5,5,1,0.187
176997,11663,5,5,1,0.487
176998,10161,5,5,2,0.974
176999,45192,5,5,2,1.698
178919,30983,5,5,1,0.577
179351,245159,5,5,2,0.345
179352,179354,5,5,1,0.091
179353,225662,5,5,1,0.248
179354,179355,5,5,1,0.231
179355,179353,5,5,1,0.487
181563,46996,5,5,1,0.526
182127,6385,5,5,1,0.301
182721,25542,5,5,1,0.537
183925,193673,5,5,1,0.198
183926,203385,5,5,3,0.415
183927,203385,5,5,1,0.323
183929,3496,5,5,2,0.233
183930,183926,5,5,1,0.215
184823,26699,5,5,1,0.85
184823,67564,5,5,2,0.307
186174,36632,5,5,2,0.404
186174,36633,5,5,1,0.303
186174,94671,5,5,1,0.141
186824,72281,5,5,7,3.543
186824,133434,5,5,6,2.699
186985,44983,5,5,8,3.451
190005,82413,5,5,1,1.318
192580,72782,5,5,3,1.358
193672,193674,5,5,1,0.112
193673,94667,5,5,1,0.111
193674,174149,5,5,1,0.23
199935,11788,5,5,2,0.659
201721,49768,5,5,8,4.972
202000,26656,5,5,2,0.134
203385,26699,5,5,1,0.26
206917,206918,5,5,1,0.174
206918,236131,5,5,2,0.479
207879,112077,5,5,1,0.195
207879,181563,5,5,1,0.427
208282,17313,5,5,1,0.313
208380,17313,5,5,1,0.364
210036,6385,5,5,3,1.071
211482,47103,5,5,2,0.583
211488,11788,5,5,2,0.549
211488,17392,5,5,1,0.389
212789,4067,5,5,3,1.828
212789,9934,5,5,4,2.087
212789,49189,5,5,1,0.443
218426,17392,5,5,6,2.159
218426,36404,5,5,1,0.362
218426,106511,5,5,3,0.581
218426,112079,5,5,1,0.482
219199,16527,5,5,1,0.282
219199,83451,5,5,2,0.712
220509,4062,5,5,1,0.798
220509,4069,5,5,1,0.409
223681,28444,5,5,4,2.928
223681,178919,5,5,1,0.279
223682,46996,5,5,5,2.242
225662,30850,5,5,1,0.375
227585,26699,5,5,3,0.801
230591,124476,5,5,2,0.515
236131,49844,5,5,3,0.505
237813,29185,5,5,1,0.26
241457,45193,5,5,12,3.596
244752,2223,5,5,1,0.367
245159,179352,5,5,1,0.153
248257,19317,5,5,1,0.137
249159,9934,5,5,1,0.287
251592,39979,5,5,3,0.841
253362,28364,5,5,1,0.253
257980,211482,5,5,1,0.184
258425,4067,5,5,1,0.342
258425,9934,5,5,1,0.13
