node,layer,lat,lon,degree,geometry
6385,2,54.35531,-2.76622,15,"-2.76622, 54.35531"
18680,2,54.28242,-2.3636,10,"-2.3636, 54.28242"
24137,2,54.30525,-2.72225,29,"-2.72225, 54.30525"
25542,2,54.37544,-2.8194,15,"-2.8194, 54.37544"
26699,2,54.33211,-2.73964,52,"-2.73964, 54.33211"
28368,2,54.32135,-2.32589,10,"-2.32589, 54.32135"
36404,2,54.17757,-2.97283,15,"-2.97283, 54.17757"
38129,2,54.37961,-2.90339,41,"-2.90339, 54.37961"
39979,2,54.17291,-2.92523,16,"-2.92523, 54.17291"
46996,2,54.19528,-2.90274,22,"-2.90274, 54.19528"
47103,2,54.20211,-2.82777,16,"-2.82777, 54.20211"
