ori_node,des_node,ori_layer,des_layer,minutes,km
183,184,5,5,1,0.23
183,203,5,5,1,0.332
183,1225,5,5,1,0.144
183,17263,5,5,1,0.183
184,183,5,5,1,0.23
184,5805,5,5,1,0.281
185,1225,5,5,1,0.311
185,256750,5,5,2,0.637
186,457,5,5,1,0.486
186,33297,5,5,2,0.373
187,185,5,5,2,0.802
187,189,5,5,2,0.776
187,33297,5,5,2,0.378
187,40332,5,5,3,0.836
188,190,5,5,1,0.1
188,191,5,5,1,0.421
188,1170,5,5,1,0.44
189,187,5,5,2,0.776
189,5804,5,5,1,0.524
190,188,5,5,1,0.1
190,8929,5,5,2,0.254
190,17033,5,5,1,0.257
191,188,5,5,1,0.421
191,461,5,5,1,0.358
191,26893,5,5,2,0.698
191,33297,5,5,5,1.102
195,196,5,5,1,0.296
195,15643,5,5,1,0.627
196,195,5,5,1,0.296
196,197,5,5,1,0.308
197,196,5,5,1,0.308
197,198,5,5,1,0.289
198,197,5,5,1,0.289
198,208422,5,5,2,0.449
200,201,5,5,1,0.265
200,5833,5,5,1,0.187
201,200,5,5,1,0.265
201,76363,5,5,1,0.163
202,17844,5,5,1,0.141
202,232653,5,5,1,0.138
203,183,5,5,1,0.332
203,30929,5,5,1,0.215
405,406,5,5,1,0.427
405,409,5,5,1,0.325
405,32614,5,5,2,0.19
405,245056,5,5,2,0.252
406,405,5,5,1,0.427
406,23910,5,5,1,0.325
408,30722,5,5,1,0.188
408,32614,5,5,1,0.108
409,405,5,5,1,0.325
409,2513,5,5,1,0.48
409,53916,5,5,1,0.502
409,185225,5,5,4,3.186
457,186,5,5,2,0.486
457,25511,5,5,1,0.396
458,459,5,5,1,0.257
458,49495,5,5,4,2.784
459,458,5,5,1,0.257
459,37613,5,5,1,0.283
460,461,5,5,1,0.3
460,15646,5,5,1,0.212
460,26893,5,5,1,0.214
460,35588,5,5,1,0.439
460,49892,5,5,1,1.175
461,191,5,5,1,0.358
461,460,5,5,1,0.3
461,26893,5,5,1,0.341
462,460,5,5,1,0.312
462,15648,5,5,1,0.177
462,26893,5,5,1,0.174
514,36032,5,5,1,0.32
514,48810,5,5,1,0.519
1170,188,5,5,1,0.44
1170,33297,5,5,2,0.269
1225,183,5,5,1,0.144
1225,185,5,5,1,0.311
1225,202,5,5,1,0.26
1225,30713,5,5,1,0.409
1960,20509,5,5,2,2.058
1960,25257,5,5,5,3.597
1960,33346,5,5,9,3.985
2134,20526,5,5,4,1.794
2134,42847,5,5,6,2.578
2369,2375,5,5,1,0.166
2369,25511,5,5,2,0.337
2371,6608,5,5,2,4.192
2371,10688,5,5,3,3.264
2371,14956,5,5,3,3.343
2371,34060,5,5,2,1.73
2371,37172,5,5,1,0.529
2371,84997,5,5,3,3.355
2375,2369,5,5,1,0.166
2375,156726,5,5,2,0.835
