ori_node,des_node,ori_layer,des_layer,minutes,km
2141,28464,2,2,4,4.287
2141,50339,2,2,4,5.58
2728,2900,2,2,2,2.099
2728,8991,2,2,1,1.351
2900,2728,2,2,1,2.099
2900,50339,2,2,3,3.508
8991,2728,2,2,2,1.351
8991,30080,2,2,3,0.742
8991,44457,2,2,5,6.85
21100,28464,2,2,9,14.211
21100,50339,2,2,2,5.46
21825,44457,2,2,5,6.192
21825,48348,2,2,5,4.612
28239,45429,2,2,4,3.425
28464,2141,2,2,4,4.287
28464,50339,2,2,6,9.471
30080,8991,2,2,2,0.742
44457,8991,2,2,6,6.85
44457,21825,2,2,4,6.192
45429,28239,2,2,4,3.425
48348,21825,2,2,5,4.612
50339,2141,2,2,4,5.58
50339,2900,2,2,2,3.508
50339,21100,2,2,4,5.46
50339,28464,2,2,6,9.471
