node,layer,lat,lon,degree,geometry
824,5,52.6355,0.68936,6,"0.68936, 52.6355"
825,5,52.6407,0.69233,8,"0.69233, 52.6407"
826,5,52.643,0.68602,9,"0.68602, 52.643"
827,5,52.64471,0.69637,7,"0.69637, 52.64471"
1419,5,52.77207,0.84156,8,"0.84156, 52.77207"
1420,5,52.77083,0.86775,4,"0.86775, 52.77083"
1421,5,52.75336,0.80063,8,"0.80063, 52.75336"
1422,5,52.76635,0.74716,6,"0.74716, 52.76635"
1423,5,52.76534,0.77156,4,"0.77156, 52.76534"
1963,5,52.75408,0.33578,6,"0.33578, 52.75408"
1981,5,52.58825,0.59853,5,"0.59853, 52.58825"
1982,5,52.58327,0.57247,5,"0.57247, 52.58327"
1983,5,52.57326,0.51012,4,"0.51012, 52.57326"
1984,5,52.57048,0.5135,9,"0.5135, 52.57048"
1985,5,52.57035,0.50452,5,"0.50452, 52.57035"
2308,5,52.6516,0.6938,5,"0.6938, 52.6516"
2378,5,52.7385,0.39499,6,"0.39499, 52.7385"
2454,5,52.84222,0.78869,10,"0.78869, 52.84222"
2455,5,52.8353,0.74838,6,"0.74838, 52.8353"
2456,5,52.86713,0.68697,4,"0.68697, 52.86713"
2457,5,52.87323,0.65984,4,"0.65984, 52.87323"
2458,5,52.8599,0.71871,4,"0.71871, 52.8599"
2461,5,52.86912,0.84795,4,"0.84795, 52.86912"
2663,5,52.74915,0.49116,4,"0.49116, 52.74915"
2867,5,52.73108,0.39142,4,"0.39142, 52.73108"
2868,5,52.70137,0.36189,7,"0.36189, 52.70137"
2869,5,52.71545,0.37836,4,"0.37836, 52.71545"
3272,5,52.93856,0.48856,13,"0.48856, 52.93856"
3554,5,52.6126,0.39086,8,"0.39086, 52.6126"
3556,5,52.55614,0.38924,9,"0.38924, 52.55614"
3557,5,52.5586,0.38953,4,"0.38953, 52.5586"
3558,5,52.56105,0.38961,5,"0.38961, 52.56105"
3559,5,52.56827,0.39111,6,"0.39111, 52.56827"
3560,5,52.60636,0.38148,12,"0.38148, 52.60636"
3561,5,52.52742,0.39068,4,"0.39068, 52.52742"
3562,5,52.52658,0.38757,6,"0.38757, 52.52658"
3563,5,52.52492,0.38676,8,"0.38676, 52.52492"
3720,5,52.67319,0.38333,14,"0.38333, 52.67319"
4609,5,52.7063,0.46352,4,"0.46352, 52.7063"
4612,5,52.75284,0.45705,7,"0.45705, 52.75284"
4624,5,52.73085,0.41633,7,"0.41633, 52.73085"
4627,5,52.7252,0.45111,8,"0.45111, 52.7252"
4632,5,52.71833,0.46029,6,"0.46029, 52.71833"
4651,5,52.73376,0.47119,4,"0.47119, 52.73376"
4653,5,52.74639,0.51689,8,"0.51689, 52.74639"
6299,5,52.59889,0.37394,4,"0.37394, 52.59889"
6348,5,52.67713,0.72984,8,"0.72984, 52.67713"
6349,5,52.6959,0.769,4,"0.769, 52.6959"
6351,5,52.66603,0.73239,14,"0.73239, 52.66603"
6353,5,52.68094,0.76229,8,"0.76229, 52.68094"
7245,5,52.77356,0.4488,5,"0.4488, 52.77356"
7258,5,52.69975,0.41897,7,"0.41897, 52.69975"
7986,5,52.77928,0.66201,4,"0.66201, 52.77928"
8110,5,52.86215,0.6387,4,"0.6387, 52.86215"
8730,5,52.60413,0.36569,20,"0.36569, 52.60413"
8796,5,52.75906,0.37401,4,"0.37401, 52.75906"
8797,5,52.74797,0.32931,4,"0.32931, 52.74797"
8798,5,52.75816,0.36618,4,"0.36618, 52.75816"
8877,5,52.65158,0.69527,5,"0.69527, 52.65158"
9067,5,52.7512,0.38781,4,"0.38781, 52.7512"
9369,5,52.70473,0.41775,10,"0.41775, 52.70473"
