ori_node,des_node,ori_layer,des_layer,minutes,km
385,90031,5,5,4,1.754
385,169542,5,5,2,1.344
15457,125194,5,5,3,3.114
15457,130312,5,5,4,3.107
15457,140438,5,5,1,0.657
15457,221603,5,5,1,2.571
18955,18955,5,5,1,0
18955,84713,5,5,1,1.032
18955,87679,5,5,1,0.559
18955,87942,5,5,2,0.74
18955,130566,5,5,1,0.275
18955,135398,5,5,1,0.625
18955,138850,5,5,1,0.421
18955,139076,5,5,3,0.932
18955,160142,5,5,1,0.457
18955,200589,5,5,9,0.9
18955,262017,5,5,1,0.258
31292,31292,5,5,1,0
31292,125970,5,5,1,0.359
31292,189781,5,5,1,0.44
31292,221697,5,5,1,0.302
36840,36840,5,5,1,0
36840,81876,5,5,1,0.528
36840,85263,5,5,1,0.34
36840,120813,5,5,1,0.439
36840,128939,5,5,1,0.266
36840,153371,5,5,1,0.436
36840,159999,5,5,5,0.865
36840,161520,5,5,1,0.979
36840,221592,5,5,2,0.363
36840,221605,5,5,2,3.511
52401,224183,5,5,2,0.45
52477,103875,5,5,1,2.795
52477,130065,5,5,1,0.33
52477,153164,5,5,7,5.164
52477,226321,5,5,3,0.493
52766,54649,5,5,1,0.401
53229,240046,5,5,1,0.391
53229,255877,5,5,1,0.454
53361,61172,5,5,2,0.868
53361,61173,5,5,3,0.863
53361,248404,5,5,4,3.355
53858,75177,5,5,2,1.587
53858,157418,5,5,2,1.728
53859,86909,5,5,2,1.667
53859,86910,5,5,2,1.651
53903,125809,5,5,6,3.911
53904,150731,5,5,6,2.694
53904,179793,5,5,2,1.513
53961,104762,5,5,2,0.107
54649,68364,5,5,1,0.477
54649,157838,5,5,2,1.574
54651,52766,5,5,2,0.405
55041,82240,5,5,1,0.363
55041,217617,5,5,1,2.119
55041,238306,5,5,2,1.267
55069,111237,5,5,1,0.651
55069,207425,5,5,3,4.103
55102,257790,5,5,1,0.203
55103,81875,5,5,2,0.761
55103,229624,5,5,1,0.488
55106,63104,5,5,1,0.351
55107,79162,5,5,1,0.392
55663,253209,5,5,1,0.153
56073,229341,5,5,1,0.826
56073,253205,5,5,1,0.145
56073,253206,5,5,1,0.149
56258,68458,5,5,3,2.044
56258,118353,5,5,3,4.483
56258,128896,5,5,2,0.623
56258,230662,5,5,1,0.285
56258,256112,5,5,8,5.335
56292,250852,5,5,1,0.273
56341,151527,5,5,1,0.231
56841,94974,5,5,2,1.254
56841,181464,5,5,2,0.93
57166,53903,5,5,6,2.665
57166,53904,5,5,9,2.648
57168,57166,5,5,1,0.483
57525,154475,5,5,1,0.051
57525,187967,5,5,1,0.28
57550,103874,5,5,2,1.129
57963,253209,5,5,1,0.473
58450,202718,5,5,2,0.919
58600,143850,5,5,1,0.278
58629,99224,5,5,1,0.171
58879,190242,5,5,1,0.44
58880,117192,5,5,4,3.994
58880,218413,5,5,2,3.765
58985,111612,5,5,1,0.92
58985,179113,5,5,1,0.453
58985,179114,5,5,2,0.447
59252,198915,5,5,1,0.351
59253,157418,5,5,1,0.29
59254,59252,5,5,1,0.196
59407,174366,5,5,1,0.253
59407,183200,5,5,1,0.138
59626,149550,5,5,1,0.189
59770,252411,5,5,1,1.82
59827,122745,5,5,1,0.274
59827,248251,5,5,2,2.369
60445,103741,5,5,6,2.523
60445,184540,5,5,4,0.31
60535,70896,5,5,2,1.697
60535,137464,5,5,1,0.698
60729,58879,5,5,2,6.475
60729,117192,5,5,5,2.945
60729,157409,5,5,1,0.055
60729,218413,5,5,2,2.692
60934,94404,5,5,2,1.628
60934,177619,5,5,3,0.757
61080,80429,5,5,1,0.7
61081,225507,5,5,8,5.494
61172,53361,5,5,1,0.868
61172,139487,5,5,4,4.827
61172,175953,5,5,6,3.904
61172,194207,5,5,7,2.727
61172,214507,5,5,5,2.938
61172,255897,5,5,3,4.418
61173,214507,5,5,4,2.922
61712,252138,5,5,2,1.825
61713,148182,5,5,1,0.424
62423,136388,5,5,1,0.4
63103,55107,5,5,1,0.344
63104,87248,5,5,1,0.246
63376,116200,5,5,8,4.91
63376,261901,5,5,2,2.789
63817,72689,5,5,8,1.318
63817,102300,5,5,2,0.354
63817,132198,5,5,8,1.325
63817,172081,5,5,8,1.489
64793,89523,5,5,4,2.365
64793,99173,5,5,1,0.171
65026,184838,5,5,1,0.421
65418,144446,5,5,3,0.332
65418,144447,5,5,1,0.279
65441,60729,5,5,2,0.059
65441,130154,5,5,3,0.042
65473,75676,5,5,3,1.914
65473,92889,5,5,4,1.9
65473,105842,5,5,4,1.756
65473,145833,5,5,2,0.748
65473,145834,5,5,1,0.753
65474,105842,5,5,2,1.755
65474,145834,5,5,3,0.769
65846,250395,5,5,1,0.279
65929,147736,5,5,4,2.028
65933,53361,5,5,2,4.731
65933,104369,5,5,3,4.032
65933,117313,5,5,1,1.541
65933,175954,5,5,2,2.243
66291,127566,5,5,1,0.108
66291,212630,5,5,2,0.137
66995,66997,5,5,1,0.795
66996,59770,5,5,1,2.418
66996,154575,5,5,2,2.726
66997,216840,5,5,1,0.895
67310,78641,5,5,1,0.243
67310,98095,5,5,3,2.364
67310,137981,5,5,1,0.375
67489,140314,5,5,7,0.73
67489,149496,5,5,1,0.22
67489,197132,5,5,2,0.714
67489,226215,5,5,1,0.249
67489,234234,5,5,2,0.31
67536,100340,5,5,1,0.261
67536,254214,5,5,1,0.336
68364,59626,5,5,1,0.735
68458,56258,5,5,3,2.044
68458,118353,5,5,5,2.577
68458,123385,5,5,12,4.338
68458,177986,5,5,2,2.622
68458,197881,5,5,8,4.395
68789,246092,5,5,1,0.263
68888,98095,5,5,3,4.815
68888,216062,5,5,5,6.561
68889,234511,5,5,1,1.467
69161,161562,5,5,2,1.07
69161,171721,5,5,4,3.682
69161,171722,5,5,1,3.673
69161,226675,5,5,1,4.288
69162,106376,5,5,1,0.204
69537,61713,5,5,1,1.842
69537,252138,5,5,1,0.021
69943,199922,5,5,1,0.131
69943,228273,5,5,1,0.169
70896,170867,5,5,1,2.172
70965,187713,5,5,2,0.592
71079,152847,5,5,1,0.18
71084,258791,5,5,1,0.281
71092,55103,5,5,1,0.426
71092,75504,5,5,1,0.992
71092,256112,5,5,6,2.194
71114,221369,5,5,1,0.53
71395,210169,5,5,2,2.398
71702,117076,5,5,1,0.299
71702,223105,5,5,1,0.282
71703,126172,5,5,2,3.577
71851,237796,5,5,1,0.292
71853,133393,5,5,22,3.904
71853,229624,5,5,15,7.162
72689,63817,5,5,5,1.318
72689,141323,5,5,5,0.512
72930,243242,5,5,1,1.916
72930,256760,5,5,1,1.18
73058,76876,5,5,6,4.326
73058,81283,5,5,2,3.724
73058,89523,5,5,1,0.349
73058,214720,5,5,7,3.506
73392,120813,5,5,1,0.23
73392,146691,5,5,2,0.259
73392,187201,5,5,1,0.175
73471,226815,5,5,1,0.132
74594,254526,5,5,1,0.054
74835,197229,5,5,1,0.513
74863,262017,5,5,1,0.631
75145,195254,5,5,1,0.04
75145,259699,5,5,2,2.109
75177,136388,5,5,3,0.905
75177,144033,5,5,1,0.15
75177,171786,5,5,1,0.271
75504,102706,5,5,1,0.31
75504,146690,5,5,2,0.394
75504,146691,5,5,1,0.397
75504,170866,5,5,9,0.946
75504,195252,5,5,1,0.724
75504,239619,5,5,1,0.478
75676,65473,5,5,2,1.914
75676,181464,5,5,5,2.096
75903,144446,5,5,2,1.663
75903,202718,5,5,4,2.086
75903,262116,5,5,2,0.598
76397,220641,5,5,1,0.104
76507,80390,5,5,1,0.807
76876,73058,5,5,6,4.326
76876,202913,5,5,3,2.023
78161,255877,5,5,1,0.187
78162,243628,5,5,2,1.768
78641,67310,5,5,2,0.243
78641,75145,5,5,1,0.49
78641,91725,5,5,10,5.278
78641,92333,5,5,4,0.381
78641,98095,5,5,5,2.607
78641,99806,5,5,1,4.533
78641,109597,5,5,1,0.144
78641,125049,5,5,1,0.596
78641,137981,5,5,3,0.559
78641,146164,5,5,10,4.232
78641,171706,5,5,1,0.167
78641,179113,5,5,5,8.117
78641,187200,5,5,1,0.557
78641,195254,5,5,1,0.454
78641,212630,5,5,3,0.557
78641,232999,5,5,15,8.502
78641,259699,5,5,5,2.6
78641,261351,5,5,7,5.112
79162,71079,5,5,1,0.359
79163,55106,5,5,1,0.333
79856,261351,5,5,5,1.659
79944,89588,5,5,1,0.283
79944,161562,5,5,1,0.588
79964,136388,5,5,5,0.628
79964,246558,5,5,4,0.619
80153,80152,5,5,1,0.939
80153,262114,5,5,1,0.765
80181,36840,5,5,2,0.916
80279,88337,5,5,3,0.017
80279,111612,5,5,11,4.573
80279,261351,5,5,3,1.647
80390,69162,5,5,1,4.341
80390,88447,5,5,2,0.209
80390,171721,5,5,1,0.666
80429,56258,5,5,1,0.295
81056,87942,5,5,1,0.457
81056,139076,5,5,2,0.518
81283,82240,5,5,2,3.2
81283,82248,5,5,2,3.109
81283,133011,5,5,1,0.969
81283,217617,5,5,1,0.977
81442,130051,5,5,1,0.163
81875,36840,5,5,1,0.533
81875,104683,5,5,13,4.807
81875,146691,5,5,1,0.1
81875,159999,5,5,10,1.084
81875,221592,5,5,1,0.173
81876,73392,5,5,1,0.187
81876,75504,5,5,1,0.496
81876,104762,5,5,6,0.764
81876,120813,5,5,4,0.405
81876,146691,5,5,1,0.108
81876,153164,5,5,15,11.618
81876,212009,5,5,1,0.321
81876,221592,5,5,1,0.171
81876,229624,5,5,1,0.321
82103,147902,5,5,1,0.304
82240,55041,5,5,1,0.363
82240,114804,5,5,4,2.124
82240,188965,5,5,3,1.322
82240,197011,5,5,3,2.041
82240,197012,5,5,2,2.02
82240,197817,5,5,3,0.865
82240,217617,5,5,5,2.25
82240,221172,5,5,4,2.093
82240,238306,5,5,4,1.134
82248,114804,5,5,3,2.249
82248,197012,5,5,5,2.158
82248,197817,5,5,4,0.911
82451,142338,5,5,1,0.197
82835,117076,5,5,1,0.178
82835,122142,5,5,1,1.322
82986,185938,5,5,1,0.259
82986,246067,5,5,1,0.47
83000,184838,5,5,1,0.266
83011,67536,5,5,1,0.387
83066,177080,5,5,1,0.198
83066,220037,5,5,1,1.397
83066,220709,5,5,2,1.398
83066,233045,5,5,1,0.241
83209,95059,5,5,1,0.322
83209,193343,5,5,1,0.147
83309,69537,5,5,1,1.548
83309,242782,5,5,2,1.579
83351,166735,5,5,1,0.327
83685,91724,5,5,2,0.723
83685,91725,5,5,1,0.734
83685,94364,5,5,5,2.475
83685,141931,5,5,1,1.098
83686,109598,5,5,4,4.415
83686,125049,5,5,1,4.017
83686,141931,5,5,1,1.383
83686,171706,5,5,5,4.516
83686,249891,5,5,1,0.346
83797,262214,5,5,1,0.294
83945,83000,5,5,5,3.45
83945,91978,5,5,2,0.164
83945,234511,5,5,3,0.082
84499,250853,5,5,1,0.276
84713,136283,5,5,1,0.301
85263,146999,5,5,4,0.63
85263,236148,5,5,1,0.177
85434,101203,5,5,1,0.559
85434,115341,5,5,1,0.41
85434,229624,5,5,1,1.285
85584,81876,5,5,13,10.373
85584,99330,5,5,3,2.488
85584,132512,5,5,3,0.975
85584,141306,5,5,1,0.94
85584,218098,5,5,2,0.489
85585,187115,5,5,1,1.066
86305,143971,5,5,4,1.716
86305,144643,5,5,3,1.624
86909,144445,5,5,4,2.385
86910,53859,5,5,2,1.651
86910,144446,5,5,4,2.414
86910,189681,5,5,1,0.346
86910,262113,5,5,1,0.233
86947,67489,5,5,1,0.371
86948,245814,5,5,1,0.612
87071,78641,5,5,2,0.641
87105,63103,5,5,1,0.248
87105,165125,5,5,2,0.86
87247,95157,5,5,1,0.296
87248,95158,5,5,1,0.198
87248,107913,5,5,1,0.209
87248,131721,5,5,2,0.379
87248,150273,5,5,1,0.054
87614,119129,5,5,1,0.126
87614,234172,5,5,1,0.167
87679,87941,5,5,1,0.134
87679,87942,5,5,1,0.182
87716,145174,5,5,1,0.142
87788,124041,5,5,1,0.116
87790,206371,5,5,1,0.236
87845,109540,5,5,3,1.208
87845,109541,5,5,3,1.222
87845,176739,5,5,3,2.426
87941,71851,5,5,1,0.25
87941,83011,5,5,1,0.328
87941,262017,5,5,4,0.835
87942,83011,5,5,1,0.289
87942,87679,5,5,1,0.182
87942,230135,5,5,5,0.823
88337,179113,5,5,13,4.222
88337,261351,5,5,3,1.662
88447,166793,5,5,1,0.278
88448,226675,5,5,2,0.23
88539,114839,5,5,1,0.294
88802,129689,5,5,1,0.255
88803,167545,5,5,1,0.038
88956,90418,5,5,1,0.213
88956,166281,5,5,2,0.373
89523,82240,5,5,8,6.883
89523,113615,5,5,1,0.268
89523,113616,5,5,1,0.28
89588,114532,5,5,1,0.31
89682,181025,5,5,1,0.288
89767,235037,5,5,1,0.211
90031,155525,5,5,3,3.055
90032,155525,5,5,2,2.253
90032,169135,5,5,4,2.201
90103,125344,5,5,1,2.13
90418,71114,5,5,1,0.632
90494,98625,5,5,1,0.204
90745,262018,5,5,3,0.927
91090,181303,5,5,1,0.229
91144,92370,5,5,2,6.495
91144,104683,5,5,1,3.198
91144,197728,5,5,2,6.432
91724,141931,5,5,2,0.467
91725,94364,5,5,7,2.085
91725,141931,5,5,1,0.469
91725,249891,5,5,1,0.741
91978,184837,5,5,4,3.266
91978,219238,5,5,2,0.869
91978,222053,5,5,3,1.828
91978,251603,5,5,4,1.824
91997,113326,5,5,2,0.318
91997,114827,5,5,1,0.402
91997,166281,5,5,1,0.154
91997,225543,5,5,1,0.894
92333,95694,5,5,1,2.563
92333,171706,5,5,5,0.382
92370,104683,5,5,1,4.343
92370,140678,5,5,2,1.507
92371,143690,5,5,2,6.467
92429,88448,5,5,2,0.265
92429,198513,5,5,1,0.051
92435,189185,5,5,1,0.17
92551,171721,5,5,1,0.436
92742,15457,5,5,2,0.66
92742,125344,5,5,7,3.961
92861,105312,5,5,2,2
92861,203432,5,5,2,1.378
92889,94974,5,5,4,2.099
92889,181464,5,5,2,0.355
93164,154474,5,5,1,0.107
93204,183756,5,5,1,0.522
93552,115340,5,5,1,0.236
93590,59827,5,5,1,0.321
93590,247736,5,5,1,0.256
93695,157879,5,5,1,4.623
93695,183148,5,5,1,0.392
93695,213920,5,5,1,0.915
94364,91725,5,5,2,2.085
94364,129180,5,5,4,1.296
94364,141931,5,5,3,2.33
94364,143139,5,5,2,0.744
94364,207483,5,5,3,0.981
94364,244326,5,5,1,1.053
94364,249891,5,5,5,2.466
94367,91090,5,5,1,0.154
94367,100818,5,5,1,0.076
94367,185219,5,5,3,0.218
94404,60934,5,5,3,1.628
94404,109072,5,5,2,1.768
94790,129689,5,5,1,0.273
94974,56841,5,5,1,1.254
94974,92889,5,5,4,2.099
94974,155525,5,5,3,1.499
94974,198451,5,5,5,2.665
95029,86948,5,5,1,0.091
95029,197132,5,5,2,0.334
95059,87248,5,5,1,0.145
95157,87248,5,5,1,0.213
95157,213434,5,5,1,0.154
95158,57963,5,5,1,0.329
95477,103396,5,5,1,1.58
95484,117312,5,5,3,1.567
95484,199188,5,5,1,0.241
95484,248611,5,5,2,0.718
95484,258129,5,5,2,0.716
95486,179431,5,5,1,0.637
95486,215244,5,5,1,0.266
95486,248611,5,5,1,0.263
95694,92333,5,5,5,2.563
95694,118353,5,5,2,2.604
95694,134470,5,5,3,2.497
95694,171706,5,5,1,2.9
95728,74863,5,5,1,0.388
95728,87941,5,5,1,0.189
95728,87942,5,5,2,0.155
95728,262017,5,5,5,1.019
95845,87790,5,5,1,0.156
95996,93204,5,5,1,2.37
95996,262050,5,5,1,0.959
96119,154475,5,5,1,0.052
96119,187967,5,5,1,0.279
96120,252951,5,5,1,0.705
96488,169859,5,5,1,0.26
96488,169860,5,5,3,0.262
96489,200848,5,5,1,0.173
96908,129180,5,5,11,3.128
96908,215494,5,5,2,3.252
96908,261350,5,5,8,3.015
96908,261351,5,5,2,3.029
97096,196665,5,5,1,0.164
97633,234172,5,5,1,0.216
97718,169908,5,5,2,4.331
97718,175955,5,5,3,5.355
98095,67310,5,5,1,2.364
98095,68889,5,5,4,4.807
98095,146164,5,5,2,1.8
98095,208112,5,5,2,1.758
98095,216062,5,5,1,1.755
98095,222053,5,5,3,4.547
98622,154489,5,5,1,0.116
98625,228016,5,5,1,0.308
99173,82986,5,5,1,0.354
99220,222329,5,5,1,0.262
99224,97096,5,5,1,0.274
99330,93695,5,5,4,2.456
99330,99331,5,5,2,0.176
99330,150969,5,5,3,2.005
99330,218100,5,5,1,2.035
99331,99330,5,5,1,0.176
99331,150969,5,5,2,1.829
99331,216820,5,5,3,2.481
99356,66995,5,5,1,2.385
99806,83685,5,5,1,0.366
100060,189446,5,5,5,1.902
100340,172780,5,5,1,0.267
100340,185733,5,5,1,0.061
100818,185219,5,5,2,0.142
101203,229624,5,5,2,0.734
101205,216578,5,5,1,0.522
101375,176739,5,5,2,2.442
101402,109585,5,5,4,0.457
101402,206402,5,5,1,0.995
102024,61712,5,5,1,0.32
102170,203725,5,5,1,0.38
