node,layer,lat,lon,degree,geometry
2106,2,53.89235,-1.73551,20,"-1.73551, 53.89235"
4387,2,53.81798,-1.59418,20,"-1.59418, 53.81798"
9495,2,53.74994,-1.59097,18,"-1.59097, 53.74994"
10208,2,53.92478,-1.82203,23,"-1.82203, 53.92478"
13554,2,53.90816,-1.75337,17,"-1.75337, 53.90816"
13748,2,53.84772,-1.63022,28,"-1.63022, 53.84772"
17695,2,53.92573,-1.79743,28,"-1.79743, 53.92573"
19791,2,53.7568,-1.44289,20,"-1.44289, 53.7568"
20536,2,53.80449,-1.68079,24,"-1.68079, 53.80449"
22298,2,53.78885,-1.3268,21,"-1.3268, 53.78885"
24026,2,53.81204,-1.57776,18,"-1.57776, 53.81204"
29266,2,53.80536,-1.6372,23,"-1.6372, 53.80536"
29553,2,53.80492,-1.45159,30,"-1.45159, 53.80492"
30595,2,53.792,-1.37054,18,"-1.37054, 53.792"
33322,2,53.76783,-1.5877,16,"-1.5877, 53.76783"
46564,2,53.87595,-1.71508,22,"-1.71508, 53.87595"
49044,2,53.79659,-1.38231,32,"-1.38231, 53.79659"
51224,2,53.79564,-1.54802,113,"-1.54802, 53.79564"
