ori_node,des_node,ori_layer,des_layer,minutes,km
56,25682,5,5,1,0.148
56,44828,5,5,1,0.205
114,114,5,5,1,0
114,11524,5,5,1,0.539
114,18986,5,5,1,0.472
116,119,5,5,1,0.325
116,207391,5,5,1,0.257
119,116,5,5,2,0.325
119,121,5,5,1,0.349
121,119,5,5,1,0.349
121,126,5,5,1,0.273
124,126,5,5,2,0.808
124,18281,5,5,1,0.642
124,33281,5,5,2,1.46
125,126,5,5,1,0.2
125,50404,5,5,1,0.397
126,121,5,5,1,0.273
126,124,5,5,1,0.808
126,125,5,5,1,0.2
126,128,5,5,1,0.283
126,46056,5,5,9,3.144
128,125,5,5,1,0.446
128,126,5,5,1,0.283
128,7921,5,5,1,0.819
128,17594,5,5,5,2.556
161,6095,5,5,1,0.327
161,23933,5,5,1,1.502
161,39533,5,5,1,0.249
321,8711,5,5,4,2.86
321,13371,5,5,5,2.847
463,464,5,5,1,0.299
463,7936,5,5,4,2.531
464,463,5,5,1,0.299
464,466,5,5,1,0.09
465,29175,5,5,3,1.585
465,223503,5,5,2,2.027
466,464,5,5,1,0.09
466,41577,5,5,2,1.701
535,539,5,5,1,0.649
535,5049,5,5,2,1.781
536,538,5,5,1,0.234
536,540,5,5,1,0.3
537,538,5,5,1,0.287
537,3109,5,5,1,0.151
538,536,5,5,1,0.234
538,537,5,5,1,0.287
539,535,5,5,1,0.649
539,540,5,5,1,0.142
540,536,5,5,1,0.3
540,539,5,5,1,0.142
556,46165,5,5,1,0.192
556,220494,5,5,1,0.13
605,609,5,5,1,0.471
605,620,5,5,1,0.298
607,8532,5,5,1,0.245
607,14602,5,5,3,2.076
607,24221,5,5,4,2.365
609,605,5,5,1,0.471
609,12040,5,5,1,0.374
620,605,5,5,1,0.298
620,8532,5,5,1,0.258
620,158775,5,5,1,0.186
710,16837,5,5,1,0.385
710,23710,5,5,1,0.299
721,25169,5,5,1,0.211
721,25170,5,5,1,0.207
721,44232,5,5,1,0.289
1134,1717,5,5,3,2.493
1134,15035,5,5,2,2.507
1159,1860,5,5,1,0.915
1159,36765,5,5,1,0.483
1172,16400,5,5,1,0.264
1172,18392,5,5,1,0.313
1172,20158,5,5,2,0.858
1172,79578,5,5,3,0.446
1235,23286,5,5,1,0.182
1235,37476,5,5,1,0.232
1354,42581,5,5,2,0.769
1354,44009,5,5,2,0.779
1355,31256,5,5,1,0.192
1355,156316,5,5,2,0.282
1356,1357,5,5,1,0.23
1356,1359,5,5,2,0.304
1357,1356,5,5,1,0.23
1357,31255,5,5,2,0.38
1359,1356,5,5,1,0.304
1359,36930,5,5,2,0.288
1647,3255,5,5,1,0.363
1647,18299,5,5,1,0.36
1647,18392,5,5,1,0.146
1648,1649,5,5,1,0.167
1648,15522,5,5,1,0.538
1648,73442,5,5,1,0.209
1648,257093,5,5,1,0.254
1649,1648,5,5,1,0.167
1649,1651,5,5,1,0.286
1650,38355,5,5,1,0.543
1650,257093,5,5,2,0.375
1651,1649,5,5,1,0.286
1651,16299,5,5,1,0.362
1651,75042,5,5,2,0.363
1717,1134,5,5,3,2.493
1717,1720,5,5,1,0.516
1717,32145,5,5,4,3.627
1717,47117,5,5,7,3.685
1720,1717,5,5,1,0.516
1720,16203,5,5,4,2.419
1860,1159,5,5,2,0.915
1860,42060,5,5,1,0.617
1896,46310,5,5,1,0.423
1896,197635,5,5,1,0.079
1946,40607,5,5,3,0.552
1946,158094,5,5,1,0.672
2006,34585,5,5,2,0.635
2006,34587,5,5,1,0.369
2012,9887,5,5,1,0.914
2012,11547,5,5,1,0.466
2012,34589,5,5,1,0.408
2179,2180,5,5,1,0.328
2179,31603,5,5,1,0.221
2180,2179,5,5,1,0.328
2180,124755,5,5,1,0.342
2181,154518,5,5,1,0.241
2181,190252,5,5,1,0.328
2181,208579,5,5,1,0.205
2181,227883,5,5,1,0.167
2182,2183,5,5,1,0.235
2182,15809,5,5,1,0.11
2182,28166,5,5,1,0.32
2182,34578,5,5,1,0.286
2183,2182,5,5,1,0.235
2183,34577,5,5,2,0.333
2183,47895,5,5,1,0.301
2238,2241,5,5,1,0.133
2238,2243,5,5,1,0.107
2238,25680,5,5,5,1.862
2238,39008,5,5,3,2.561
2240,2241,5,5,1,0.109
2240,2242,5,5,1,0.154
2241,2238,5,5,1,0.133
2241,2240,5,5,1,0.109
2242,2240,5,5,1,0.154
2242,2242,5,5,1,0
2242,42738,5,5,5,3.545
2243,2238,5,5,1,0.107
2243,159365,5,5,2,1.891
2348,2349,5,5,1,0.141
2348,2350,5,5,1,0.134
2348,2353,5,5,1,0.195
2349,2348,5,5,1,0.141
2349,14300,5,5,1,0.264
2350,2348,5,5,1,0.134
2350,2351,5,5,1,0.262
2351,2350,5,5,1,0.262
2351,22151,5,5,1,0.244
2352,21489,5,5,1,0.178
2352,94603,5,5,1,0.326
2353,2348,5,5,1,0.195
2353,94602,5,5,1,0.12
2389,49715,5,5,4,1.427
2389,120352,5,5,1,0.363
2430,188062,5,5,1,0.069
2430,249773,5,5,1,0.03
2532,2533,5,5,1,0.185
2532,20714,5,5,1,0.278
2532,50464,5,5,1,0.306
2533,2532,5,5,1,0.185
2533,50488,5,5,1,0.394
2533,51330,5,5,1,0.084
2541,4375,5,5,1,0.39
2541,5559,5,5,1,0.988
2541,5563,5,5,1,0.54
2551,43094,5,5,1,0.285
2551,43100,5,5,1,0.261
2782,5813,5,5,1,0.284
2782,35601,5,5,1,0.262
3029,3624,5,5,1,0.276
3029,35235,5,5,1,0.357
3030,3036,5,5,1,0.249
3030,16301,5,5,1,0.29
3031,3030,5,5,1,0.093
3031,3032,5,5,1,0.368
3031,16301,5,5,1,0.242
3032,3031,5,5,1,0.368
3032,3729,5,5,1,0.172
3034,3036,5,5,1,0.367
3034,20156,5,5,1,0.387
3034,185505,5,5,2,0.433
3036,3030,5,5,1,0.249
3036,3034,5,5,1,0.367
3036,18353,5,5,1,0.124
3036,129654,5,5,1,0.841
3095,35529,5,5,1,0.222
3095,35531,5,5,1,0.107
3096,22227,5,5,1,0.205
3096,22228,5,5,1,0.215
3096,22234,5,5,1,0.782
3096,35533,5,5,1,0.459
3097,3095,5,5,1,0.519
3097,35531,5,5,1,0.471
3097,35533,5,5,1,0.202
3109,537,5,5,1,0.151
3109,5571,5,5,2,1.083
3109,36157,5,5,1,0.641
3164,3165,5,5,1,0.313
3164,3167,5,5,1,0.301
3164,220323,5,5,1,0.356
3165,3164,5,5,1,0.313
3165,3176,5,5,1,0.321
3166,3167,5,5,1,0.302
3166,34291,5,5,1,0.53
3166,41319,5,5,1,0.338
3166,220323,5,5,1,0.256
3167,3164,5,5,1,0.301
3167,3166,5,5,1,0.302
3168,41313,5,5,1,0.748
3168,77703,5,5,1,0.231
3168,229967,5,5,1,0.258
3169,42208,5,5,2,0.52
3169,200783,5,5,2,0.282
3169,220322,5,5,1,0.109
3169,229965,5,5,1,0.16
3170,3168,5,5,1,0.412
3170,6931,5,5,1,0.263
3170,58860,5,5,1,0.255
3170,77696,5,5,1,0.493
3176,3165,5,5,1,0.321
3176,3176,5,5,1,0
3176,3177,5,5,1,0.252
3177,3165,5,5,1,0.574
3177,3176,5,5,1,0.252
3177,37747,5,5,1,0.351
3177,97133,5,5,1,0.272
3253,42566,5,5,2,0.894
3253,46165,5,5,1,0.227
3253,46168,5,5,1,0.15
3255,175702,5,5,1,0.228
3255,204831,5,5,1,0.148
3302,3307,5,5,2,1.625
3302,186110,5,5,3,1.979
3307,33877,5,5,3,2.142
3307,129009,5,5,1,0.322
3333,3333,5,5,1,0
3333,20550,5,5,7,3.548
3333,31254,5,5,1,0.534
3333,42303,5,5,2,1.187
3333,44009,5,5,1,0.541
3333,88674,5,5,1,0.472
3333,127776,5,5,1,0.462
3406,16300,5,5,1,0.06
3406,22148,5,5,1,0.166
3511,3513,5,5,1,0.242
3511,7246,5,5,1,0.595
3511,34089,5,5,1,0.531
3512,3513,5,5,1,0.171
3512,236727,5,5,1,0.074
3513,3511,5,5,1,0.242
3513,3512,5,5,1,0.171
3514,3515,5,5,1,0.255
3514,236723,5,5,1,0.135
3515,3512,5,5,1,0.28
3515,3514,5,5,1,0.255
3516,3514,5,5,1,0.195
3516,207501,5,5,1,0.066
3599,3600,5,5,1,0.238
3599,16400,5,5,2,0.295
3600,3599,5,5,1,0.238
3600,113578,5,5,1,0.335
3601,3602,5,5,1,0.238
3601,20158,5,5,1,0.544
3601,21933,5,5,1,0.277
3602,3601,5,5,1,0.238
3602,3682,5,5,1,0.476
3602,20158,5,5,2,0.779
3604,14413,5,5,4,0.282
3604,27818,5,5,1,0.223
3605,36055,5,5,1,0.258
3605,48691,5,5,1,0.167
3606,14413,5,5,2,0.387
3606,50403,5,5,1,0.353
3606,123286,5,5,1,0.255
3606,123288,5,5,1,0.108
3623,22148,5,5,1,0.214
3623,94006,5,5,1,0.2
3624,3029,5,5,1,0.276
3624,16300,5,5,1,0.496
3681,3682,5,5,1,0.275
3681,10623,5,5,1,0.297
3681,36092,5,5,1,0.459
3681,141134,5,5,2,0.214
3682,3602,5,5,1,0.476
3682,3681,5,5,1,0.275
3682,36092,5,5,1,0.7
3729,3032,5,5,1,0.172
3729,129654,5,5,1,0.186
3770,6372,5,5,2,2.352
3770,35704,5,5,2,1.499
3788,6922,5,5,1,0.373
3788,18783,5,5,1,0.811
3811,11983,5,5,5,3.188
3811,26271,5,5,4,4.432
3811,27239,5,5,4,1.289
3811,35422,5,5,3,2.388
3811,44359,5,5,2,1.723
3850,3851,5,5,1,0.233
3850,10186,5,5,1,1.884
3850,31957,5,5,2,1.034
3851,3850,5,5,1,0.233
3851,3852,5,5,1,0.481
3852,3851,5,5,1,0.481
3852,42730,5,5,3,1.608
4096,24930,5,5,1,0.163
4096,153308,5,5,1,0.302
4174,25740,5,5,1,0.162
4174,182440,5,5,1,0.329
4204,22064,5,5,1,0.175
4204,22067,5,5,1,0.348
4204,30901,5,5,1,0.245
4254,34291,5,5,1,0.949
4254,34301,5,5,1,0.522
4284,4285,5,5,1,0.329
4284,4818,5,5,3,1.356
4285,4284,5,5,1,0.329
4285,4285,5,5,1,0
4285,4288,5,5,2,0.907
4285,10644,5,5,7,3.51
4285,22781,5,5,4,1.862
4285,24778,5,5,1,0.357
4285,26146,5,5,3,0.794
4285,42670,5,5,1,0.256
4285,43826,5,5,1,0.337
4287,4287,5,5,1,0
4287,17360,5,5,4,1.953
4287,17590,5,5,1,0.278
4287,37482,5,5,1,0.172
4288,4285,5,5,3,0.907
4288,42658,5,5,1,0.236
4367,40005,5,5,1,0.402
4367,44453,5,5,1,0.305
4369,4373,5,5,1,0.412
4369,24503,5,5,5,2.78
4370,4373,5,5,1,0.264
4370,23535,5,5,1,0.236
4370,206677,5,5,2,0.491
4372,4373,5,5,1,0.343
4372,4377,5,5,1,0.346
4372,17719,5,5,2,0.347
4372,192660,5,5,3,0.353
4373,4369,5,5,1,0.412
4373,4372,5,5,1,0.343
4373,42580,5,5,18,10.367
4375,2541,5,5,1,0.39
4375,4376,5,5,1,0.366
4376,4375,5,5,1,0.366
4376,4377,5,5,1,0.179
4377,4372,5,5,1,0.346
4377,4376,5,5,1,0.179
4438,42573,5,5,1,0.267
4438,42574,5,5,1,0.241
4439,4443,5,5,1,0.423
4439,6923,5,5,3,1.985
4439,39008,5,5,6,4.901
4440,31250,5,5,1,0.137
4440,137456,5,5,1,0.214
4441,17800,5,5,1,0.502
