node,layer,lat,lon,degree,geometry
56,5,52.68584,-1.27855,4,"-1.27855, 52.68584"
114,5,52.65001,-1.20541,5,"-1.20541, 52.65001"
116,5,52.65091,-1.20372,4,"-1.20372, 52.65091"
119,5,52.65304,-1.20039,4,"-1.20039, 52.65304"
121,5,52.65537,-1.1969,4,"-1.1969, 52.65537"
124,5,52.65966,-1.20463,6,"-1.20463, 52.65966"
125,5,52.65858,-1.19403,5,"-1.19403, 52.65858"
126,5,52.65679,-1.19359,11,"-1.19359, 52.65679"
128,5,52.65533,-1.19013,8,"-1.19013, 52.65533"
161,5,52.61118,-1.25832,6,"-1.25832, 52.61118"
321,5,52.71952,-0.84849,4,"-0.84849, 52.71952"
463,5,52.45357,-1.05202,4,"-1.05202, 52.45357"
464,5,52.45256,-1.05612,4,"-1.05612, 52.45256"
465,5,52.47354,-0.98821,4,"-0.98821, 52.47354"
466,5,52.4521,-1.05723,4,"-1.05723, 52.4521"
535,5,52.69723,-1.18964,4,"-1.18964, 52.69723"
536,5,52.69471,-1.17764,4,"-1.17764, 52.69471"
537,5,52.69822,-1.17247,4,"-1.17247, 52.69822"
538,5,52.69629,-1.17533,4,"-1.17533, 52.69629"
539,5,52.69283,-1.18327,4,"-1.18327, 52.69283"
540,5,52.69307,-1.18119,4,"-1.18119, 52.69307"
556,5,52.66783,-1.09931,4,"-1.09931, 52.66783"
605,5,52.45982,-1.19867,4,"-1.19867, 52.45982"
607,5,52.45273,-1.19984,8,"-1.19984, 52.45273"
609,5,52.46406,-1.19825,4,"-1.19825, 52.46406"
620,5,52.45726,-1.20001,9,"-1.20001, 52.45726"
710,5,52.64976,-1.17606,4,"-1.17606, 52.64976"
721,5,52.47788,-0.92071,7,"-0.92071, 52.47788"
1134,5,52.6177,-0.90212,4,"-0.90212, 52.6177"
1159,5,52.48857,-1.27499,4,"-1.27499, 52.48857"
1172,5,52.6339,-1.14753,8,"-1.14753, 52.6339"
1235,5,52.66776,-1.3165,4,"-1.3165, 52.66776"
1354,5,52.78241,-1.21363,4,"-1.21363, 52.78241"
1355,5,52.76401,-1.2467,4,"-1.2467, 52.76401"
1356,5,52.76486,-1.23267,4,"-1.23267, 52.76486"
1357,5,52.76612,-1.22995,4,"-1.22995, 52.76612"
1359,5,52.7631,-1.23615,4,"-1.23615, 52.7631"
1647,5,52.63258,-1.14405,5,"-1.14405, 52.63258"
1648,5,52.64008,-1.13801,7,"-1.13801, 52.64008"
1649,5,52.63956,-1.14034,4,"-1.14034, 52.63956"
1650,5,52.64157,-1.13847,4,"-1.13847, 52.64157"
1651,5,52.64152,-1.14311,5,"-1.14311, 52.64152"
1717,5,52.6185,-0.93909,8,"-0.93909, 52.6185"
1720,5,52.61443,-0.93538,4,"-0.93538, 52.61443"
1860,5,52.48548,-1.26243,4,"-1.26243, 52.48548"
1896,5,52.56962,-1.16562,4,"-1.16562, 52.56962"
1946,5,52.64828,-1.08777,4,"-1.08777, 52.64828"
2006,5,52.60993,-1.08789,5,"-1.08789, 52.60993"
2012,5,52.60464,-1.09061,8,"-1.09061, 52.60464"
2179,5,52.62557,-1.0926,4,"-1.0926, 52.62557"
2180,5,52.6252,-1.09744,4,"-1.09744, 52.6252"
2181,5,52.62476,-1.1057,7,"-1.1057, 52.62476"
2182,5,52.6305,-1.08793,8,"-1.08793, 52.6305"
2183,5,52.63234,-1.08967,5,"-1.08967, 52.63234"
2238,5,52.69261,-1.30806,8,"-1.30806, 52.69261"
2240,5,52.6907,-1.30984,4,"-1.30984, 52.6907"
2241,5,52.69155,-1.30901,4,"-1.30901, 52.69155"
2242,5,52.68941,-1.31069,6,"-1.31069, 52.68941"
2243,5,52.69334,-1.307,4,"-1.307, 52.69334"
2348,5,52.65331,-1.14787,6,"-1.14787, 52.65331"
2349,5,52.65411,-1.14951,4,"-1.14951, 52.65411"
2350,5,52.65212,-1.1475,4,"-1.1475, 52.65212"
2351,5,52.652,-1.15139,4,"-1.15139, 52.652"
2352,5,52.6568,-1.13614,4,"-1.13614, 52.6568"
