ori_node,des_node,ori_layer,des_layer,minutes,km
93,10335,5,5,1,0.541
93,46113,5,5,1,0.377
95,97,5,5,1,1.948
95,98,5,5,1,0.363
95,46113,5,5,6,2.815
95,158871,5,5,3,1.949
96,97,5,5,1,0.636
96,46113,5,5,1,0.247
97,95,5,5,1,1.948
97,96,5,5,1,0.636
97,168721,5,5,4,1.948
98,95,5,5,1,0.363
98,15316,5,5,1,1.806
98,48369,5,5,1,0.544
268,50602,5,5,1,0.113
268,185298,5,5,1,0.341
268,233536,5,5,1,0.458
308,3267,5,5,1,0.502
308,22108,5,5,3,2.182
526,49720,5,5,1,0.324
526,214189,5,5,1,0.304
641,31982,5,5,5,2.577
641,44100,5,5,2,1.378
641,198927,5,5,1,0.2
748,21481,5,5,2,1.047
748,46394,5,5,1,0.429
748,46403,5,5,1,0.393
749,750,5,5,1,0.194
749,24896,5,5,1,0.392
750,749,5,5,1,0.194
750,34784,5,5,1,1.043
750,45856,5,5,3,1.153
751,3206,5,5,1,0.26
751,19018,5,5,1,0.097
751,24896,5,5,1,0.461
751,187719,5,5,2,0.631
752,3206,5,5,1,0.436
752,10222,5,5,1,1.298
753,11053,5,5,1,0.296
753,34820,5,5,1,1.043
753,188971,5,5,1,0.111
754,756,5,5,2,0.26
754,4466,5,5,1,0.71
754,33118,5,5,1,0.362
755,33118,5,5,1,0.384
755,33119,5,5,1,0.4
756,754,5,5,1,0.26
756,4466,5,5,1,0.92
756,33118,5,5,1,0.263
778,20698,5,5,1,0.321
778,22885,5,5,3,1.272
778,47512,5,5,6,3.815
839,18102,5,5,1,2.422
839,22102,5,5,2,1.376
839,36403,5,5,3,1.859
839,36550,5,5,1,0.501
839,39627,5,5,1,0.254
839,67224,5,5,4,2.299
940,941,5,5,1,0.307
940,45343,5,5,1,0.481
941,940,5,5,1,0.307
941,947,5,5,1,0.41
941,35276,5,5,1,0.256
942,35276,5,5,1,0.239
942,36305,5,5,2,1.35
947,941,5,5,1,0.41
947,11622,5,5,2,1.704
947,35276,5,5,2,0.255
977,11258,5,5,1,0.636
977,17864,5,5,2,1.033
1169,47839,5,5,1,0.36
1223,1224,5,5,1,0.653
1223,18102,5,5,5,2.983
1223,20485,5,5,2,0.778
1223,22102,5,5,2,3.016
1223,31038,5,5,1,0.388
1223,46086,5,5,2,1.098
1223,130485,5,5,5,3.074
1224,1223,5,5,1,0.653
1224,31038,5,5,1,0.264
1224,46086,5,5,1,0.447
1313,1314,5,5,1,0.193
1313,9182,5,5,2,0.312
1314,1313,5,5,1,0.193
1314,33953,5,5,1,0.164
1368,42514,5,5,1,0.498
1368,208341,5,5,1,0.989
1369,3527,5,5,1,0.106
1369,17864,5,5,3,2.398
1369,128825,5,5,2,0.65
1373,33756,5,5,1,0.119
1373,41510,5,5,1,1.12
1415,32468,5,5,2,3.602
1415,46726,5,5,2,2.268
1416,26177,5,5,5,2.223
1416,38317,5,5,9,4.235
1599,7798,5,5,1,0.375
1599,26997,5,5,1,0.331
1599,46397,5,5,1,0.257
1631,9111,5,5,3,4.815
1631,111744,5,5,8,4.861
1639,641,5,5,3,3.052
1639,10312,5,5,2,2.068
1639,44100,5,5,2,1.746
1654,12341,5,5,1,0.162
1654,13636,5,5,1,0.246
1676,12341,5,5,1,0.154
1676,12342,5,5,1,0.096
1692,2392,5,5,3,4.494
1692,3790,5,5,1,0.197
1694,3790,5,5,1,0.161
1694,9106,5,5,1,0.96
1852,11052,5,5,1,0.315
1853,5445,5,5,1,0.376
1855,14434,5,5,2,1.011
1870,10946,5,5,2,0.291
1870,22990,5,5,6,2.246
1870,47743,5,5,4,1.991
1870,47961,5,5,2,2.218
2125,2948,5,5,1,0.17
2125,109605,5,5,1,0.384
2235,16231,5,5,1,0.335
2235,16234,5,5,1,0.864
2392,1692,5,5,5,4.494
2392,29856,5,5,1,0.573
2633,21155,5,5,1,0.201
2633,43894,5,5,1,0.481
2633,43895,5,5,4,1.158
2701,5721,5,5,3,1.051
2701,45595,5,5,1,0.224
2773,31037,5,5,1,0.115
2773,40807,5,5,1,0.1
2773,262157,5,5,1,0.123
2847,45336,5,5,3,1.106
2876,5196,5,5,2,1.389
2876,10946,5,5,5,0.305
2876,22990,5,5,2,1.991
2876,47961,5,5,3,2.547
2943,40075,5,5,1,0.415
2943,43273,5,5,1,0.4
2948,2125,5,5,1,0.17
2948,34322,5,5,1,0.313
3189,12635,5,5,1,0.312
3189,142232,5,5,1,0.227
3206,751,5,5,1,0.26
3206,752,5,5,1,0.436
3222,10855,5,5,2,1.007
3222,34218,5,5,1,0.29
3222,42120,5,5,1,0.891
3267,308,5,5,1,0.502
3267,31980,5,5,1,0.282
3334,17419,5,5,1,0.287
3334,34218,5,5,1,0.3
3523,3967,5,5,2,2.21
3523,50725,5,5,1,0.11
3523,51038,5,5,1,1.218
3527,51039,5,5,5,1.736
3527,128825,5,5,2,0.754
3790,1692,5,5,1,0.197
3790,1694,5,5,1,0.161
3790,47735,5,5,1,0.437
3793,15316,5,5,2,2.01
3793,48369,5,5,2,2.278
3793,51034,5,5,1,0.982
3801,28314,5,5,1,0.498
3801,35694,5,5,7,4.359
3801,48636,5,5,2,0.729
3801,82465,5,5,5,3.621
3856,4504,5,5,8,7.44
3856,24079,5,5,1,0.324
3856,45803,5,5,1,0.868
3946,10332,5,5,1,0.878
3946,203773,5,5,15,1.881
3967,3523,5,5,2,2.21
3967,128825,5,5,1,0.604
4075,4077,5,5,1,0.405
4075,26342,5,5,1,0.627
4077,4075,5,5,1,0.405
4077,44848,5,5,2,0.772
4077,60959,5,5,2,0.831
4094,15310,5,5,1,0.514
4109,4111,5,5,1,0.523
4109,4114,5,5,2,0.52
4109,42662,5,5,1,0.313
4111,4109,5,5,1,0.523
4111,30554,5,5,1,1.176
4111,126524,5,5,3,2.133
4114,6588,5,5,2,1.367
4114,8459,5,5,4,1.664
4114,24969,5,5,1,0.388
4114,42662,5,5,1,0.23
4114,51450,5,5,1,1.622
4114,168701,5,5,1,0.199
4114,183136,5,5,2,0.362
4359,5190,5,5,1,0.266
4359,9173,5,5,4,2.29
4359,22990,5,5,1,0.948
4359,29781,5,5,2,1.746
4466,754,5,5,1,0.71
4466,756,5,5,1,0.92
4466,4466,5,5,1,0
4466,11053,5,5,1,0.231
4466,17916,5,5,1,0.489
4466,23704,5,5,13,4.348
4466,34062,5,5,10,2.721
4466,183593,5,5,10,4.149
4477,15742,5,5,1,0.213
4477,36303,5,5,1,0.239
4483,11505,5,5,1,1.06
4483,15986,5,5,1,1.751
4483,60866,5,5,5,2.338
4504,3856,5,5,5,7.44
4504,23969,5,5,4,1.478
4504,39923,5,5,9,10.456
4504,43316,5,5,5,3.828
4507,17646,5,5,1,0.352
4507,39641,5,5,8,3.85
4557,4562,5,5,1,0.202
4557,17860,5,5,1,0.283
4562,4557,5,5,1,0.202
4562,13737,5,5,1,0.186
4710,40446,5,5,1,0.459
4710,40780,5,5,1,0.202
4734,30554,5,5,1,0.198
4734,30577,5,5,1,0.186
4832,5693,5,5,5,3.269
4832,14717,5,5,4,3.409
4832,45343,5,5,5,3.492
5137,14256,5,5,2,1.259
5140,20878,5,5,1,0.25
5140,36405,5,5,1,1.239
5140,225706,5,5,1,0.229
5152,5155,5,5,1,0.373
5152,192913,5,5,1,0.477
5153,10859,5,5,1,0.73
5153,16611,5,5,1,0.565
5153,24275,5,5,1,0.412
5153,24278,5,5,1,0.106
5153,26521,5,5,1,1.008
5153,40988,5,5,1,0.74
5153,42624,5,5,1,0.179
5154,5156,5,5,1,0.355
5154,24285,5,5,1,0.416
