node,layer,lat,lon,degree,geometry
96,4,53.15284,-0.21097,13,"-0.21097, 53.15284"
641,4,52.93037,-0.40962,17,"-0.40962, 52.93037"
10312,4,52.9732,-0.42814,12,"-0.42814, 52.9732"
20036,4,53.19537,-0.59816,37,"-0.59816, 53.19537"
22108,4,53.05933,-0.28352,16,"-0.28352, 53.05933"
27199,4,53.22611,-0.53992,55,"-0.53992, 53.22611"
28169,4,53.03979,-0.33986,14,"-0.33986, 53.03979"
29814,4,53.07809,-0.27403,4,"-0.27403, 53.07809"
40257,4,52.99549,-0.41034,68,"-0.41034, 52.99549"
40717,4,53.28726,-0.30394,25,"-0.30394, 53.28726"
47496,4,53.08003,-0.81315,54,"-0.81315, 53.08003"
62231,4,52.99826,-0.3986,10,"-0.3986, 52.99826"
