ori_node,des_node,ori_layer,des_layer,minutes,km
9513,20036,2,2,6,7.52
9513,20485,2,2,4,4.251
13167,20485,2,2,8,7.577
13167,47496,2,2,4,0.944
20036,9513,2,2,6,7.52
20036,27199,2,2,10,5.161
20485,9513,2,2,4,4.251
20485,13167,2,2,10,7.577
20485,27199,2,2,15,16.7
20485,47496,2,2,9,8.252
22694,27199,2,2,13,13.831
22694,28785,2,2,9,10.839
26314,40257,2,2,4,3.295
27199,20036,2,2,7,5.161
27199,20485,2,2,14,16.7
27199,22694,2,2,12,13.831
27199,36726,2,2,9,9.424
27199,47496,2,2,23,24.37
27199,48636,2,2,16,22.14
28785,22694,2,2,9,10.839
28785,40257,2,2,9,5.474
30396,40257,2,2,7,8.036
36726,27199,2,2,11,9.424
36726,43262,2,2,12,14.908
40257,26314,2,2,4,3.295
40257,28785,2,2,7,5.474
40257,30396,2,2,7,8.036
43262,36726,2,2,12,14.908
47496,13167,2,2,8,0.944
47496,20485,2,2,8,8.252
47496,27199,2,2,26,24.37
48636,27199,2,2,18,22.14
