ori_node,des_node,ori_layer,des_layer,minutes,km
3492,3492,5,5,1,0
3492,29893,5,5,2,3.111
3492,124081,5,5,2,1.723
3492,133931,5,5,2,1.517
6172,6172,5,5,1,0
6172,65746,5,5,1,0.372
6172,65748,5,5,1,0.919
6172,173332,5,5,2,1.131
7461,7461,5,5,1,0
7461,83549,5,5,2,1.346
7461,83551,5,5,1,1.438
7461,165357,5,5,2,0.638
7586,30439,5,5,4,3.682
7586,84561,5,5,1,0.906
7586,110398,5,5,1,0.424
7586,135095,5,5,20,11.835
7586,158176,5,5,1,0.303
7586,180028,5,5,4,3.153
7586,191287,5,5,1,0.431
7586,232111,5,5,1,0.717
29893,3492,5,5,4,3.111
29893,113395,5,5,1,0.292
29893,113401,5,5,4,0.703
29893,133933,5,5,1,0.263
29893,164248,5,5,4,1.344
29893,256125,5,5,7,0.834
30439,30439,5,5,1,0
30439,85172,5,5,3,3.342
30439,161995,5,5,1,1.506
30439,161997,5,5,1,1.235
42067,42067,5,5,1,0
42067,55390,5,5,2,0.469
42067,110395,5,5,1,0.339
42067,110399,5,5,2,0.506
42067,227193,5,5,1,0.259
47796,47796,5,5,1,0
47796,65745,5,5,2,1.959
47796,68854,5,5,10,2.338
47796,135099,5,5,3,2.985
52482,191290,5,5,1,0.254
52482,211418,5,5,1,0.113
52482,250113,5,5,1,0.131
53736,53742,5,5,4,2.85
53736,53746,5,5,2,1.676
53737,122813,5,5,16,2.981
53739,125236,5,5,1,0.1
53740,162169,5,5,1,0.086
53740,254798,5,5,3,1.257
53741,53744,5,5,6,1.609
53742,53740,5,5,1,0.166
53742,53745,5,5,3,1.713
53743,53745,5,5,1,0.708
53744,53743,5,5,1,0.454
53745,53737,5,5,2,1.178
53745,53746,5,5,2,0.69
53746,132730,5,5,4,1.559
53746,257203,5,5,3,2.087
55382,55383,5,5,1,0.294
55382,143940,5,5,1,0.28
55383,55385,5,5,4,1.11
55384,136978,5,5,2,1.294
55384,157401,5,5,2,1.468
55384,219918,5,5,4,1.185
55385,55386,5,5,1,1.108
55385,75381,5,5,5,1.012
55386,55384,5,5,1,0.276
55386,75379,5,5,1,0.066
55390,110399,5,5,1,0.276
55391,148316,5,5,1,0.148
55391,158175,5,5,4,0.855
55391,191291,5,5,4,4.131
55391,191292,5,5,1,0.356
56131,56132,5,5,3,0.348
56131,56136,5,5,5,2.435
56131,244941,5,5,7,2.001
56132,56136,5,5,2,2.227
56132,225563,5,5,5,0.352
56135,135102,5,5,1,0.149
56135,235098,5,5,12,5.419
56135,241474,5,5,4,3.12
56135,244944,5,5,2,1.398
56135,245782,5,5,3,4.291
56136,56131,5,5,13,2.435
56136,56132,5,5,2,2.227
56136,223379,5,5,5,1.437
56136,247379,5,5,1,0.713
56136,256123,5,5,15,4.032
56137,56131,5,5,5,0.796
56137,56138,5,5,1,0.426
56138,244941,5,5,3,0.911
62175,165864,5,5,2,0.604
62175,256640,5,5,1,0.442
62176,62175,5,5,1,0.097
62176,148317,5,5,1,0.146
62177,225531,5,5,1,0.22
63637,63643,5,5,1,0.108
63637,123115,5,5,1,0.215
63643,123115,5,5,1,0.323
64209,55386,5,5,1,1.12
64209,75381,5,5,4,1.026
64974,64209,5,5,10,3.16
65744,47796,5,5,4,1.948
65745,65747,5,5,1,0.457
65745,135095,5,5,10,6.418
65745,135099,5,5,50,1.641
65745,173332,5,5,2,0.861
65746,65744,5,5,2,0.456
65746,173332,5,5,2,0.766
65747,6172,5,5,1,0.38
65747,223376,5,5,5,2.522
65748,79557,5,5,1,0.563
65748,135099,5,5,1,0.081
65749,6172,5,5,1,0.924
65749,47796,5,5,6,2.904
66135,165869,5,5,3,1.244
66136,161996,5,5,6,1.97
68010,159130,5,5,2,1.217
68852,113144,5,5,3,1.081
68853,223382,5,5,2,2.214
68854,65744,5,5,1,0.52
68854,256126,5,5,5,1.095
68856,79566,5,5,4,4.292
68856,122815,5,5,4,2.59
68856,135102,5,5,6,4.332
68856,223379,5,5,3,0.794
68856,247385,5,5,1,0.253
69514,3492,5,5,3,2.172
69514,245774,5,5,1,0.508
69516,69517,5,5,1,0.203
69517,227193,5,5,4,2.542
72699,62175,5,5,1,0.164
72699,191283,5,5,1,0.056
72699,250113,5,5,1,0.056
73773,83549,5,5,4,4.04
73774,236929,5,5,2,1.841
73775,219923,5,5,1,0.088
73776,236929,5,5,2,1.719
75374,164450,5,5,1,0.165
75375,75380,5,5,1,0.569
75376,75375,5,5,2,0.45
75377,164444,5,5,1,0.025
75377,164445,5,5,1,0.136
75377,164450,5,5,1,0.132
75378,64975,5,5,10,3.15
75379,55384,5,5,1,0.21
75380,55386,5,5,1,0.318
75380,75378,5,5,5,1.045
75381,55385,5,5,3,1.012
75381,55386,5,5,1,0.328
75381,75376,5,5,1,0.148
75665,75672,5,5,2,0.326
75665,75675,5,5,1,0.109
75665,186466,5,5,10,0.474
75666,254802,5,5,1,0.282
75669,75666,5,5,1,0.169
75670,75673,5,5,2,0.147
75670,135095,5,5,2,0.454
75670,186466,5,5,2,0.436
75670,241532,5,5,1,0.303
75672,75665,5,5,2,0.326
75672,75675,5,5,1,0.282
75672,241532,5,5,2,0.288
75673,75672,5,5,2,0.118
75675,75665,5,5,1,0.109
75675,135095,5,5,5,0.398
76629,196152,5,5,7,3.441
76629,246323,5,5,5,4.98
77662,132725,5,5,6,2.282
77662,132736,5,5,5,2.436
77662,142654,5,5,7,2.176
77662,257204,5,5,4,3.59
77663,127073,5,5,3,0.668
77664,244945,5,5,3,2.037
77664,254799,5,5,3,2.276
79225,186240,5,5,1,0.824
79225,254803,5,5,2,0.822
79225,254804,5,5,4,1.265
79557,65749,5,5,1,0.56
79566,117796,5,5,1,0.232
79566,135095,5,5,3,0.849
79566,256123,5,5,1,0.607
81377,111021,5,5,9,3.962
81377,138316,5,5,3,3.05
81377,150548,5,5,3,1.93
81377,250114,5,5,4,3.06
81453,111025,5,5,1,0.36
82024,66136,5,5,3,1.168
82116,235377,5,5,1,0.064
83380,83552,5,5,4,0.927
83384,170192,5,5,3,0.918
83384,170194,5,5,1,0.094
83549,7461,5,5,1,1.346
83549,83384,5,5,6,3.25
83549,93036,5,5,3,1.25
83551,73774,5,5,5,3.928
83553,83384,5,5,4,0.921
83553,170194,5,5,5,0.972
84561,30439,5,5,4,2.929
85172,93924,5,5,1,0.177
85172,161994,5,5,5,3.088
85173,85176,5,5,1,0.498
85174,161994,5,5,3,3.02
85176,161994,5,5,1,0.962
93034,165356,5,5,9,2.769
93035,223916,5,5,4,4.755
93036,93035,5,5,10,2.769
93922,82024,5,5,1,0.685
93922,85173,5,5,1,1.575
93924,256124,5,5,7,6.366
95657,120330,5,5,1,0.169
95657,120331,5,5,1,0.156
95657,203496,5,5,1,0.116
103579,55382,5,5,2,1.433
103579,136978,5,5,1,0.57
103579,143939,5,5,2,0.68
103580,136977,5,5,1,0.222
103580,164449,5,5,4,1.874
103581,103584,5,5,1,0.467
103581,143936,5,5,1,0.509
103582,103581,5,5,1,0.492
103584,113398,5,5,2,1.413
103585,157407,5,5,1,0.574
106776,106778,5,5,2,1.612
106776,170191,5,5,2,1.458
106777,106776,5,5,1,1.793
106778,73773,5,5,3,1.84
106778,106779,5,5,3,1.76
106778,219920,5,5,3,1.787
106779,86676,5,5,4,2.898
107261,165869,5,5,1,1.036
110395,55390,5,5,1,0.147
110395,110399,5,5,1,0.234
110396,42067,5,5,1,0.327
110396,212320,5,5,1,0.043
110398,110396,5,5,1,0.218
110399,7586,5,5,1,0.411
110400,55391,5,5,2,0.776
110400,256432,5,5,2,0.769
111021,140582,5,5,1,0.286
111021,196148,5,5,5,3.117
111021,211206,5,5,5,3.12
111022,111026,5,5,5,2.734
111023,111024,5,5,3,1.779
111024,161998,5,5,2,1.271
111024,182439,5,5,1,0.703
111025,111023,5,5,2,0.969
111026,81453,5,5,1,0.373
111825,82116,5,5,1,0.081
113144,113145,5,5,5,0.841
113145,65749,5,5,2,0.297
113148,68856,5,5,1,0.456
113148,247376,5,5,1,0.297
113394,123119,5,5,1,0.586
113394,256125,5,5,2,1.062
113395,113397,5,5,1,0.61
113395,123120,5,5,3,0.421
113395,133935,5,5,5,0.435
113396,29893,5,5,1,0.298
