node,layer,lat,lon,degree,geometry
3492,2,50.38674,-4.46452,17,"-4.46452, 50.38674"
6172,2,50.51607,-4.21945,15,"-4.21945, 50.51607"
7461,2,50.39427,-4.30845,17,"-4.30845, 50.39427"
29893,2,50.35922,-4.4562,19,"-4.4562, 50.35922"
42067,2,50.44685,-4.4675,28,"-4.4675, 50.44685"
47796,2,50.49757,-4.20871,16,"-4.20871, 50.49757"
177448,2,50.44591,-4.48189,4,"-4.48189, 50.44591"
221370,2,50.40568,-4.46649,4,"-4.46649, 50.40568"
241233,2,50.42622,-4.40926,4,"-4.40926, 50.42622"
257340,2,50.42303,-4.46356,6,"-4.46356, 50.42303"
