ori_node,des_node,ori_layer,des_layer,minutes,km
22,22,5,5,1,0
22,68441,5,5,1,0.258
22,77835,5,5,4,0.782
22,109525,5,5,4,1.317
22,184729,5,5,1,1.017
22,222118,5,5,2,0.792
66,87839,5,5,3,2.466
66,249679,5,5,3,1.422
234,82229,5,5,1,0.232
234,115353,5,5,1,0.175
234,260145,5,5,2,0.621
925,925,5,5,1,0
925,69650,5,5,1,0.314
925,76901,5,5,1,0.48
925,163356,5,5,1,0.423
1176,1176,5,5,1,0
1176,94502,5,5,1,0.345
1176,122329,5,5,3,0.665
1176,143147,5,5,1,0.396
1176,231080,5,5,1,0.326
1176,239453,5,5,1,0.406
1693,1693,5,5,1,0
1693,91134,5,5,1,0.416
1693,159595,5,5,1,0.308
1693,187743,5,5,1,0.407
1695,1695,5,5,1,0
1695,87838,5,5,4,2.624
1695,91135,5,5,1,0.325
1695,97483,5,5,2,0.631
1695,197030,5,5,1,0.536
1695,240505,5,5,4,0.629
1872,1872,5,5,1,0
1872,198337,5,5,1,0.322
1872,217672,5,5,1,0.322
1872,257237,5,5,1,0.285
2187,2187,5,5,1,0
2187,93470,5,5,1,0.348
3963,220261,5,5,1,0.274
3963,223651,5,5,1,0.455
3963,242707,5,5,1,0.577
4829,4829,5,5,1,0
4829,83296,5,5,1,0.444
4829,151922,5,5,1,0.252
4829,180421,5,5,1,0.644
4829,255554,5,5,1,0.318
5797,5797,5,5,1,0
5797,7082,5,5,1,0.806
5797,27157,5,5,7,0.775
5797,62171,5,5,1,0.397
5797,62172,5,5,1,0.414
5797,112954,5,5,1,0.497
5797,112958,5,5,1,0.535
5797,119428,5,5,1,0.448
5797,122631,5,5,1,0.512
5797,124999,5,5,2,0.509
5797,125699,5,5,1,0.438
5797,147342,5,5,1,0.462
5797,154718,5,5,1,1.055
5797,183531,5,5,1,0.523
5797,183534,5,5,1,0.483
5797,201649,5,5,1,0.473
5797,210860,5,5,3,0.77
5797,214121,5,5,1,0.162
5797,220805,5,5,1,0.549
5797,243533,5,5,1,0.496
7046,7046,5,5,1,0
7046,53072,5,5,1,0.434
7046,75646,5,5,1,0.361
7046,98473,5,5,1,0.394
7046,153481,5,5,1,0.526
7046,209272,5,5,1,0.39
7082,5797,5,5,1,0.806
7082,7082,5,5,1,0
7082,27157,5,5,1,0.542
7082,88683,5,5,1,0.809
7082,91796,5,5,1,0.621
7082,102846,5,5,1,0.811
7082,124996,5,5,1,0.359
7082,124997,5,5,2,0.341
7082,124998,5,5,2,0.345
7082,124999,5,5,2,0.335
7082,147342,5,5,1,0.461
7082,152382,5,5,1,0.195
7082,160622,5,5,1,0.652
7082,184202,5,5,2,0.825
7082,204169,5,5,2,0.44
7082,219282,5,5,1,0.481
7082,220805,5,5,1,0.564
7082,240152,5,5,1,0.603
11009,11009,5,5,1,0
11009,59351,5,5,1,0.518
11009,69004,5,5,1,0.32
11009,121947,5,5,1,0.406
11009,199155,5,5,1,0.441
11167,121188,5,5,1,0.336
11167,180194,5,5,1,0.362
11200,57461,5,5,1,0.405
11200,201542,5,5,1,0.307
11200,226805,5,5,1,0.279
12255,12255,5,5,1,0
12255,46217,5,5,1,0.547
12255,94343,5,5,1,0.297
12255,165231,5,5,1,0.489
13894,59134,5,5,1,0.492
13894,109255,5,5,1,0.258
13962,13962,5,5,1,0
13962,78725,5,5,1,0.425
13962,221351,5,5,1,0.405
13962,227772,5,5,1,0.511
13962,260601,5,5,1,0.48
13968,13968,5,5,1,0
13968,81658,5,5,1,0.373
13968,130292,5,5,1,0.499
13968,138158,5,5,1,0.266
13968,178102,5,5,1,0.469
13968,211396,5,5,1,0.5
16908,16908,5,5,1,0
