ori_node,des_node,ori_layer,des_layer,minutes,km
22,36247,2,2,2,1.436
22,41454,2,2,5,4.393
66,1695,2,2,2,1.83
66,253293,2,2,3,3.387
925,25903,2,2,3,0.878
925,31444,2,2,2,1.15
1176,5797,2,2,20,9.545
1176,24439,2,2,2,1.754
1176,43369,2,2,3,2.23
1693,31323,2,2,4,4.651
1693,45865,2,2,7,4.238
1695,66,2,2,2,1.83
1695,1872,2,2,7,9.935
1695,40031,2,2,18,11.532
1695,246865,2,2,3,2.645
1872,1695,2,2,8,9.935
1872,40031,2,2,9,1.752
1872,253293,2,2,5,4.749
2187,4829,2,2,4,3.279
2187,39813,2,2,3,3.105
3963,5797,2,2,10,3.676
3963,13962,2,2,3,1.952
3963,27382,2,2,7,5.312
3963,41207,2,2,2,1.586
4829,2187,2,2,4,3.279
4829,32496,2,2,2,1.397
5797,3963,2,2,5,3.676
5797,5797,2,2,1,0
5797,7082,2,2,2,0.806
5797,13968,2,2,8,5.129
5797,23986,2,2,3,2.525
5797,27382,2,2,9,8.974
5797,41207,2,2,4,2.147
5797,43369,2,2,9,7.975
7046,19071,2,2,3,2.019
7046,27382,2,2,3,3.116
7082,5797,2,2,2,0.806
7082,7082,2,2,1,0
7082,25903,2,2,3,2.585
11009,12255,2,2,3,2.113
11009,25903,2,2,2,1.397
11167,17675,2,2,3,2.522
11167,25475,2,2,2,1.488
11200,22605,2,2,3,1.6
11200,24175,2,2,2,1.631
12255,11009,2,2,2,2.113
12255,20817,2,2,1,2.249
12255,46217,2,2,1,0.547
13962,3963,2,2,3,1.952
13962,26071,2,2,3,2.515
13962,27382,2,2,4,3.36
13968,5797,2,2,11,5.129
13968,35496,2,2,2,1.236
13968,41207,2,2,5,3.327
16908,27382,2,2,4,3.283
17094,20817,2,2,3,2.936
17675,11167,2,2,2,2.522
17675,32496,2,2,4,4.433
18426,43369,2,2,2,1.518
18426,103512,2,2,2,1.193
19071,7046,2,2,3,2.019
19071,27382,2,2,5,5.134
20817,12255,2,2,3,2.249
20817,17094,2,2,3,2.936
21731,40052,2,2,2,1.482
21731,46217,2,2,2,1.411
22605,11200,2,2,2,1.6
22605,31444,2,2,1,0.754
23986,5797,2,2,4,2.525
23986,41433,2,2,2,1.759
24175,11200,2,2,2,1.631
24175,31744,2,2,3,1.701
24439,1176,2,2,3,1.754
24439,43369,2,2,6,3.98
25475,11167,2,2,2,1.488
25475,40031,2,2,5,1.593
25903,925,2,2,2,0.878
25903,7082,2,2,3,2.585
25903,11009,2,2,2,1.397
26071,13962,2,2,2,2.515
26071,27382,2,2,1,0.857
27382,3963,2,2,5,5.312
27382,5797,2,2,14,8.974
27382,7046,2,2,3,3.116
27382,13962,2,2,4,3.36
27382,16908,2,2,4,3.283
27382,26071,2,2,2,0.857
31323,1693,2,2,5,4.651
31444,925,2,2,2,1.15
31444,22605,2,2,2,0.754
31744,24175,2,2,3,1.701
31744,39813,2,2,2,1.264
32496,4829,2,2,2,1.397
32496,17675,2,2,4,4.433
35496,13968,2,2,2,1.236
35496,43369,2,2,3,1.729
36247,22,2,2,2,1.436
36247,45865,2,2,5,1.83
39813,2187,2,2,3,3.105
39813,31744,2,2,2,1.264
40031,1695,2,2,12,11.532
40031,1872,2,2,5,1.752
40031,25475,2,2,4,1.593
40052,21731,2,2,2,1.482
40052,41454,2,2,3,2.55
41207,3963,2,2,2,1.586
41207,5797,2,2,6,2.147
41207,13968,2,2,5,3.327
41433,23986,2,2,3,1.759
41433,103512,2,2,2,2.094
41454,22,2,2,4,4.393
41454,40052,2,2,3,2.55
43369,1176,2,2,3,2.23
43369,5797,2,2,10,7.975
43369,18426,2,2,3,1.518
43369,35496,2,2,2,1.729
45865,1693,2,2,4,4.238
45865,36247,2,2,3,1.83
46217,12255,2,2,2,0.547
46217,21731,2,2,3,1.411
103512,18426,2,2,2,1.193
103512,41433,2,2,2,2.094
246865,1695,2,2,3,2.645
253293,66,2,2,4,3.387
253293,1872,2,2,5,4.749
