ori_node,des_node,ori_layer,des_layer,minutes,km
482,24710,5,5,1,0.224
482,51664,5,5,1,0.141
579,6948,5,5,1,0.931
579,29196,5,5,1,0.856
579,70559,5,5,2,1.12
579,70865,5,5,1,0.627
579,187537,5,5,1,1.875
622,35649,5,5,1,0.148
622,38145,5,5,1,0.219
1671,24288,5,5,1,0.258
1671,29609,5,5,1,0.626
1671,39637,5,5,1,0.257
1959,1959,5,5,1,0
1959,99536,5,5,2,0.852
1959,136260,5,5,1,0.298
1959,162753,5,5,1,0.632
1959,171937,5,5,1,1.127
1959,184249,5,5,1,0.342
2177,5770,5,5,1,0.214
2177,13309,5,5,1,0.206
2177,29609,5,5,1,0.486
2413,2414,5,5,1,0.273
2414,2413,5,5,1,0.273
2414,14697,5,5,1,0.432
2414,14704,5,5,1,0.353
2625,211585,5,5,1,0.467
2625,216972,5,5,1,1.914
2625,218762,5,5,1,0.891
2986,2986,5,5,1,0
2986,236142,5,5,1,0.348
3233,14712,5,5,1,0.243
3233,25793,5,5,1,0.189
3233,48975,5,5,1,0.096
3924,482,5,5,1,0.44
3924,23597,5,5,1,0.26
4464,10226,5,5,1,0.337
4464,16561,5,5,1,0.767
4464,35034,5,5,1,0.714
4918,59462,5,5,2,1.426
4918,152210,5,5,1,0.151
4918,159819,5,5,2,1.903
4925,4925,5,5,1,0
4925,114573,5,5,1,0.437
4925,144010,5,5,1,0.299
4925,187331,5,5,1,0.428
4925,225792,5,5,1,0.535
5518,10540,5,5,1,0.31
5518,16561,5,5,1,0.324
5518,36329,5,5,1,0.269
5519,10540,5,5,1,0.257
5519,49822,5,5,1,0.366
5770,2177,5,5,1,0.214
5770,40197,5,5,1,0.1
5886,7070,5,5,1,0.227
5886,27628,5,5,1,0.117
5886,35649,5,5,1,0.137
6711,29123,5,5,1,0.258
6711,35034,5,5,1,0.289
6711,83434,5,5,1,0.164
6948,579,5,5,1,0.931
6948,63638,5,5,2,0.527
6948,188086,5,5,2,1.005
6948,230755,5,5,4,1.45
7070,5886,5,5,1,0.227
7070,15987,5,5,1,0.276
8386,6711,5,5,1,0.268
8386,36331,5,5,1,0.132
8386,250106,5,5,1,0.308
10226,4464,5,5,1,0.337
10226,10226,5,5,1,0
10226,253082,5,5,1,1.356
10433,13319,5,5,1,0.224
10433,23597,5,5,1,0.355
10540,5518,5,5,1,0.31
10540,5519,5,5,1,0.257
12028,24710,5,5,2,0.446
12028,240679,5,5,7,2.949
12814,56267,5,5,4,1.609
12814,128750,5,5,1,0.322
12814,198559,5,5,4,1.421
13309,2177,5,5,1,0.206
13309,13309,5,5,1,0
13309,29609,5,5,1,0.285
13309,38145,5,5,1,0.29
13319,10433,5,5,1,0.224
13319,29123,5,5,1,0.211
13475,49653,5,5,1,0.131
13475,208848,5,5,1,0.137
14697,2414,5,5,1,0.432
14704,2414,5,5,1,0.353
14704,34833,5,5,1,0.478
14712,3233,5,5,1,0.243
14712,31635,5,5,1,0.228
15521,15521,5,5,1,0
15521,59338,5,5,1,0.926
15521,59340,5,5,1,0.618
15521,68971,5,5,1,0.438
15521,260552,5,5,1,0.267
15987,7070,5,5,1,0.276
15987,43259,5,5,1,0.149
16561,4464,5,5,1,0.767
16561,5518,5,5,1,0.324
16561,35034,5,5,1,0.238
16561,36329,5,5,1,0.343
21262,219615,5,5,1,0.154
21262,254751,5,5,1,0.256
23597,3924,5,5,1,0.26
23597,10433,5,5,1,0.355
24288,1671,5,5,1,0.258
24288,29609,5,5,1,0.715
24288,53128,5,5,1,1.568
24288,238068,5,5,2,1.523
24640,47726,5,5,1,0.506
24640,49160,5,5,1,0.347
24710,482,5,5,1,0.224
24710,12028,5,5,1,0.446
24710,24710,5,5,1,0
24942,47726,5,5,1,0.289
24942,49822,5,5,1,0.246
25793,49509,5,5,1,0.282
25793,204118,5,5,1,0.226
25884,41439,5,5,1,0.04
25884,49968,5,5,1,0.224
25884,236123,5,5,1,0.263
25886,6711,5,5,1,0.363
25886,49680,5,5,1,0.154
27243,154083,5,5,1,0.303
27243,237802,5,5,1,0.749
27243,237803,5,5,1,0.668
27243,245320,5,5,1,0.24
27243,246583,5,5,1,0.582
27243,259307,5,5,1,0.231
27478,116775,5,5,6,3.059
27478,154850,5,5,1,0.281
27478,154852,5,5,1,0.211
27478,184244,5,5,1,0.711
27628,5886,5,5,1,0.117
27628,49160,5,5,1,0.196
29123,6711,5,5,1,0.258
29123,13319,5,5,1,0.211
29196,579,5,5,1,0.856
29196,57273,5,5,2,1.535
29196,85020,5,5,2,1.789
29196,137378,5,5,2,0.636
29196,150454,5,5,1,0.858
29609,1671,5,5,2,0.626
29609,13309,5,5,1,0.285
29609,24288,5,5,1,0.715
29609,29609,5,5,1,0
29609,37967,5,5,1,0.565
29609,38145,5,5,1,0.482
30163,213870,5,5,1,0.257
30163,256403,5,5,2,0.711
31635,14712,5,5,1,0.228
31635,37428,5,5,1,0.19
33078,137374,5,5,1,0.438
33078,137380,5,5,1,0.411
34568,49653,5,5,1,0.221
34568,208845,5,5,1,0.198
34568,252601,5,5,4,2.623
34831,34834,5,5,1,0.205
34831,53113,5,5,2,2.159
34833,14704,5,5,1,0.478
34833,34834,5,5,1,0.139
34833,182355,5,5,1,0.191
34833,182356,5,5,1,0.214
34834,34831,5,5,1,0.205
34834,34833,5,5,1,0.139
34834,182356,5,5,1,0.145
35034,4464,5,5,1,0.714
35034,6711,5,5,1,0.289
35034,16561,5,5,1,0.238
35069,35069,5,5,1,0
35069,57273,5,5,1,0.733
35069,174427,5,5,1,0.57
35069,174428,5,5,1,0.257
35649,622,5,5,1,0.148
35649,5886,5,5,1,0.137
35649,49160,5,5,1,0.391
36329,5518,5,5,1,0.269
36329,16561,5,5,1,0.343
36329,36331,5,5,1,0.184
36331,6711,5,5,1,0.184
36331,8386,5,5,1,0.132
36331,36329,5,5,1,0.184
37428,31635,5,5,1,0.19
37428,250106,5,5,2,0.197
37967,13309,5,5,1,0.294
37967,40197,5,5,1,0.285
38145,622,5,5,1,0.219
38145,13309,5,5,1,0.29
38965,44192,5,5,1,0.354
38965,44609,5,5,1,0.394
39404,166169,5,5,1,0.188
39404,222792,5,5,1,0.13
39637,1671,5,5,1,0.257
39637,43259,5,5,1,0.457
40197,5770,5,5,1,0.1
40197,37967,5,5,1,0.285
40197,40199,5,5,1,0.21
40199,40197,5,5,1,0.21
40199,44609,5,5,1,0.259
40199,49968,5,5,1,0.276
40560,114324,5,5,1,0.388
40560,145640,5,5,1,0.411
40560,162985,5,5,1,0.453
41439,48975,5,5,1,0.203
41439,49968,5,5,1,0.233
41439,236123,5,5,1,0.264
43259,15987,5,5,1,0.149
43259,39637,5,5,1,0.457
43757,228196,5,5,1,0.444
43757,237879,5,5,1,0.535
43927,108541,5,5,1,0.36
43927,128946,5,5,1,0.241
43927,147640,5,5,1,0.465
43927,180319,5,5,1,0.786
43927,188086,5,5,1,0.451
44192,44193,5,5,1,0.27
44192,219402,5,5,1,0.176
44193,44192,5,5,1,0.27
44193,47132,5,5,1,0.209
44609,38965,5,5,1,0.394
44609,40199,5,5,1,0.259
44609,49968,5,5,1,0.284
45680,45680,5,5,1,0
45680,71268,5,5,1,0.346
45680,108921,5,5,2,1.317
45680,129656,5,5,1,0.487
45680,175021,5,5,1,0.253
45680,175024,5,5,1,0.367
45680,261806,5,5,1,0.383
45680,261807,5,5,1,0.537
47132,44193,5,5,1,0.209
47132,49509,5,5,1,0.302
47132,240679,5,5,4,3.032
47581,103096,5,5,1,0.294
47581,256344,5,5,1,0.198
47726,24640,5,5,1,0.506
47726,233001,5,5,1,0.232
48975,3233,5,5,1,0.096
48975,41439,5,5,1,0.203
49160,24640,5,5,1,0.347
49160,27628,5,5,1,0.196
49509,25793,5,5,1,0.282
49509,44193,5,5,1,0.107
49651,25884,5,5,1,0.409
49651,39404,5,5,1,0.291
49651,49680,5,5,1,0.187
49653,13475,5,5,1,0.131
49653,34568,5,5,1,0.221
49653,153642,5,5,1,0.054
49653,208845,5,5,1,0.082
49680,25886,5,5,1,0.154
49680,49651,5,5,1,0.187
49822,5519,5,5,1,0.366
49822,24942,5,5,1,0.246
49822,39404,5,5,1,0.405
49968,25884,5,5,1,0.224
49968,40199,5,5,1,0.276
49968,44609,5,5,1,0.284
51664,3924,5,5,1,0.298
52275,254104,5,5,1,0.29
52561,203596,5,5,1,0.202
52562,62240,5,5,1,0.19
52563,57760,5,5,1,0.154
52563,70111,5,5,1,0.129
52564,158232,5,5,1,0.091
52565,246115,5,5,1,0.198
52566,70110,5,5,1,0.113
53113,53117,5,5,2,1.096
53113,53118,5,5,1,0.298
53113,254107,5,5,1,0.361
53115,180085,5,5,1,0.773
53115,254101,5,5,1,0.335
53116,53117,5,5,1,0.143
53117,53115,5,5,1,0.351
53118,254105,5,5,1,0.315
53118,254107,5,5,1,0.103
53119,180085,5,5,1,0.195
53120,53121,5,5,1,0.227
53121,34831,5,5,1,1.784
53128,53131,5,5,1,0.088
53128,250606,5,5,1,1.398
53131,84870,5,5,2,1.952
53131,188537,5,5,7,4.633
53829,137273,5,5,1,0.207
53829,147315,5,5,1,0.31
53829,256783,5,5,1,0.274
53833,157200,5,5,1,0.218
56267,227762,5,5,1,0.218
57272,57277,5,5,1,0.524
57272,179386,5,5,1,0.504
57273,86591,5,5,1,0.539
57273,179386,5,5,1,0.17
57273,258419,5,5,1,0.243
57276,216444,5,5,1,0.298
57277,29196,5,5,4,1.555
57277,35069,5,5,1,0.723
57277,114324,5,5,1,1.199
57277,141467,5,5,2,0.779
57278,57277,5,5,1,0.075
57278,86591,5,5,1,0.51
57350,116773,5,5,1,0.532
57362,95712,5,5,1,0.625
57374,57350,5,5,1,0.598
57759,45680,5,5,1,0.308
57759,161264,5,5,1,0.282
57760,70111,5,5,1,0.184
57760,70119,5,5,1,0.176
58905,133090,5,5,1,0.749
58905,237879,5,5,1,0.616
58908,228199,5,5,1,0.258
59335,59341,5,5,1,0.163
59336,260557,5,5,1,0.192
59337,59339,5,5,1,0.286
