node,layer,lat,lon,degree,geometry
482,5,56.00202,-3.6172,4,"-3.6172, 56.00202"
579,5,55.90165,-3.51263,10,"-3.51263, 55.90165"
622,5,56.01469,-3.585,4,"-3.585, 56.01469"
1671,5,56.00778,-3.57514,6,"-3.57514, 56.00778"
1959,5,55.90238,-3.57175,12,"-3.57175, 55.90238"
2177,5,56.01135,-3.59165,5,"-3.59165, 56.01135"
2413,5,55.85793,-3.76762,4,"-3.76762, 55.85793"
2414,5,55.85919,-3.76385,10,"-3.76385, 55.85919"
2625,5,55.91904,-3.50211,13,"-3.50211, 55.91904"
2986,5,55.82247,-3.71931,16,"-3.71931, 55.82247"
3233,5,56.00926,-3.6073,5,"-3.6073, 56.00926"
3924,5,56.00146,-3.62423,4,"-3.62423, 56.00146"
4464,5,56.00822,-3.63879,6,"-3.63879, 56.00822"
4918,5,55.82966,-3.65645,8,"-3.65645, 55.82966"
4925,5,55.86687,-3.68447,11,"-3.68447, 55.86687"
5518,5,56.01347,-3.62392,6,"-3.62392, 56.01347"
5519,5,56.01472,-3.61511,4,"-3.61511, 56.01472"
5770,5,56.0125,-3.59442,4,"-3.59442, 56.0125"
5886,5,56.01688,-3.58493,6,"-3.58493, 56.01688"
6711,5,56.00892,-3.62331,8,"-3.62331, 56.00892"
6948,5,55.8941,-3.5061,8,"-3.5061, 55.8941"
7070,5,56.01633,-3.58139,4,"-3.58139, 56.01633"
8386,5,56.00938,-3.61906,6,"-3.61906, 56.00938"
10226,5,56.00672,-3.64352,6,"-3.64352, 56.00672"
10433,5,56.00508,-3.63149,4,"-3.63149, 56.00508"
10540,5,56.01443,-3.61922,4,"-3.61922, 56.01443"
12028,5,56.00266,-3.61051,4,"-3.61051, 56.00266"
12814,5,55.88868,-3.43251,16,"-3.43251, 55.88868"
13309,5,56.01068,-3.58854,9,"-3.58854, 56.01068"
13319,5,56.00687,-3.6298,4,"-3.6298, 56.00687"
13475,5,55.9351,-3.74463,5,"-3.74463, 55.9351"
14697,5,55.85856,-3.7707,4,"-3.7707, 55.85856"
14704,5,55.85969,-3.75825,5,"-3.75825, 55.85969"
14712,5,56.00896,-3.61118,4,"-3.61118, 56.00896"
15521,5,55.97644,-3.59584,27,"-3.59584, 55.97644"
15987,5,56.01514,-3.57748,4,"-3.57748, 56.01514"
16561,5,56.01196,-3.62839,8,"-3.62839, 56.01196"
21262,5,55.8287,-3.69789,4,"-3.69789, 55.8287"
23597,5,56.00257,-3.62793,4,"-3.62793, 56.00257"
24288,5,56.00546,-3.5754,8,"-3.5754, 56.00546"
24640,5,56.016,-3.59542,4,"-3.59542, 56.016"
24710,5,56.00404,-3.61727,6,"-3.61727, 56.00404"
24942,5,56.01823,-3.60758,4,"-3.60758, 56.01823"
25793,5,56.00864,-3.61014,4,"-3.61014, 56.00864"
25884,5,56.01204,-3.60624,6,"-3.60624, 56.01204"
25886,5,56.00998,-3.61777,4,"-3.61777, 56.00998"
27243,5,55.87901,-3.52614,12,"-3.52614, 55.87901"
27478,5,55.90718,-3.58023,7,"-3.58023, 55.90718"
27628,5,56.01659,-3.58675,4,"-3.58675, 56.01659"
29123,5,56.0081,-3.6272,4,"-3.6272, 56.0081"
29196,5,55.9085,-3.51898,16,"-3.51898, 55.9085"
29609,5,56.00907,-3.58496,11,"-3.58496, 56.00907"
30163,5,55.87169,-3.50156,16,"-3.50156, 55.87169"
31635,5,56.00868,-3.61483,4,"-3.61483, 56.00868"
33078,5,55.90132,-3.51235,4,"-3.51235, 55.90132"
34568,5,55.93196,-3.74545,5,"-3.74545, 55.93196"
34831,5,55.86317,-3.74943,5,"-3.74943, 55.86317"
34833,5,55.86037,-3.75066,7,"-3.75066, 55.86037"
34834,5,55.86132,-3.7492,8,"-3.7492, 55.86132"
35034,5,56.00985,-3.62766,6,"-3.62766, 56.00985"
35069,5,55.90138,-3.54434,16,"-3.54434, 55.90138"
35649,5,56.01583,-3.58375,5,"-3.58375, 56.01583"
36329,5,56.01109,-3.62308,6,"-3.62308, 56.01109"
36331,5,56.00993,-3.62095,6,"-3.62095, 56.00993"
37428,5,56.00847,-3.61788,4,"-3.61788, 56.00847"
37967,5,56.01308,-3.59058,4,"-3.59058, 56.01308"
38145,5,56.01321,-3.58735,5,"-3.58735, 56.01321"
38965,5,56.00756,-3.60011,4,"-3.60011, 56.00756"
39404,5,56.01344,-3.61089,6,"-3.61089, 56.01344"
39637,5,56.01009,-3.57559,4,"-3.57559, 56.01009"
40197,5,56.01331,-3.59516,6,"-3.59516, 56.01331"
40199,5,56.01338,-3.59855,6,"-3.59855, 56.01338"
40560,5,55.90828,-3.51886,5,"-3.51886, 55.90828"
41439,5,56.01169,-3.60607,6,"-3.60607, 56.01169"
43259,5,56.01421,-3.57573,4,"-3.57573, 56.01421"
43757,5,55.8538,-3.56701,13,"-3.56701, 55.8538"
43927,5,55.88895,-3.50924,10,"-3.50924, 55.88895"
44192,5,56.00563,-3.60466,4,"-3.60466, 56.00563"
44193,5,56.00528,-3.60898,5,"-3.60898, 56.00528"
44609,5,56.0111,-3.59948,6,"-3.59948, 56.0111"
45680,5,55.89911,-3.64097,27,"-3.64097, 55.89911"
47132,5,56.0034,-3.60929,6,"-3.60929, 56.0034"
47581,5,55.87413,-3.62265,4,"-3.62265, 55.87413"
47726,5,56.01724,-3.60327,4,"-3.60327, 56.01724"
48975,5,56.00986,-3.60617,4,"-3.60617, 56.00986"
49160,5,56.01657,-3.58992,5,"-3.58992, 56.01657"
49509,5,56.0061,-3.60989,4,"-3.60989, 56.0061"
49651,5,56.01099,-3.61257,6,"-3.61257, 56.01099"
49653,5,55.93392,-3.74482,8,"-3.74482, 55.93392"
49680,5,56.01041,-3.6154,4,"-3.6154, 56.01041"
49822,5,56.01709,-3.61099,6,"-3.61099, 56.01709"
49968,5,56.01281,-3.60289,7,"-3.60289, 56.01281"
51664,5,56.00179,-3.61945,2,"-3.61945, 56.00179"
52275,5,55.88539,-3.75804,2,"-3.75804, 55.88539"
52561,5,55.89894,-3.65988,2,"-3.65988, 55.89894"
52562,5,55.89872,-3.65984,2,"-3.65984, 55.89872"
52563,5,55.90013,-3.61276,3,"-3.61276, 55.90013"
52564,5,55.89989,-3.6124,2,"-3.6124, 55.89989"
52565,5,55.89663,-3.6615,2,"-3.6615, 55.89663"
52566,5,55.90196,-3.60731,2,"-3.60731, 55.90196"
53113,5,55.88155,-3.76079,4,"-3.76079, 55.88155"
53115,5,55.88433,-3.77214,3,"-3.77214, 55.88433"
53116,5,55.88394,-3.7755,2,"-3.7755, 55.88394"
53117,5,55.88415,-3.77778,3,"-3.77778, 55.88415"
53118,5,55.88413,-3.76215,3,"-3.76215, 55.88413"
