node,layer,lat,lon,degree,geometry
1290,5,52.11431,-3.55483,10,"-3.55483, 52.11431"
3479,5,52.13325,-3.52992,13,"-3.52992, 52.13325"
4868,5,52.27395,-3.32194,12,"-3.32194, 52.27395"
6865,5,52.24237,-3.37915,25,"-3.37915, 52.24237"
6913,5,52.16933,-3.42705,14,"-3.42705, 52.16933"
7884,5,52.08228,-3.68697,12,"-3.68697, 52.08228"
20554,5,52.35987,-3.09689,16,"-3.09689, 52.35987"
29078,5,52.15053,-3.45655,12,"-3.45655, 52.15053"
56565,5,52.34374,-3.04867,4,"-3.04867, 52.34374"
56566,5,52.34395,-3.05576,6,"-3.05576, 52.34395"
56568,5,52.34208,-3.05164,4,"-3.05164, 52.34208"
56569,5,52.33888,-3.0407,3,"-3.0407, 52.33888"
56571,5,52.34572,-3.05253,3,"-3.05253, 52.34572"
58145,5,52.09794,-3.60171,2,"-3.60171, 52.09794"
58148,5,52.14836,-3.57791,2,"-3.57791, 52.14836"
63739,5,52.24804,-3.38452,3,"-3.38452, 52.24804"
73832,5,52.24872,-3.37743,3,"-3.37743, 52.24872"
73833,5,52.24875,-3.37721,3,"-3.37721, 52.24875"
74455,5,52.21483,-3.44238,4,"-3.44238, 52.21483"
75742,5,52.3348,-3.15903,4,"-3.15903, 52.3348"
77893,5,52.21213,-3.4407,3,"-3.4407, 52.21213"
77969,5,52.1499,-3.40175,15,"-3.40175, 52.1499"
78668,5,52.35993,-3.3289,2,"-3.3289, 52.35993"
79399,5,52.27298,-3.56574,2,"-3.56574, 52.27298"
79598,5,52.21696,-3.0809,5,"-3.0809, 52.21696"
81663,5,52.14651,-3.41512,2,"-3.41512, 52.14651"
81666,5,52.1469,-3.41259,2,"-3.41259, 52.1469"
81667,5,52.14773,-3.40139,2,"-3.40139, 52.14773"
81668,5,52.1503,-3.41021,2,"-3.41021, 52.1503"
81669,5,52.15165,-3.41404,2,"-3.41404, 52.15165"
81670,5,52.14705,-3.4013,2,"-3.4013, 52.14705"
82141,5,52.17962,-3.43649,6,"-3.43649, 52.17962"
83596,5,52.29879,-3.06862,6,"-3.06862, 52.29879"
83597,5,52.28034,-3.07496,2,"-3.07496, 52.28034"
83598,5,52.30496,-3.50653,4,"-3.50653, 52.30496"
83599,5,52.30503,-3.5069,7,"-3.5069, 52.30503"
83600,5,52.37909,-3.50201,2,"-3.50201, 52.37909"
83602,5,52.2743,-3.00914,4,"-3.00914, 52.2743"
84875,5,52.34538,-3.48813,3,"-3.48813, 52.34538"
84876,5,52.34541,-3.48778,2,"-3.48778, 52.34541"
85378,5,52.43489,-3.27098,3,"-3.27098, 52.43489"
86216,5,52.37582,-3.11066,3,"-3.11066, 52.37582"
86487,5,52.28136,-3.36991,4,"-3.36991, 52.28136"
86488,5,52.28747,-3.43511,2,"-3.43511, 52.28747"
86489,5,52.30117,-3.46812,4,"-3.46812, 52.30117"
86494,5,52.28516,-3.41725,3,"-3.41725, 52.28516"
86496,5,52.28754,-3.43506,2,"-3.43506, 52.28754"
88276,5,52.35257,-3.57518,2,"-3.57518, 52.35257"
88278,5,52.34406,-3.48626,2,"-3.48626, 52.34406"
88281,5,52.3315,-3.53888,2,"-3.53888, 52.3315"
88283,5,52.30233,-3.5097,3,"-3.5097, 52.30233"
91232,5,52.1439,-3.40102,2,"-3.40102, 52.1439"
91233,5,52.15318,-3.41628,2,"-3.41628, 52.15318"
91234,5,52.14557,-3.40311,2,"-3.40311, 52.14557"
91891,5,52.24037,-3.38341,2,"-3.38341, 52.24037"
91892,5,52.21381,-3.44157,8,"-3.44157, 52.21381"
91893,5,52.28314,-3.05155,4,"-3.05155, 52.28314"
91894,5,52.25479,-3.08213,4,"-3.08213, 52.25479"
91895,5,52.24412,-3.37523,2,"-3.37523, 52.24412"
92573,5,52.27952,-3.35762,2,"-3.35762, 52.27952"
93270,5,52.28023,-3.07514,2,"-3.07514, 52.28023"
94841,5,52.14915,-3.39593,2,"-3.39593, 52.14915"
98094,5,52.14924,-3.58024,2,"-3.58024, 52.14924"
98097,5,52.14934,-3.58021,2,"-3.58021, 52.14934"
98111,5,52.22855,-3.38357,2,"-3.38357, 52.22855"
99370,5,52.23065,-3.08968,4,"-3.08968, 52.23065"
100136,5,52.2694,-3.57217,2,"-3.57217, 52.2694"
102897,5,52.29532,-3.02147,6,"-3.02147, 52.29532"
102898,5,52.34225,-3.05054,5,"-3.05054, 52.34225"
102964,5,52.30239,-3.50973,3,"-3.50973, 52.30239"
104790,5,52.21544,-3.20159,5,"-3.20159, 52.21544"
104791,5,52.21552,-3.20151,7,"-3.20151, 52.21552"
113386,5,52.25101,-3.40177,4,"-3.40177, 52.25101"
113387,5,52.2574,-3.26165,4,"-3.26165, 52.2574"
113388,5,52.39411,-3.32917,2,"-3.32917, 52.39411"
114734,5,52.23813,-3.37339,4,"-3.37339, 52.23813"
117609,5,52.27722,-3.06046,5,"-3.06046, 52.27722"
119707,5,52.16902,-3.34695,8,"-3.34695, 52.16902"
119708,5,52.18251,-3.32038,4,"-3.32038, 52.18251"
119719,5,52.26049,-3.49778,3,"-3.49778, 52.26049"
120123,5,52.43491,-3.27088,2,"-3.27088, 52.43491"
122927,5,52.34345,-3.19721,2,"-3.19721, 52.34345"
122932,5,52.39234,-3.1622,2,"-3.1622, 52.39234"
122933,5,52.40914,-3.18449,3,"-3.18449, 52.40914"
122935,5,52.43104,-3.25411,2,"-3.25411, 52.43104"
123214,5,52.17915,-3.42914,4,"-3.42914, 52.17915"
123250,5,52.16149,-3.2816,4,"-3.2816, 52.16149"
123283,5,52.2695,-3.00235,2,"-3.00235, 52.2695"
125836,5,52.18559,-3.43071,2,"-3.43071, 52.18559"
129400,5,52.18069,-3.30057,6,"-3.30057, 52.18069"
129402,5,52.1955,-3.29273,2,"-3.29273, 52.1955"
129403,5,52.15065,-3.41464,2,"-3.41464, 52.15065"
139262,5,52.2747,-3.00818,7,"-3.00818, 52.2747"
139263,5,52.15654,-3.3948,4,"-3.3948, 52.15654"
140238,5,52.35201,-3.31217,2,"-3.31217, 52.35201"
140342,5,52.39233,-3.1623,2,"-3.1623, 52.39233"
140352,5,52.43094,-3.25431,2,"-3.25431, 52.43094"
140427,5,52.15648,-3.39468,6,"-3.39468, 52.15648"
146511,5,52.10739,-3.63809,2,"-3.63809, 52.10739"
146512,5,52.10702,-3.63913,3,"-3.63913, 52.10702"
146513,5,52.107,-3.63906,2,"-3.63906, 52.107"
153427,5,52.18047,-3.30159,6,"-3.30159, 52.18047"
153428,5,52.24072,-3.15564,7,"-3.15564, 52.24072"
153435,5,52.42255,-3.22269,4,"-3.22269, 52.42255"
157132,5,52.30115,-3.50848,2,"-3.50848, 52.30115"
157454,5,52.30908,-3.30948,2,"-3.30948, 52.30908"
157455,5,52.311,-3.30908,2,"-3.30908, 52.311"
