node,layer,lat,lon,degree,geometry
1290,2,52.11431,-3.55483,10,"-3.55483, 52.11431"
3479,2,52.13325,-3.52992,13,"-3.52992, 52.13325"
4868,2,52.27395,-3.32194,12,"-3.32194, 52.27395"
6865,2,52.24237,-3.37915,25,"-3.37915, 52.24237"
6913,2,52.16933,-3.42705,14,"-3.42705, 52.16933"
7884,2,52.08228,-3.68697,12,"-3.68697, 52.08228"
20554,2,52.35987,-3.09689,16,"-3.09689, 52.35987"
29078,2,52.15053,-3.45655,12,"-3.45655, 52.15053"
65605,2,52.34963,-3.16137,4,"-3.16137, 52.34963"
109815,2,52.29536,-3.26363,4,"-3.26363, 52.29536"
121355,2,52.10472,-3.63218,4,"-3.63218, 52.10472"
147827,2,52.33643,-3.21343,4,"-3.21343, 52.33643"
