node,layer,lat,lon,degree,geometry
1267,5,51.68353,-4.24787,23,"-4.24787, 51.68353"
4032,5,51.76837,-4.36949,13,"-4.36949, 51.76837"
4543,5,51.67203,-4.0989,14,"-4.0989, 51.67203"
6656,5,51.82104,-4.00368,15,"-4.00368, 51.82104"
12913,5,51.85336,-4.30599,50,"-4.30599, 51.85336"
20525,5,51.99532,-3.80285,15,"-3.80285, 51.99532"
21096,5,51.79486,-4.08704,16,"-4.08704, 51.79486"
25417,5,51.88535,-3.98692,19,"-3.98692, 51.88535"
28260,5,51.87248,-3.99289,16,"-3.99289, 51.87248"
31287,5,51.77888,-3.99746,12,"-3.99746, 51.77888"
33016,5,51.81804,-4.61442,26,"-4.61442, 51.81804"
33204,5,51.79598,-3.99677,20,"-3.99677, 51.79598"
39815,5,51.67387,-4.16133,32,"-4.16133, 51.67387"
41326,5,51.94022,-3.89317,13,"-3.89317, 51.94022"
50493,5,51.73434,-4.31701,10,"-4.31701, 51.73434"
50953,5,51.81986,-4.4961,20,"-4.4961, 51.81986"
51769,5,51.8077,-3.93109,2,"-3.93109, 51.8077"
51770,5,51.80787,-3.9311,2,"-3.9311, 51.80787"
51772,5,51.79835,-4.13405,5,"-4.13405, 51.79835"
51773,5,51.79341,-3.9952,2,"-3.9952, 51.79341"
51774,5,51.79719,-4.13219,3,"-4.13219, 51.79719"
51775,5,51.79836,-4.13429,3,"-4.13429, 51.79836"
52850,5,51.85857,-4.31322,4,"-4.31322, 51.85857"
52851,5,51.85909,-4.31907,2,"-4.31907, 51.85909"
52853,5,51.82341,-4.31177,2,"-4.31177, 51.82341"
52854,5,51.82608,-4.31106,2,"-4.31106, 51.82608"
52855,5,51.84598,-4.30793,2,"-4.30793, 51.84598"
52856,5,51.81196,-4.30634,2,"-4.30634, 51.81196"
52857,5,51.82139,-4.31171,2,"-4.31171, 51.82139"
53066,5,51.91786,-4.4035,2,"-4.4035, 51.91786"
53067,5,51.95909,-4.4464,2,"-4.4464, 51.95909"
53068,5,51.69125,-4.14425,2,"-4.14425, 51.69125"
53069,5,51.79876,-4.08168,7,"-4.08168, 51.79876"
53283,5,51.89093,-4.30082,2,"-4.30082, 51.89093"
53284,5,51.88309,-4.29651,2,"-4.29651, 51.88309"
53286,5,51.89475,-4.29969,2,"-4.29969, 51.89475"
53385,5,51.85289,-4.29002,2,"-4.29002, 51.85289"
53391,5,51.85021,-4.28301,3,"-4.28301, 51.85021"
53792,5,51.76844,-3.88043,2,"-3.88043, 51.76844"
53793,5,51.77097,-3.88046,2,"-3.88046, 51.77097"
53794,5,51.77113,-3.88036,2,"-3.88036, 51.77113"
53795,5,51.77351,-3.8808,3,"-3.8808, 51.77351"
54262,5,51.8557,-4.30825,7,"-4.30825, 51.8557"
54265,5,51.85581,-4.30848,8,"-4.30848, 51.85581"
54418,5,51.84615,-4.32214,2,"-4.32214, 51.84615"
54591,5,51.93935,-3.88383,4,"-3.88383, 51.93935"
54592,5,51.87527,-3.99136,2,"-3.99136, 51.87527"
54593,5,51.87519,-3.9914,2,"-3.9914, 51.87519"
54670,5,52.02889,-3.95255,3,"-3.95255, 52.02889"
54671,5,52.02888,-3.95272,3,"-3.95272, 52.02888"
54672,5,52.03086,-4.07555,2,"-4.07555, 52.03086"
54673,5,52.03076,-4.07519,2,"-4.07519, 52.03076"
54674,5,52.07462,-4.02221,3,"-4.02221, 52.07462"
54675,5,52.04466,-3.95256,4,"-3.95256, 52.04466"
55024,5,51.94477,-4.50015,3,"-4.50015, 51.94477"
55026,5,51.94469,-4.50013,3,"-4.50013, 51.94469"
55130,5,51.69266,-4.1551,3,"-4.1551, 51.69266"
55132,5,51.68503,-4.12496,5,"-4.12496, 51.68503"
55134,5,51.70338,-4.14282,2,"-4.14282, 51.70338"
55135,5,51.70335,-4.14268,3,"-4.14268, 51.70335"
55140,5,51.80381,-4.07543,6,"-4.07543, 51.80381"
55141,5,51.77494,-4.07054,3,"-4.07054, 51.77494"
55283,5,51.71629,-4.13083,2,"-4.13083, 51.71629"
55284,5,51.71959,-4.12573,2,"-4.12573, 51.71959"
55285,5,51.73763,-4.12058,2,"-4.12058, 51.73763"
55286,5,51.76216,-4.11702,2,"-4.11702, 51.76216"
55287,5,51.69545,-4.18953,2,"-4.18953, 51.69545"
55288,5,51.68889,-4.16819,3,"-4.16819, 51.68889"
55289,5,51.68684,-4.16809,2,"-4.16809, 51.68684"
55290,5,51.78384,-4.18844,2,"-4.18844, 51.78384"
55291,5,51.78363,-4.18127,2,"-4.18127, 51.78363"
57463,5,51.82748,-4.17422,2,"-4.17422, 51.82748"
58811,5,51.68302,-4.11343,2,"-4.11343, 51.68302"
58812,5,51.6838,-4.12321,3,"-4.12321, 51.6838"
58813,5,51.68398,-4.11981,3,"-4.11981, 51.68398"
58822,5,51.67087,-4.15728,3,"-4.15728, 51.67087"
58973,5,51.79155,-4.07256,4,"-4.07256, 51.79155"
58974,5,51.79508,-4.07956,6,"-4.07956, 51.79508"
