ori_node,des_node,ori_layer,des_layer,minutes,km
1267,12913,2,2,19,19.273
1267,39815,2,2,5,6.053
1267,50493,2,2,6,7.379
4032,12913,2,2,13,10.394
4032,50493,2,2,5,5.223
4543,39815,2,2,5,4.303
6656,28260,2,2,7,5.758
6656,33204,2,2,4,2.822
12913,1267,2,2,16,19.273
12913,4032,2,2,10,10.394
12913,33016,2,2,12,21.52
12913,39815,2,2,22,22.269
20525,209365,2,2,8,7.269
20525,238009,2,2,5,5.947
25417,28260,2,2,2,1.486
25417,41326,2,2,9,8.85
28260,6656,2,2,7,5.758
28260,25417,2,2,2,1.486
31287,33204,2,2,3,1.899
33016,12913,2,2,16,21.52
33204,6656,2,2,4,2.822
33204,31287,2,2,2,1.899
39815,1267,2,2,5,6.053
39815,4543,2,2,4,4.303
39815,33016,2,2,35,35.018
41326,25417,2,2,9,8.85
41326,238009,2,2,3,2.885
50493,1267,2,2,6,7.379
50493,4032,2,2,5,5.223
209365,20525,2,2,9,7.269
238009,20525,2,2,6,5.947
238009,41326,2,2,3,2.885
