node,layer,lat,lon,degree,geometry
5474,5,56.1062,-5.26925,12,"-5.26925, 56.1062"
6357,5,55.92378,-5.58184,6,"-5.58184, 55.92378"
6359,5,55.87497,-5.63613,4,"-5.63613, 55.87497"
6360,5,55.92028,-5.58491,4,"-5.58491, 55.92028"
6361,5,55.82984,-5.65572,4,"-5.65572, 55.82984"
6362,5,55.86718,-5.64105,4,"-5.64105, 55.86718"
9955,5,56.0137,-5.39968,12,"-5.39968, 56.0137"
10347,5,56.1331,-5.48552,8,"-5.48552, 56.1331"
10369,5,56.13956,-5.21465,12,"-5.21465, 56.13956"
10372,5,56.12313,-5.2445,12,"-5.2445, 56.12313"
11104,5,56.04065,-5.43692,4,"-5.43692, 56.04065"
13970,5,56.02026,-5.44958,4,"-5.44958, 56.02026"
13971,5,56.12124,-5.50228,6,"-5.50228, 56.12124"
14356,5,56.03925,-5.43143,10,"-5.43143, 56.03925"
16173,5,55.96365,-5.44662,12,"-5.44662, 55.96365"
21084,5,55.86292,-5.41452,7,"-5.41452, 55.86292"
21104,5,55.82208,-5.49353,4,"-5.49353, 55.82208"
21957,5,55.85518,-5.43848,16,"-5.43848, 55.85518"
22025,5,55.81655,-5.64976,4,"-5.64976, 55.81655"
22095,5,55.78906,-5.5711,4,"-5.5711, 55.78906"
23807,5,56.21736,-5.53349,6,"-5.53349, 56.21736"
25509,5,56.06179,-5.33892,12,"-5.33892, 56.06179"
25510,5,56.09519,-5.28871,12,"-5.28871, 56.09519"
25513,5,56.02683,-5.3613,12,"-5.3613, 56.02683"
31175,5,55.74642,-5.56241,13,"-5.56241, 55.74642"
31177,5,55.7962,-5.48372,12,"-5.48372, 55.7962"
31995,5,55.80578,-5.47778,13,"-5.47778, 55.80578"
32568,5,55.80143,-5.47533,16,"-5.47533, 55.80143"
32593,5,55.73905,-5.58986,10,"-5.58986, 55.73905"
33077,5,56.01581,-5.45134,4,"-5.45134, 56.01581"
33129,5,56.03931,-5.43405,10,"-5.43405, 56.03931"
33130,5,56.03749,-5.43697,4,"-5.43697, 56.03749"
33131,5,56.0404,-5.4402,8,"-5.4402, 56.0404"
33133,5,56.04276,-5.43987,8,"-5.43987, 56.04276"
33135,5,56.01123,-5.44788,16,"-5.44788, 56.01123"
33136,5,56.01327,-5.45052,5,"-5.45052, 56.01327"
38198,5,55.86337,-5.41428,9,"-5.41428, 55.86337"
38217,5,55.8887,-5.42034,14,"-5.42034, 55.8887"
38647,5,56.03596,-5.42442,4,"-5.42442, 56.03596"
38851,5,55.93706,-5.55053,6,"-5.55053, 55.93706"
38863,5,56.17691,-5.43519,4,"-5.43519, 56.17691"
38864,5,56.18842,-5.42025,4,"-5.42025, 56.18842"
38867,5,56.0617,-5.55114,8,"-5.55114, 56.0617"
38868,5,56.03263,-5.63289,2,"-5.63289, 56.03263"
38869,5,56.07343,-5.52972,6,"-5.52972, 56.07343"
38870,5,56.07482,-5.5411,7,"-5.5411, 56.07482"
38871,5,56.06034,-5.48212,6,"-5.48212, 56.06034"
42220,5,56.01433,-5.44732,12,"-5.44732, 56.01433"
44599,5,56.04448,-5.44246,11,"-5.44246, 56.04448"
44622,5,56.08104,-5.45161,10,"-5.45161, 56.08104"
44623,5,56.2436,-4.9976,12,"-4.9976, 56.2436"
44625,5,56.22567,-5.07688,12,"-5.07688, 56.22567"
44626,5,56.20277,-5.10845,12,"-5.10845, 56.20277"
44627,5,56.15245,-5.18393,12,"-5.18393, 56.15245"
45305,5,55.8067,-5.4834,24,"-5.4834, 55.8067"
49940,5,56.23156,-5.07292,18,"-5.07292, 56.23156"
49941,5,56.01577,-5.44803,17,"-5.44803, 56.01577"
49942,5,56.03642,-5.43261,29,"-5.43261, 56.03642"
50390,5,56.11589,-5.25245,12,"-5.25245, 56.11589"
63099,5,55.8604,-5.41905,5,"-5.41905, 55.8604"
69417,5,56.19409,-5.39302,2,"-5.39302, 56.19409"
69418,5,56.04521,-5.44169,2,"-5.44169, 56.04521"
111299,5,56.08903,-5.56069,3,"-5.56069, 56.08903"
111300,5,56.09057,-5.55687,2,"-5.55687, 56.09057"
111582,5,55.82901,-5.65168,4,"-5.65168, 55.82901"
121195,5,55.7665,-5.34717,2,"-5.34717, 55.7665"
146226,5,56.08635,-5.44342,2,"-5.44342, 56.08635"
157161,5,56.18123,-5.53613,6,"-5.53613, 56.18123"
157733,5,56.14785,-5.4784,6,"-5.4784, 56.14785"
160636,5,56.02425,-5.62583,4,"-5.62583, 56.02425"
160637,5,56.02537,-5.56627,2,"-5.56627, 56.02537"
195853,5,56.12236,-5.50378,4,"-5.50378, 56.12236"
201652,5,56.03383,-5.42674,2,"-5.42674, 56.03383"
234154,5,55.86201,-5.41377,2,"-5.41377, 55.86201"
234697,5,55.94529,-5.56178,4,"-5.56178, 55.94529"
244553,5,56.0288,-5.42764,6,"-5.42764, 56.0288"
244554,5,56.02599,-5.42198,4,"-5.42198, 56.02599"
244555,5,56.04035,-5.42253,3,"-5.42253, 56.04035"
244556,5,56.03216,-5.42519,2,"-5.42519, 56.03216"
244559,5,55.89186,-5.61352,4,"-5.61352, 55.89186"
248564,5,55.86329,-5.41798,20,"-5.41798, 55.86329"
251115,5,56.03234,-5.43003,2,"-5.43003, 56.03234"
254422,5,56.21094,-5.55542,4,"-5.55542, 56.21094"
254423,5,56.02219,-5.45048,2,"-5.45048, 56.02219"
