ori_node,des_node,ori_layer,des_layer,minutes,km
5474,25510,4,4,1,1.716
5474,50390,4,4,1,1.496
5732,25509,4,4,2,1.185
5732,25513,4,4,5,2.939
9955,25513,4,4,2,2.791
10353,37141,4,4,2,2.034
10353,44624,4,4,3,1.632
10369,10372,4,4,2,2.595
10369,44627,4,4,2,2.378
10372,10369,4,4,1,2.595
10372,50390,4,4,2,0.942
16922,37141,4,4,7,3.871
21957,31995,4,4,4,6.006
21957,248564,4,4,2,1.562
25509,5732,4,4,1,1.185
25509,25510,4,4,5,4.839
25510,5474,4,4,2,1.716
25510,25509,4,4,5,4.839
25513,5732,4,4,4,2.939
25513,9955,4,4,3,2.791
31175,31177,4,4,5,7.394
31175,32593,4,4,3,1.9
31177,31175,4,4,8,7.394
31177,32568,4,4,1,0.781
31995,32568,4,4,1,0.506
31995,45305,4,4,1,0.365
32568,31177,4,4,1,0.781
32568,31995,4,4,1,0.506
32593,31175,4,4,3,1.9
33135,42220,4,4,1,0.345
37141,10353,4,4,4,2.034
37141,16922,4,4,4,3.871
38217,248564,4,4,4,2.824
42220,33135,4,4,1,0.345
42220,49941,4,4,1,0.165
44623,49940,4,4,8,4.835
44624,10353,4,4,2,1.632
44624,49940,4,4,8,3.874
44625,44626,4,4,4,3.203
44625,49940,4,4,1,0.698
44626,44625,4,4,4,3.203
44626,44627,4,4,8,7.277
44627,10369,4,4,1,2.378
44627,44626,4,4,10,7.277
45305,21957,4,4,11,6.066
45305,32568,4,4,1,0.771
49940,44623,4,4,7,4.835
49940,44624,4,4,5,3.874
49940,44625,4,4,1,0.698
49940,49940,4,4,1,0
49941,42220,4,4,1,0.165
49941,49942,4,4,5,2.483
49942,49941,4,4,4,2.483
50390,5474,4,4,1,1.496
50390,10372,4,4,2,0.942
248564,21957,4,4,2,1.562
248564,38217,4,4,3,2.824
