node,layer,lat,lon,degree,geometry
20,5,51.45774,-0.129,6,"-0.129, 51.45774"
26,5,51.62079,-0.29805,4,"-0.29805, 51.62079"
58,5,51.44737,0.21926,47,"0.21926, 51.44737"
131,5,51.3121,-0.31354,5,"-0.31354, 51.3121"
142,5,51.3439,-0.18511,4,"-0.18511, 51.3439"
154,5,51.48817,-0.13813,5,"-0.13813, 51.48817"
172,5,51.47339,0.09551,4,"0.09551, 51.47339"
173,5,51.38606,-0.09705,7,"-0.09705, 51.38606"
174,5,51.39274,-0.05207,5,"-0.05207, 51.39274"
175,5,51.39555,-0.06815,4,"-0.06815, 51.39555"
176,5,51.55503,-0.22885,4,"-0.22885, 51.55503"
179,5,51.36989,-0.03117,6,"-0.03117, 51.36989"
180,5,51.40203,-0.07097,4,"-0.07097, 51.40203"
204,5,51.3895,0.01308,4,"0.01308, 51.3895"
216,5,51.40299,-0.20516,16,"-0.20516, 51.40299"
249,5,51.61412,-0.14303,27,"-0.14303, 51.61412"
250,5,51.68519,-0.31724,18,"-0.31724, 51.68519"
259,5,51.51741,-0.12497,5,"-0.12497, 51.51741"
263,5,51.30677,-0.27874,4,"-0.27874, 51.30677"
269,5,51.47554,-0.09672,4,"-0.09672, 51.47554"
271,5,51.60756,0.22336,6,"0.22336, 51.60756"
273,5,51.60541,0.22596,4,"0.22596, 51.60541"
274,5,51.60256,0.2474,4,"0.2474, 51.60256"
279,5,51.3559,-0.07278,4,"-0.07278, 51.3559"
291,5,51.51386,0.00822,28,"0.00822, 51.51386"
292,5,51.49706,0.34548,4,"0.34548, 51.49706"
301,5,51.59789,-0.27883,4,"-0.27883, 51.59789"
319,5,51.47656,0.31207,4,"0.31207, 51.47656"
320,5,51.34715,-0.02346,15,"-0.02346, 51.34715"
332,5,51.40286,-0.0642,4,"-0.0642, 51.40286"
335,5,51.4663,-0.10218,20,"-0.10218, 51.4663"
336,5,51.39878,-0.1003,22,"-0.1003, 51.39878"
343,5,51.39789,-0.16264,4,"-0.16264, 51.39789"
345,5,51.59966,-0.14736,4,"-0.14736, 51.59966"
346,5,51.49935,-0.14803,4,"-0.14803, 51.49935"
347,5,51.54501,0.19581,4,"0.19581, 51.54501"
351,5,51.44828,0.17895,24,"0.17895, 51.44828"
352,5,51.36106,0.10894,4,"0.10894, 51.36106"
353,5,51.48529,-0.0696,4,"-0.0696, 51.48529"
354,5,51.58531,-0.31033,7,"-0.31033, 51.58531"
380,5,51.45372,-0.12035,4,"-0.12035, 51.45372"
381,5,51.35325,-0.14823,4,"-0.14823, 51.35325"
383,5,51.3939,0.04522,4,"0.04522, 51.3939"
392,5,51.46193,-0.20581,4,"-0.20581, 51.46193"
394,5,51.49677,-0.02581,4,"-0.02581, 51.49677"
395,5,51.46138,-0.1586,4,"-0.1586, 51.46138"
396,5,51.53856,0.16044,4,"0.16044, 51.53856"
402,5,51.49369,0.10806,4,"0.10806, 51.49369"
440,5,51.57092,-0.23214,9,"-0.23214, 51.57092"
456,5,51.66028,-0.50982,7,"-0.50982, 51.66028"
467,5,51.64302,-0.31711,6,"-0.31711, 51.64302"
468,5,51.47387,0.14509,6,"0.14509, 51.47387"
473,5,51.55462,0.0594,5,"0.0594, 51.55462"
475,5,51.40232,-0.15489,4,"-0.15489, 51.40232"
480,5,51.64227,-0.32464,4,"-0.32464, 51.64227"
501,5,51.56085,-0.1503,6,"-0.1503, 51.56085"
503,5,51.55089,0.12996,6,"0.12996, 51.55089"
505,5,51.42595,0.13515,4,"0.13515, 51.42595"
507,5,51.49932,-0.31472,16,"-0.31472, 51.49932"
531,5,51.58068,0.02145,17,"0.02145, 51.58068"
588,5,51.55207,-0.20678,6,"-0.20678, 51.55207"
590,5,51.53263,-0.08718,6,"-0.08718, 51.53263"
598,5,51.55196,-0.23907,17,"-0.23907, 51.55196"
611,5,51.62098,-0.42281,4,"-0.42281, 51.62098"
612,5,51.6185,-0.39831,6,"-0.39831, 51.6185"
613,5,51.62072,-0.40769,4,"-0.40769, 51.62072"
614,5,51.61759,-0.40796,4,"-0.40796, 51.61759"
615,5,51.61547,-0.4098,6,"-0.4098, 51.61547"
616,5,51.62465,-0.41261,4,"-0.41261, 51.62465"
617,5,51.62263,-0.41585,4,"-0.41585, 51.62263"
618,5,51.62507,-0.42262,4,"-0.42262, 51.62507"
619,5,51.37643,-0.04474,4,"-0.04474, 51.37643"
639,5,51.63446,-0.04454,4,"-0.04454, 51.63446"
642,5,51.48891,-0.07779,12,"-0.07779, 51.48891"
670,5,51.46836,0.00267,4,"0.00267, 51.46836"
673,5,51.62755,0.01674,4,"0.01674, 51.62755"
691,5,51.55782,0.17594,4,"0.17594, 51.55782"
707,5,51.29087,-0.07539,4,"-0.07539, 51.29087"
722,5,51.32855,-0.2475,5,"-0.2475, 51.32855"
759,5,51.69369,0.11378,14,"0.11378, 51.69369"
766,5,51.52316,0.01227,4,"0.01227, 51.52316"
800,5,51.57038,-0.28763,4,"-0.28763, 51.57038"
809,5,51.47663,0.06352,4,"0.06352, 51.47663"
811,5,51.46683,-0.05227,20,"-0.05227, 51.46683"
818,5,51.32574,0.02226,4,"0.02226, 51.32574"
834,5,51.59941,-0.32488,4,"-0.32488, 51.59941"
835,5,51.52327,-0.14954,4,"-0.14954, 51.52327"
843,5,51.64226,-0.03507,20,"-0.03507, 51.64226"
858,5,51.59277,0.23314,18,"0.23314, 51.59277"
874,5,51.39343,-0.2532,7,"-0.2532, 51.39343"
886,5,51.59843,0.15946,5,"0.15946, 51.59843"
887,5,51.52338,-0.07524,25,"-0.07524, 51.52338"
910,5,51.34932,-0.19386,6,"-0.19386, 51.34932"
911,5,51.44326,0.01504,4,"0.01504, 51.44326"
949,5,51.35233,-0.01074,6,"-0.01074, 51.35233"
971,5,51.64357,-0.10454,4,"-0.10454, 51.64357"
974,5,51.48571,-0.06434,4,"-0.06434, 51.48571"
979,5,51.36397,0.09241,8,"0.09241, 51.36397"
981,5,51.41514,-0.21944,4,"-0.21944, 51.41514"
985,5,51.66294,-0.27572,8,"-0.27572, 51.66294"
986,5,51.66557,-0.26962,5,"-0.26962, 51.66557"
987,5,51.66579,-0.26641,6,"-0.26641, 51.66579"
991,5,51.44482,-0.23994,2,"-0.23994, 51.44482"
992,5,51.38822,0.01748,6,"0.01748, 51.38822"
993,5,51.41369,-0.11383,4,"-0.11383, 51.41369"
995,5,51.54282,0.14912,4,"0.14912, 51.54282"
999,5,51.58071,0.18239,22,"0.18239, 51.58071"
1001,5,51.36271,0.03907,4,"0.03907, 51.36271"
1003,5,51.53415,-0.02674,8,"-0.02674, 51.53415"
1005,5,51.67748,-0.09605,4,"-0.09605, 51.67748"
1016,5,51.54244,-0.23423,8,"-0.23423, 51.54244"
1023,5,51.59349,0.00985,4,"0.00985, 51.59349"
1024,5,51.59327,-0.00088,4,"-0.00088, 51.59327"
1026,5,51.45162,-0.05922,4,"-0.05922, 51.45162"
1028,5,51.38948,-0.26763,6,"-0.26763, 51.38948"
1031,5,51.60499,0.07282,4,"0.07282, 51.60499"
1034,5,51.60727,0.06682,4,"0.06682, 51.60727"
1045,5,51.62186,-0.26294,4,"-0.26294, 51.62186"
1048,5,51.47948,0.02624,4,"0.02624, 51.47948"
1049,5,51.47941,0.00967,4,"0.00967, 51.47941"
1081,5,51.56338,0.14654,4,"0.14654, 51.56338"
1087,5,51.48659,0.17099,4,"0.17099, 51.48659"
1088,5,51.4423,-0.01,5,"-0.01, 51.4423"
1113,5,51.68507,-0.02655,20,"-0.02655, 51.68507"
