ori_node,des_node,ori_layer,des_layer,minutes,km
2676,14575,1,1,5,1.483
7351,25717,1,1,14,2.71
13745,2676,1,1,15,6.915
13745,35082,1,1,5,1.483
13745,35743,1,1,5,1.569
14575,2676,1,1,5,1.483
14575,35743,1,1,15,3.962
25717,7351,1,1,14,2.71
25717,35082,1,1,4,0.814
25717,35743,1,1,7,1.967
27197,35743,1,1,5,0.725
35082,13745,1,1,5,1.483
35082,25717,1,1,4,0.814
35082,35743,1,1,9,2.695
35082,42918,1,1,4,0.888
35743,13745,1,1,5,1.569
35743,14575,1,1,15,3.962
35743,51076,1,1,3,0.596
35743,93787,1,1,5,0.516
42918,35082,1,1,4,0.888
51076,13745,1,1,7,1.57
51076,25717,1,1,8,1.758
51076,35082,1,1,11,2.376
93787,25717,1,1,5,1.474
