ori_node,des_node,ori_layer,des_layer,minutes,km
291,3986,3,3,2,0.87
291,19542,3,3,2,1.507
291,22548,3,3,2,0.883
291,42656,3,3,2,1.635
291,49356,3,3,2,1.57
320,30485,3,3,1,0.657
320,39927,3,3,2,0.498
507,8632,3,3,1,0.538
531,18367,3,3,2,1.311
531,39791,3,3,2,1.648
598,21715,3,3,2,1.25
598,31540,3,3,1,0.776
759,18006,3,3,2,2.542
1133,1133,3,3,1,0
1133,7300,3,3,3,1.861
1133,12281,3,3,1,1.652
1231,2880,3,3,4,3.051
1231,30332,3,3,4,3.47
1380,32451,3,3,2,1.462
1426,13258,3,3,1,0.542
1426,48217,3,3,1,0.617
2175,7300,3,3,3,2.175
2175,28622,3,3,2,2.02
2837,14695,3,3,2,1.469
2837,20620,3,3,3,2.777
2837,42656,3,3,3,1.832
2837,161902,3,3,2,1.14
2880,1231,3,3,4,3.051
2951,15869,3,3,3,2.438
2951,31168,3,3,2,0.986
2951,33913,3,3,2,1.452
3498,7132,3,3,2,1.284
3498,18835,3,3,1,1.01
3498,32217,3,3,2,1.147
3498,49630,3,3,2,1.554
3986,291,3,3,2,0.87
3986,32573,3,3,1,0.568
4185,38876,3,3,2,1.43
4185,39998,3,3,2,1.773
4251,32625,3,3,2,0.896
4251,44267,3,3,1,0.735
4299,12303,3,3,2,0.954
4299,34544,3,3,3,1.067
4299,43220,3,3,2,0.818
4301,10109,3,3,2,1.324
4301,44153,3,3,3,2.165
4398,4610,3,3,2,1.998
4398,18006,3,3,3,3.216
4509,11548,3,3,2,1.493
4509,50145,3,3,3,2.338
4610,4398,3,3,2,1.998
4610,30461,3,3,2,1.753
5397,5397,3,3,1,0
5397,12281,3,3,2,0.956
5397,13745,3,3,1,0.924
5397,25410,3,3,3,2.305
5397,35082,3,3,2,0.764
5397,42918,3,3,2,0.788
5523,6376,3,3,1,0.834
5523,32625,3,3,2,0.934
5523,42250,3,3,1,0.638
5649,24040,3,3,1,0.677
5649,40860,3,3,1,0.55
5653,6779,3,3,2,0.761
5653,14403,3,3,2,1.31
5719,6779,3,3,3,0.972
5719,19823,3,3,1,0.715
5772,39563,3,3,3,1.484
5841,17272,3,3,2,1.082
5841,35816,3,3,2,0.865
5848,32102,3,3,1,0.529
5848,35665,3,3,1,0.622
6193,24324,3,3,2,0.995
6193,45433,3,3,2,1.113
6194,26371,3,3,2,1.041
6279,7920,3,3,3,1.011
6279,16241,3,3,1,0.441
6376,5523,3,3,2,0.834
6376,9772,3,3,2,1.158
6534,50442,3,3,3,1.418
6675,11215,3,3,2,0.999
6675,27851,3,3,2,1.525
6776,35871,3,3,2,1.88
6779,5653,3,3,1,0.761
6779,5719,3,3,2,0.972
6779,9014,3,3,1,0.79
6779,35458,3,3,3,1.552
6997,8156,3,3,1,0.452
6997,15792,3,3,1,1.096
7125,8582,3,3,1,0.698
7125,37895,3,3,1,0.618
7125,42945,3,3,2,0.664
7125,115099,3,3,2,0.571
7132,3498,3,3,2,1.284
7132,48582,3,3,2,0.848
7300,1133,3,3,3,1.861
7300,2175,3,3,3,2.175
7300,31322,3,3,3,1.924
7300,35458,3,3,1,0.735
7300,42945,3,3,2,0.952
7300,47462,3,3,2,1.347
7458,7458,3,3,1,0
7458,27197,3,3,2,0.89
7458,35082,3,3,2,1.727
7458,35743,3,3,1,1.068
7458,38648,3,3,2,0.549
7458,48582,3,3,3,1.739
7580,33050,3,3,3,1.475
7580,49626,3,3,2,1.014
7916,23017,3,3,3,0.998
7916,29635,3,3,2,1.025
7916,42250,3,3,2,0.924
7920,6279,3,3,2,1.011
7920,12303,3,3,6,4.028
7920,21191,3,3,1,0.818
7920,28894,3,3,2,0.799
7920,39563,3,3,4,2.094
8032,42250,3,3,1,0.697
8032,48219,3,3,1,0.852
8116,13258,3,3,3,2.235
8116,50899,3,3,2,0.904
8156,6997,3,3,1,0.452
8156,48217,3,3,1,0.557
8360,28894,3,3,1,0.684
8360,39563,3,3,1,0.612
8463,30232,3,3,2,1.737
8463,38751,3,3,3,1.243
8582,7125,3,3,2,0.698
8582,35735,3,3,1,0.804
8582,35743,3,3,1,1.009
8582,48020,3,3,1,0.537
8632,507,3,3,1,0.538
8632,12303,3,3,3,1.877
9014,6779,3,3,2,0.79
9014,35458,3,3,2,0.799
9028,20532,3,3,1,0.71
9028,35735,3,3,2,0.802
9028,35743,3,3,1,0.66
9032,47492,3,3,2,1.011
9032,49630,3,3,1,0.818
9056,9225,3,3,1,0.965
9056,13258,3,3,1,0.645
9056,183138,3,3,1,0.665
9225,9056,3,3,1,0.965
9225,25410,3,3,2,1.191
9684,9772,3,3,1,0.645
9684,16192,3,3,2,1.289
9684,20532,3,3,2,0.947
9684,35735,3,3,1,0.549
9703,27423,3,3,2,1.46
9772,6376,3,3,1,1.158
9772,9684,3,3,1,0.645
9861,26372,3,3,2,1.307
9861,42656,3,3,1,0.888
9862,18467,3,3,2,0.808
9862,21715,3,3,1,1.398
10028,19949,3,3,1,0.498
10028,34450,3,3,2,1.205
10109,4301,3,3,2,1.324
10109,18367,3,3,2,1.727
10109,30461,3,3,2,2.358
10110,25881,3,3,3,1.289
10110,37627,3,3,1,0.932
10202,25380,3,3,2,0.539
10202,35879,3,3,1,0.482
10788,44164,3,3,2,1.247
