node,layer,lat,lon,degree,geometry
291,3,51.51386,0.00822,28,"0.00822, 51.51386"
320,3,51.34715,-0.02346,15,"-0.02346, 51.34715"
507,3,51.49932,-0.31472,16,"-0.31472, 51.49932"
531,3,51.58068,0.02145,17,"0.02145, 51.58068"
598,3,51.55196,-0.23907,17,"-0.23907, 51.55196"
759,3,51.69369,0.11378,14,"0.11378, 51.69369"
1133,3,51.5203,-0.10505,45,"-0.10505, 51.5203"
1231,3,51.64025,-0.47327,42,"-0.47327, 51.64025"
1380,3,51.61976,-0.30323,12,"-0.30323, 51.61976"
1426,3,51.50056,-0.01903,14,"-0.01903, 51.50056"
2175,3,51.54618,-0.10376,39,"-0.10376, 51.54618"
2837,3,51.54336,-0.00608,115,"-0.00608, 51.54336"
2880,3,51.6298,-0.43231,8,"-0.43231, 51.6298"
2951,3,51.60093,-0.19252,21,"-0.19252, 51.60093"
3498,3,51.47219,-0.12264,35,"-0.12264, 51.47219"
3986,3,51.50934,0.01851,14,"0.01851, 51.50934"
4185,3,51.53838,0.10154,14,"0.10154, 51.53838"
4251,3,51.52327,-0.18378,15,"-0.18378, 51.52327"
4299,3,51.51015,-0.28827,18,"-0.28827, 51.51015"
4301,3,51.61721,0.04366,14,"0.04366, 51.61721"
4398,3,51.64539,0.08379,25,"0.08379, 51.64539"
4509,3,51.54978,0.19865,18,"0.19865, 51.54978"
4610,3,51.64145,0.05549,20,"0.05549, 51.64145"
5397,3,51.51139,-0.09029,61,"-0.09029, 51.51139"
5523,3,51.51131,-0.18755,18,"-0.18755, 51.51131"
5649,3,51.3821,-0.12357,14,"-0.12357, 51.3821"
5653,3,51.54655,-0.14665,44,"-0.14665, 51.54655"
5719,3,51.5505,-0.14036,30,"-0.14036, 51.5505"
5772,3,51.49168,-0.27529,29,"-0.27529, 51.49168"
5841,3,51.60367,0.09349,12,"0.09349, 51.60367"
5848,3,51.50848,0.06393,18,"0.06393, 51.50848"
6193,3,51.35649,-0.0446,10,"-0.0446, 51.35649"
6194,3,51.55902,0.25089,45,"0.25089, 51.55902"
6279,3,51.50201,-0.22671,14,"-0.22671, 51.50201"
6376,3,51.51173,-0.17549,14,"-0.17549, 51.51173"
6534,3,51.48991,0.0692,43,"0.0692, 51.48991"
6675,3,51.53629,-0.25767,36,"-0.25767, 51.53629"
6776,3,51.5544,-0.31547,41,"-0.31547, 51.5544"
6779,3,51.5418,-0.1387,42,"-0.1387, 51.5418"
6997,3,51.48781,-0.01013,16,"-0.01013, 51.48781"
7125,3,51.51758,-0.12047,30,"-0.12047, 51.51758"
7132,3,51.48185,-0.11243,22,"-0.11243, 51.48185"
7300,3,51.53165,-0.12489,113,"-0.12489, 51.53165"
7458,3,51.50369,-0.111,78,"-0.111, 51.50369"
7580,3,51.41531,-0.192,18,"-0.192, 51.41531"
7916,3,51.50106,-0.19279,21,"-0.19279, 51.50106"
7920,3,51.49301,-0.22445,68,"-0.22445, 51.49301"
8032,3,51.50715,-0.20568,16,"-0.20568, 51.50715"
8116,3,51.4994,-0.05088,34,"-0.05088, 51.4994"
8156,3,51.49071,-0.01473,16,"-0.01473, 51.49071"
8360,3,51.49492,-0.2457,16,"-0.2457, 51.49492"
8463,3,51.64773,-0.13218,18,"-0.13218, 51.64773"
8582,3,51.51643,-0.13041,27,"-0.13041, 51.51643"
8632,3,51.50101,-0.30742,12,"-0.30742, 51.50101"
9014,3,51.53468,-0.13878,16,"-0.13878, 51.53468"
9028,3,51.51005,-0.13379,22,"-0.13379, 51.51005"
