node,layer,lat,lon,degree,geometry
2168,5,52.53743,-2.8037,21,"-2.8037, 52.53743"
3310,5,52.44201,-2.83705,23,"-2.83705, 52.44201"
3950,5,52.42278,-2.88522,16,"-2.88522, 52.42278"
19038,5,52.37089,-2.71526,25,"-2.71526, 52.37089"
35269,5,52.35756,-2.94852,22,"-2.94852, 52.35756"
44402,5,52.39138,-2.91192,14,"-2.91192, 52.39138"
51570,5,52.35271,-2.53013,4,"-2.53013, 52.35271"
51571,5,52.35277,-2.53043,4,"-2.53043, 52.35277"
51701,5,52.37614,-2.70661,3,"-2.70661, 52.37614"
51752,5,52.46905,-2.52236,7,"-2.52236, 52.46905"
51753,5,52.46901,-2.52249,4,"-2.52249, 52.46901"
52852,5,52.37567,-2.70766,2,"-2.70766, 52.37567"
52906,5,52.32534,-2.45286,5,"-2.45286, 52.32534"
53129,5,52.54608,-2.85483,5,"-2.85483, 52.54608"
53289,5,52.44163,-2.75716,2,"-2.75716, 52.44163"
53290,5,52.44236,-2.75744,2,"-2.75744, 52.44236"
53403,5,52.29989,-2.74717,2,"-2.74717, 52.29989"
54125,5,52.36656,-2.7003,6,"-2.7003, 52.36656"
54135,5,52.4393,-2.83631,4,"-2.83631, 52.4393"
54136,5,52.43941,-2.8364,4,"-2.8364, 52.43941"
54438,5,52.50467,-2.8047,5,"-2.8047, 52.50467"
54837,5,52.43445,-2.75156,4,"-2.75156, 52.43445"
54838,5,52.43468,-2.75138,4,"-2.75138, 52.43468"
55143,5,52.25268,-2.52569,2,"-2.52569, 52.25268"
56649,5,52.52251,-2.71834,5,"-2.71834, 52.52251"
56883,5,52.56262,-2.84121,6,"-2.84121, 52.56262"
57502,5,52.42369,-2.61678,5,"-2.61678, 52.42369"
57661,5,52.37575,-2.719,5,"-2.719, 52.37575"
57662,5,52.37574,-2.71923,4,"-2.71923, 52.37574"
59730,5,52.37523,-2.80534,2,"-2.80534, 52.37523"
59731,5,52.37516,-2.80575,2,"-2.80575, 52.37516"
60507,5,52.35016,-2.6239,2,"-2.6239, 52.35016"
60508,5,52.3504,-2.62392,2,"-2.62392, 52.3504"
60892,5,52.47577,-2.83666,3,"-2.83666, 52.47577"
60893,5,52.47581,-2.83687,3,"-2.83687, 52.47581"
60973,5,52.3256,-2.53215,6,"-2.53215, 52.3256"
60974,5,52.32745,-2.54381,2,"-2.54381, 52.32745"
61016,5,52.33156,-2.71262,4,"-2.71262, 52.33156"
61017,5,52.33158,-2.71238,5,"-2.71238, 52.33158"
61545,5,52.32187,-2.74223,4,"-2.74223, 52.32187"
61546,5,52.32208,-2.7419,4,"-2.7419, 52.32208"
62185,5,52.44004,-2.67108,2,"-2.67108, 52.44004"
62186,5,52.44021,-2.67101,2,"-2.67101, 52.44021"
63213,5,52.42908,-2.89305,5,"-2.89305, 52.42908"
63214,5,52.42903,-2.89334,5,"-2.89334, 52.42903"
63666,5,52.40114,-2.8323,4,"-2.8323, 52.40114"
64032,5,52.42496,-2.73149,4,"-2.73149, 52.42496"
64033,5,52.42509,-2.73121,4,"-2.73121, 52.42509"
64969,5,52.40748,-2.80412,6,"-2.80412, 52.40748"
68770,5,52.50731,-2.82453,5,"-2.82453, 52.50731"
68771,5,52.50758,-2.82434,3,"-2.82434, 52.50758"
68772,5,52.50253,-2.82038,6,"-2.82038, 52.50253"
68773,5,52.50263,-2.8202,6,"-2.8202, 52.50263"
68868,5,52.30444,-2.59887,2,"-2.59887, 52.30444"
69660,5,52.29978,-2.74711,2,"-2.74711, 52.29978"
71715,5,52.43051,-2.83207,3,"-2.83207, 52.43051"
71716,5,52.43113,-2.83032,3,"-2.83032, 52.43113"
71861,5,52.55248,-2.85589,5,"-2.85589, 52.55248"
74007,5,52.44153,-2.48425,6,"-2.48425, 52.44153"
74008,5,52.4413,-2.484,6,"-2.484, 52.4413"
74223,5,52.40255,-2.89102,2,"-2.89102, 52.40255"
75405,5,52.39689,-2.93311,2,"-2.93311, 52.39689"
75406,5,52.39703,-2.9331,2,"-2.9331, 52.39703"
75651,5,52.31042,-2.65692,10,"-2.65692, 52.31042"
75986,5,52.54469,-2.80544,2,"-2.80544, 52.54469"
75987,5,52.54461,-2.80565,2,"-2.80565, 52.54461"
75989,5,52.54493,-2.82093,4,"-2.82093, 52.54493"
75990,5,52.54223,-2.80743,2,"-2.80743, 52.54223"
76677,5,52.504,-2.82338,4,"-2.82338, 52.504"
77207,5,52.44436,-2.89838,2,"-2.89838, 52.44436"
77208,5,52.44483,-2.89843,2,"-2.89843, 52.44483"
77710,5,52.30503,-2.59531,6,"-2.59531, 52.30503"
77711,5,52.34773,-2.49943,2,"-2.49943, 52.34773"
77936,5,52.41205,-2.62813,2,"-2.62813, 52.41205"
78685,5,52.45769,-2.76946,2,"-2.76946, 52.45769"
78851,5,52.53963,-2.68124,5,"-2.68124, 52.53963"
78852,5,52.53963,-2.68095,5,"-2.68095, 52.53963"
79152,5,52.42695,-2.71732,2,"-2.71732, 52.42695"
79345,5,52.32273,-2.82849,3,"-2.82849, 52.32273"
79783,5,52.48752,-2.67282,2,"-2.67282, 52.48752"
79784,5,52.48738,-2.67267,2,"-2.67267, 52.48738"
81314,5,52.56614,-2.88196,4,"-2.88196, 52.56614"
81622,5,52.33645,-2.53598,4,"-2.53598, 52.33645"
81717,5,52.48282,-2.83441,2,"-2.83441, 52.48282"
81718,5,52.48279,-2.83422,2,"-2.83422, 52.48279"
82450,5,52.43067,-2.46925,3,"-2.46925, 52.43067"
82512,5,52.35924,-2.55817,2,"-2.55817, 52.35924"
82879,5,52.52255,-2.71839,2,"-2.71839, 52.52255"
83178,5,52.34544,-2.58545,2,"-2.58545, 52.34544"
83179,5,52.34512,-2.58549,2,"-2.58549, 52.34512"
84617,5,52.38052,-2.47893,2,"-2.47893, 52.38052"
84746,5,52.2705,-2.64726,3,"-2.64726, 52.2705"
84757,5,52.38856,-2.74328,4,"-2.74328, 52.38856"
85382,5,52.36472,-2.69328,5,"-2.69328, 52.36472"
85477,5,52.31888,-2.50138,7,"-2.50138, 52.31888"
85622,5,52.40475,-2.47075,2,"-2.47075, 52.40475"
85623,5,52.40494,-2.47071,2,"-2.47071, 52.40494"
85645,5,52.31245,-2.59408,11,"-2.59408, 52.31245"
85646,5,52.31248,-2.59431,12,"-2.59431, 52.31248"
86233,5,52.48118,-2.55712,6,"-2.55712, 52.48118"
86998,5,52.42134,-2.51463,2,"-2.51463, 52.42134"
86999,5,52.42114,-2.51451,2,"-2.51451, 52.42114"
88279,5,52.42379,-2.61662,5,"-2.61662, 52.42379"
89056,5,52.38133,-2.46025,3,"-2.46025, 52.38133"
90512,5,52.34773,-2.49911,2,"-2.49911, 52.34773"
91114,5,52.48586,-2.78348,4,"-2.78348, 52.48586"
91396,5,52.40626,-2.92599,4,"-2.92599, 52.40626"
91397,5,52.40483,-2.92436,4,"-2.92436, 52.40483"
91408,5,52.2788,-2.77792,3,"-2.77792, 52.2788"
91810,5,52.38317,-2.53414,4,"-2.53414, 52.38317"
91811,5,52.38298,-2.53401,6,"-2.53401, 52.38298"
92647,5,52.40625,-2.74857,2,"-2.74857, 52.40625"
92648,5,52.40631,-2.74829,2,"-2.74829, 52.40631"
93299,5,52.3334,-2.6251,2,"-2.6251, 52.3334"
93588,5,52.3207,-2.52784,9,"-2.52784, 52.3207"
94600,5,52.46879,-2.99074,3,"-2.99074, 52.46879"
94601,5,52.46885,-2.99059,3,"-2.99059, 52.46885"
94773,5,52.33336,-2.62531,2,"-2.62531, 52.33336"
