node,layer,lat,lon,degree,geometry
312,5,51.82553,-0.34802,4,"-0.34802, 51.82553"
315,5,51.73992,-0.45824,4,"-0.45824, 51.73992"
316,5,51.73672,-0.44668,4,"-0.44668, 51.73672"
317,5,51.74342,-0.46765,4,"-0.46765, 51.74342"
318,5,51.74498,-0.46278,4,"-0.46278, 51.74498"
708,5,51.74234,-0.49076,36,"-0.49076, 51.74234"
783,5,51.82187,-0.35484,7,"-0.35484, 51.82187"
846,5,51.72561,-0.30095,4,"-0.30095, 51.72561"
847,5,51.72929,-0.30155,6,"-0.30155, 51.72929"
848,5,51.72339,-0.29524,4,"-0.29524, 51.72339"
849,5,51.7197,-0.29681,4,"-0.29681, 51.7197"
850,5,51.71782,-0.30059,4,"-0.30059, 51.71782"
851,5,51.72666,-0.29859,6,"-0.29859, 51.72666"
891,5,51.76111,-0.362,4,"-0.362, 51.76111"
893,5,51.77255,-0.37596,4,"-0.37596, 51.77255"
894,5,51.81531,-0.49454,4,"-0.49454, 51.81531"
895,5,51.81257,-0.49277,4,"-0.49277, 51.81257"
896,5,51.80655,-0.48013,4,"-0.48013, 51.80655"
897,5,51.78904,-0.48825,4,"-0.48825, 51.78904"
898,5,51.80127,-0.47117,4,"-0.47117, 51.80127"
919,5,51.75399,-0.54613,4,"-0.54613, 51.75399"
920,5,51.75539,-0.5495,4,"-0.5495, 51.75539"
921,5,51.74811,-0.57697,4,"-0.57697, 51.74811"
923,5,51.75027,-0.57174,8,"-0.57174, 51.75027"
924,5,51.75275,-0.57732,6,"-0.57732, 51.75275"
926,5,51.74825,-0.53061,4,"-0.53061, 51.74825"
927,5,51.7504,-0.53691,4,"-0.53691, 51.7504"
1393,5,51.74816,-0.4329,6,"-0.4329, 51.74816"
1399,5,51.75232,-0.44945,4,"-0.44945, 51.75232"
2048,5,51.68781,-0.38878,7,"-0.38878, 51.68781"
2049,5,51.68117,-0.37936,4,"-0.37936, 51.68117"
2050,5,51.69902,-0.38419,12,"-0.38419, 51.69902"
2431,5,51.72546,-0.34028,18,"-0.34028, 51.72546"
2709,5,51.79694,-0.35091,4,"-0.35091, 51.79694"
2710,5,51.80084,-0.35191,4,"-0.35191, 51.80084"
2711,5,51.80479,-0.35219,6,"-0.35219, 51.80479"
2712,5,51.80623,-0.34748,4,"-0.34748, 51.80623"
2713,5,51.80176,-0.36003,4,"-0.36003, 51.80176"
2714,5,51.80079,-0.36587,4,"-0.36587, 51.80079"
2715,5,51.80385,-0.35626,4,"-0.35626, 51.80385"
3387,5,51.75523,-0.30551,7,"-0.30551, 51.75523"
3388,5,51.75896,-0.31715,4,"-0.31715, 51.75896"
3389,5,51.75934,-0.31236,8,"-0.31236, 51.75934"
3390,5,51.75987,-0.3069,4,"-0.3069, 51.75987"
3456,5,51.76324,-0.34647,6,"-0.34647, 51.76324"
3457,5,51.75902,-0.35216,4,"-0.35216, 51.75902"
3458,5,51.7596,-0.3413,4,"-0.3413, 51.7596"
3459,5,51.76171,-0.34985,7,"-0.34985, 51.76171"
3460,5,51.76925,-0.3348,4,"-0.3348, 51.76925"
3461,5,51.7706,-0.33413,4,"-0.33413, 51.7706"
3462,5,51.76473,-0.34462,11,"-0.34462, 51.76473"
3495,5,51.80973,-0.28331,4,"-0.28331, 51.80973"
3528,5,51.74151,-0.46856,4,"-0.46856, 51.74151"
3533,5,51.74194,-0.4625,6,"-0.4625, 51.74194"
3534,5,51.91061,-0.50105,4,"-0.50105, 51.91061"
3899,5,51.79915,-0.63532,9,"-0.63532, 51.79915"
3905,5,51.79802,-0.6473,8,"-0.6473, 51.79802"
4421,5,51.64331,-0.39319,6,"-0.39319, 51.64331"
4470,5,51.7714,-0.4475,8,"-0.4475, 51.7714"
4545,5,51.80502,-0.58156,4,"-0.58156, 51.80502"
4637,5,51.81884,-0.35674,4,"-0.35674, 51.81884"
4643,5,51.68672,-0.38167,19,"-0.38167, 51.68672"
5183,5,51.78401,-0.52289,5,"-0.52289, 51.78401"
5184,5,51.80313,-0.58108,4,"-0.58108, 51.80313"
5185,5,51.79146,-0.50494,6,"-0.50494, 51.79146"
5248,5,51.73799,-0.45328,4,"-0.45328, 51.73799"
5249,5,51.7406,-0.4467,5,"-0.4467, 51.7406"
5250,5,51.73831,-0.44817,4,"-0.44817, 51.73831"
5251,5,51.74298,-0.44536,4,"-0.44536, 51.74298"
5252,5,51.74246,-0.44777,8,"-0.44777, 51.74246"
5336,5,51.76741,-0.3703,4,"-0.3703, 51.76741"
5497,5,51.88571,-0.52061,19,"-0.52061, 51.88571"
5955,5,51.72086,-0.54975,10,"-0.54975, 51.72086"
6333,5,51.76359,-0.44774,8,"-0.44774, 51.76359"
6367,5,51.73252,-0.46292,22,"-0.46292, 51.73252"
6537,5,51.75644,-0.5723,4,"-0.5723, 51.75644"
6538,5,51.76292,-0.57243,6,"-0.57243, 51.76292"
6539,5,51.75532,-0.56377,6,"-0.56377, 51.75532"
6540,5,51.75397,-0.5677,4,"-0.5677, 51.75397"
6541,5,51.75541,-0.56061,5,"-0.56061, 51.75541"
6891,5,51.65438,-0.40575,4,"-0.40575, 51.65438"
6892,5,51.65266,-0.40798,5,"-0.40798, 51.65266"
6893,5,51.65084,-0.41144,6,"-0.41144, 51.65084"
6900,5,51.65549,-0.41125,4,"-0.41125, 51.65549"
6956,5,51.7161,-0.41186,7,"-0.41186, 51.7161"
6957,5,51.71775,-0.43061,6,"-0.43061, 51.71775"
6958,5,51.76453,-0.48933,7,"-0.48933, 51.76453"
6960,5,51.76147,-0.49949,9,"-0.49949, 51.76147"
6961,5,51.76028,-0.4953,6,"-0.4953, 51.76028"
6982,5,51.69488,-0.42984,6,"-0.42984, 51.69488"
6983,5,51.69639,-0.43065,4,"-0.43065, 51.69639"
6984,5,51.69552,-0.4332,6,"-0.4332, 51.69552"
6985,5,51.69346,-0.43511,9,"-0.43511, 51.69346"
6986,5,51.68705,-0.40469,4,"-0.40469, 51.68705"
6987,5,51.69398,-0.43215,8,"-0.43215, 51.69398"
6991,5,51.68994,-0.40696,4,"-0.40696, 51.68994"
6994,5,51.69801,-0.4336,7,"-0.4336, 51.69801"
6998,5,51.68914,-0.39923,4,"-0.39923, 51.68914"
7019,5,51.80718,-0.26124,5,"-0.26124, 51.80718"
7358,5,51.80947,-0.57972,4,"-0.57972, 51.80947"
7637,5,51.67519,-0.37985,5,"-0.37985, 51.67519"
7638,5,51.671,-0.38279,8,"-0.38279, 51.671"
7639,5,51.67466,-0.40008,4,"-0.40008, 51.67466"
7640,5,51.67735,-0.3788,9,"-0.3788, 51.67735"
7642,5,51.69093,-0.3856,14,"-0.3856, 51.69093"
8211,5,51.89661,-0.36658,4,"-0.36658, 51.89661"
8212,5,51.8891,-0.34367,6,"-0.34367, 51.8891"
8215,5,51.89676,-0.35707,4,"-0.35707, 51.89676"
8216,5,51.92215,-0.36575,5,"-0.36575, 51.92215"
8217,5,51.88882,-0.35115,4,"-0.35115, 51.88882"
8218,5,51.89809,-0.36639,4,"-0.36639, 51.89809"
8219,5,51.89502,-0.35071,4,"-0.35071, 51.89502"
8296,5,51.71913,-0.28764,6,"-0.28764, 51.71913"
8297,5,51.71842,-0.28539,4,"-0.28539, 51.71842"
8299,5,51.72161,-0.29335,6,"-0.29335, 51.72161"
8320,5,51.75317,-0.4504,6,"-0.4504, 51.75317"
8322,5,51.7515,-0.44624,4,"-0.44624, 51.7515"
8387,5,51.8029,-0.3768,4,"-0.3768, 51.8029"
8388,5,51.78535,-0.3432,4,"-0.3432, 51.78535"
8389,5,51.79006,-0.34561,4,"-0.34561, 51.79006"
8390,5,51.78116,-0.33948,4,"-0.33948, 51.78116"
8391,5,51.77689,-0.3368,4,"-0.3368, 51.77689"
8392,5,51.77397,-0.33618,4,"-0.33618, 51.77397"
8393,5,51.78789,-0.30062,4,"-0.30062, 51.78789"
8394,5,51.78385,-0.30325,4,"-0.30325, 51.78385"
8395,5,51.79977,-0.29684,6,"-0.29684, 51.79977"
8442,5,51.75204,-0.30087,4,"-0.30087, 51.75204"
9053,5,51.76435,-0.33936,4,"-0.33936, 51.76435"
9054,5,51.6944,-0.38547,11,"-0.38547, 51.6944"
9057,5,51.75028,-0.46148,4,"-0.46148, 51.75028"
9091,5,51.75852,-0.33134,4,"-0.33134, 51.75852"
9092,5,51.75638,-0.34826,6,"-0.34826, 51.75638"
9093,5,51.75835,-0.32799,4,"-0.32799, 51.75835"
9094,5,51.75405,-0.35296,4,"-0.35296, 51.75405"
9095,5,51.7535,-0.35582,4,"-0.35582, 51.7535"
9096,5,51.75466,-0.35549,5,"-0.35549, 51.75466"
9097,5,51.75014,-0.36061,9,"-0.36061, 51.75014"
9551,5,51.77377,-0.59706,6,"-0.59706, 51.77377"
