ori_node,des_node,ori_layer,des_layer,minutes,km
22652,22652,5,5,1,0
22652,65018,5,5,1,0.7
22652,78382,5,5,2,0.475
22652,123557,5,5,2,1.219
22652,138983,5,5,18,17.862
22652,143433,5,5,2,1.121
22652,183505,5,5,1,0.698
22652,205829,5,5,1,0.258
22652,205831,5,5,1,0.413
22652,205835,5,5,5,1.142
22652,207505,5,5,1,0.462
53495,101516,5,5,10,3.697
53496,120842,5,5,10,4.911
55429,22652,5,5,1,0.46
55431,75033,5,5,1,0.418
55516,256703,5,5,1,1.292
55668,256701,5,5,4,2.686
55670,76327,5,5,1,0.011
55670,170269,5,5,1,0.195
55670,170270,5,5,1,0.197
55671,55669,5,5,1,0.674
55673,55668,5,5,1,0.657
58883,245918,5,5,2,2.65
58885,58890,5,5,1,0.327
58886,58887,5,5,1,0.269
58887,249017,5,5,1,1.101
58888,58885,5,5,1,0.272
58889,58883,5,5,1,2.649
58890,58889,5,5,1,2.31
58891,58886,5,5,1,0.324
62894,88119,5,5,5,1.765
62896,88122,5,5,2,1.339
65013,97948,5,5,2,3.277
65015,65016,5,5,1,0.479
65016,65013,5,5,1,0.352
65018,65020,5,5,1,0.203
65020,65015,5,5,1,0.257
65020,173740,5,5,1,0.371
65243,65245,5,5,1,0.469
65245,98365,5,5,10,3.96
66423,78382,5,5,5,0.966
66424,182712,5,5,3,0.35
74671,55516,5,5,2,2.413
74671,74672,5,5,1,0.009
74672,75366,5,5,3,2.678
74672,99966,5,5,5,3.816
74672,216129,5,5,2,0.3
74674,65243,5,5,6,2.717
74674,74855,5,5,8,3.295
74676,238418,5,5,15,9.617
74677,75366,5,5,3,2.047
74853,74856,5,5,3,1.879
74855,99967,5,5,4,2.544
74855,99969,5,5,1,0.402
74856,84661,5,5,3,3.535
74856,84663,5,5,1,0.94
74857,84661,5,5,3,2.354
74858,74855,5,5,3,1.932
75033,55429,5,5,1,0.575
75366,238418,5,5,2,2.221
76327,170269,5,5,1,0.183
76344,99965,5,5,9,3.238
76344,238419,5,5,8,3.71
78377,88123,5,5,3,1.365
78377,203186,5,5,8,5.23
78381,22652,5,5,1,0.476
78382,66423,5,5,5,0.966
78382,113891,5,5,2,0.482
78382,143433,5,5,1,0.689
78383,78377,5,5,7,2.805
82646,241163,5,5,1,0.936
82647,82648,5,5,1,0.419
82648,112318,5,5,2,2.041
82648,201435,5,5,3,2.268
84659,74858,5,5,3,3.535
84659,84662,5,5,2,2.397
84660,84659,5,5,2,1.468
84661,253832,5,5,3,1.513
84662,253823,5,5,1,0.148
84663,168608,5,5,1,0.25
84664,74858,5,5,2,0.926
84665,84660,5,5,1,0.406
88117,88118,5,5,2,1.279
88118,97747,5,5,5,2.066
88119,88117,5,5,1,0.102
88120,88121,5,5,1,0.089
88121,62896,5,5,5,1.769
88122,179418,5,5,3,1.391
88123,62894,5,5,2,1.341
90180,53495,5,5,6,2.758
90180,233448,5,5,2,3.112
90310,74677,5,5,3,2.147
90310,170271,5,5,1,1.296
90312,74671,5,5,5,2.688
90312,216125,5,5,2,2.596
90312,256702,5,5,3,2.068
90313,90310,5,5,1,0.281
90314,90310,5,5,2,0.284
90314,170270,5,5,1,0.336
90314,256700,5,5,1,0.207
90747,90750,5,5,2,2.587
90748,90747,5,5,2,1.571
90749,134157,5,5,1,1.355
90750,90749,5,5,1,0.776
90751,100428,5,5,1,0.239
94160,124338,5,5,1,0.383
96458,109739,5,5,12,5.508
96458,199431,5,5,1,0.406
96478,209131,5,5,3,0.951
96478,209132,5,5,2,0.95
96478,209134,5,5,7,5.314
97746,97748,5,5,5,2.055
97747,121093,5,5,3,3.065
97748,88120,5,5,3,1.268
97948,144129,5,5,2,1.806
97948,167127,5,5,1,0.984
98365,201193,5,5,9,2.638
98365,201202,5,5,7,2.186
98393,143440,5,5,5,1.43
98395,180011,5,5,2,0.64
98396,98393,5,5,5,2.944
98397,155122,5,5,10,2.357
98397,205586,5,5,1,0.231
98397,223200,5,5,10,10.072
98397,225195,5,5,7,2.277
98398,98397,5,5,6,3.698
98398,180012,5,5,3,0.94
98399,98400,5,5,10,2.338
98399,205587,5,5,4,2.332
98400,98395,5,5,6,3.854
98400,98398,5,5,6,3.701
98400,180012,5,5,9,3.901
98400,225195,5,5,5,2.286
99964,76344,5,5,9,3.229
99965,99969,5,5,6,3.616
99966,99969,5,5,4,2.151
99967,74671,5,5,6,3.81
99967,216129,5,5,4,3.666
99968,74674,5,5,13,3.341
99968,74853,5,5,1,0.208
99968,99969,5,5,1,0.23
99969,99964,5,5,7,3.624
99969,99967,5,5,5,2.144
99969,99968,5,5,1,0.23
100014,201205,5,5,3,1.575
100014,235081,5,5,1,0.254
100428,134150,5,5,1,0.263
100430,124340,5,5,1,1.185
101514,53496,5,5,10,3.681
101516,226031,5,5,5,0.33
102856,196033,5,5,1,0.403
102856,199429,5,5,1,0.253
102856,202209,5,5,1,0.226
102856,202213,5,5,4,0.496
102857,112699,5,5,2,1.659
102858,153296,5,5,1,0.599
102858,236735,5,5,1,0.229
107462,98365,5,5,3,1.312
109739,155115,5,5,1,0.327
109740,193878,5,5,3,1.273
109740,244680,5,5,3,1.424
109741,98396,5,5,5,2.482
111012,242620,5,5,1,0.778
111018,111012,5,5,1,0.304
111437,98397,5,5,7,4.023
111437,98398,5,5,2,0.605
111437,145205,5,5,7,1.943
111437,209133,5,5,2,1.804
112266,22652,5,5,1,0.388
112318,82646,5,5,3,3.081
112692,112698,5,5,4,2.244
112694,112692,5,5,1,0.602
112695,112697,5,5,3,2.258
112696,112700,5,5,2,1.699
112697,112691,5,5,1,0.599
112698,112696,5,5,3,1.597
112699,112695,5,5,3,1.591
112700,120841,5,5,2,0.941
112847,202215,5,5,1,0.079
113890,78381,5,5,3,0.421
113891,113890,5,5,1,0.123
113896,227018,5,5,6,3.669
113897,254553,5,5,5,1.434
113899,124647,5,5,7,2.869
120113,76344,5,5,9,3.697
120113,238420,5,5,4,3.488
120841,90180,5,5,4,2.206
120841,102858,5,5,4,2.968
120841,130928,5,5,3,2.453
120841,175266,5,5,3,2.463
120842,90180,5,5,1,2.191
120842,102857,5,5,1,0.976
120842,130930,5,5,7,6.936
120842,175266,5,5,6,2.46
120842,256472,5,5,7,5.719
120896,109741,5,5,3,1.339
121093,97746,5,5,3,3.075
121093,203182,5,5,7,2.912
121168,227022,5,5,1,1.236
121169,151690,5,5,4,2.449
121169,227018,5,5,1,2.309
123557,78383,5,5,10,5.795
123557,173741,5,5,1,0.583
124336,163945,5,5,1,0.38
124338,168145,5,5,1,0.04
124339,124336,5,5,2,1.707
124340,124339,5,5,1,0.394
124340,215507,5,5,1,1.715
124341,124342,5,5,10,6.245
124342,134150,5,5,5,2.825
124342,235964,5,5,8,2.903
124643,84665,5,5,1,1.098
124643,254556,5,5,1,0.446
124644,143432,5,5,2,0.69
124644,143435,5,5,1,0.61
124645,124643,5,5,1,0.241
124647,133410,5,5,1,0.425
125995,143436,5,5,1,0.163
126041,133410,5,5,2,1.124
128515,209134,5,5,3,1.922
130928,120841,5,5,7,2.453
130928,120842,5,5,3,2.449
130928,175270,5,5,1,0.292
130930,130931,5,5,2,3.845
130931,150451,5,5,1,0.698
133410,124644,5,5,1,0.193
133414,125995,5,5,1,0.612
133415,143434,5,5,2,1.535
134150,134152,5,5,1,0.328
134151,134156,5,5,1,0.535
134151,235964,5,5,3,1.419
134152,134153,5,5,1,0.278
134152,183198,5,5,4,1.585
134153,100430,5,5,1,0.858
134154,138988,5,5,1,1.411
134154,235974,5,5,4,1.857
134155,134154,5,5,1,0.443
134156,134155,5,5,1,0.438
134157,90751,5,5,1,0.628
138982,138983,5,5,1,0.211
138983,138996,5,5,1,0.377
138984,138985,5,5,1,0.362
138985,138982,5,5,2,2.643
138986,138984,5,5,1,1.586
138988,138986,5,5,3,3.352
138996,199437,5,5,1,1.694
140795,253105,5,5,2,2.571
143430,206873,5,5,1,0.316
143431,124645,5,5,1,0.657
143432,143430,5,5,1,0.103
143433,133414,5,5,3,1.575
143434,22652,5,5,3,1.097
143434,78381,5,5,2,0.663
143435,206873,5,5,1,0.315
143436,124645,5,5,1,0.591
143436,143431,5,5,1,0.302
143440,254554,5,5,1,1.281
144129,134151,5,5,1,0.337
145205,120896,5,5,5,2.7
145205,180012,5,5,10,2.185
145635,238419,5,5,3,3.514
145639,189687,5,5,1,0.265
148380,237194,5,5,4,0.537
148388,172901,5,5,1,0.075
150451,204144,5,5,7,2.512
150452,262241,5,5,1,0.693
151690,227018,5,5,2,0.291
153295,199428,5,5,1,0.572
153296,148388,5,5,3,0.338
153296,153299,5,5,1,0.419
153296,199429,5,5,5,0.626
153296,246653,5,5,1,0.313
153299,153295,5,5,1,0.234
153299,172903,5,5,1,0.329
153299,225198,5,5,9,6.673
155115,98399,5,5,5,2.586
155115,199434,5,5,10,4.579
155116,209134,5,5,2,2.426
155117,109741,5,5,3,1.478
155119,209131,5,5,3,2.192
155120,128515,5,5,1,0.348
155120,155119,5,5,1,0.351
155122,155115,5,5,5,2.601
155122,155116,5,5,5,2.599
155122,205587,5,5,4,2.34
155122,215260,5,5,11,3.293
155464,155120,5,5,1,0.35
163938,163940,5,5,1,0.185
163939,163947,5,5,4,1.704
163940,163942,5,5,2,2.508
163941,163939,5,5,1,0.216
163942,168146,5,5,1,0.176
163943,163941,5,5,2,2.518
163945,168147,5,5,3,2.728
163945,173737,5,5,6,2.541
163947,249009,5,5,3,2.693
163948,163938,5,5,2,1.715
164994,165000,5,5,2,0.94
164994,185058,5,5,12,5.831
164995,164994,5,5,3,0.924
165000,252168,5,5,5,3.227
167127,144129,5,5,1,0.832
168145,173739,5,5,1,0.298
168146,94160,5,5,4,2.725
168146,173741,5,5,11,5.42
168147,163943,5,5,1,0.143
168608,74857,5,5,1,0.185
169370,172902,5,5,2,0.276
170269,55670,5,5,1,0.195
170269,90313,5,5,1,0.341
170269,256700,5,5,1,0.423
170270,55670,5,5,1,0.197
170270,90313,5,5,2,0.342
170271,74672,5,5,2,2.411
172900,236735,5,5,4,0.438
172901,199429,5,5,3,0.625
172902,102856,5,5,7,0.934
172903,215756,5,5,2,0.481
172903,236729,5,5,6,0.435
173737,173741,5,5,2,1.325
173738,173744,5,5,1,0.307
173739,173737,5,5,5,2.156
173740,173742,5,5,1,0.215
173741,211600,5,5,1,0.214
173742,168147,5,5,11,5.428
173742,173743,5,5,2,1.322
173743,173738,5,5,5,2.156
173744,124336,5,5,1,0.047
175265,82648,5,5,1,0.355
175266,120842,5,5,3,2.46
175266,175270,5,5,1,0.285
175270,102858,5,5,1,0.247
175271,130928,5,5,1,0.275
175271,175266,5,5,1,0.269
179418,214930,5,5,8,2.807
180007,111437,5,5,1,1.123
180007,180015,5,5,1,0.364
180008,180014,5,5,2,0.685
180008,189684,5,5,7,3.977
180008,189691,5,5,4,2.257
180011,180008,5,5,2,1.054
180011,180012,5,5,1,0.397
180011,180015,5,5,2,0.854
180012,180016,5,5,1,0.419
180013,180014,5,5,1,0.335
180014,98398,5,5,2,0.902
180014,111437,5,5,1,0.424
180015,180013,5,5,1,0.221
180015,189684,5,5,5,4.332
180016,98398,5,5,2,1.192
180016,180008,5,5,1,0.344
180016,225196,5,5,7,3.644
182712,183498,5,5,1,0.315
182713,173740,5,5,1,0.122
183198,100430,5,5,2,2.053
183498,22652,5,5,3,0.697
183498,205833,5,5,1,0.177
183505,182713,5,5,1,0.306
185055,164994,5,5,11,5.819
185055,165000,5,5,8,6.12
189684,249085,5,5,1,0.266
189687,180016,5,5,6,4.314
189687,193427,5,5,3,1.335
189688,189684,5,5,2,1.321
189689,189688,5,5,1,0.148
189690,189692,5,5,2,1.183
189691,189689,5,5,2,1.203
189692,180007,5,5,5,2.253
193427,189690,5,5,1,0.152
193447,226031,5,5,8,4.195
193878,145205,5,5,5,2.699
193878,209133,5,5,6,3.002
194022,74674,5,5,10,3.126
196033,236731,5,5,1,0.369
197148,155120,5,5,1,0.354
199427,199429,5,5,1,0.514
199428,96458,5,5,2,0.979
199428,96478,5,5,3,1.987
199428,155117,5,5,14,5.491
199428,169370,5,5,2,0.361
199429,102856,5,5,1,0.253
199429,172903,5,5,2,0.172
199429,202209,5,5,1,0.461
199430,199432,5,5,1,0.417
199431,96478,5,5,1,0.671
199432,199427,5,5,2,1.011
199432,225674,5,5,1,0.821
199434,199427,5,5,3,2.013
199434,199430,5,5,1,0.651
199437,199439,5,5,1,1.119
199439,199440,5,5,1,2.365
199440,199441,5,5,1,0.505
199441,199442,5,5,1,0.84
201193,201202,5,5,5,2.309
201193,216127,5,5,10,2.628
201202,82648,5,5,2,1.572
201202,175265,5,5,2,1.374
201202,201205,5,5,1,0.015
201205,201193,5,5,4,2.298
201407,201436,5,5,3,0.815
201427,201202,5,5,5,2.312
201435,214921,5,5,2,0.821
201436,235085,5,5,1,0.685
202209,196033,5,5,1,0.177
202209,202210,5,5,2,0.729
202210,148380,5,5,1,0.162
202213,202214,5,5,1,0.042
202214,112847,5,5,1,0.346
202215,202216,5,5,1,0.239
202216,199428,5,5,1,0.073
203182,203185,5,5,3,1.566
203183,121093,5,5,7,2.923
203184,203183,5,5,3,1.591
203185,203187,5,5,2,0.827
203186,203184,5,5,2,0.854
205586,155122,5,5,5,2.345
205587,98400,5,5,1,0.226
205826,235083,5,5,1,0.869
205829,66423,5,5,5,1.072
205829,78382,5,5,2,0.241
205829,205831,5,5,1,0.384
205831,107462,5,5,12,7.053
205831,205826,5,5,1,0.324
205833,22652,5,5,2,0.553
205835,123557,5,5,1,0.093
206873,133415,5,5,1,0.58
206873,143434,5,5,3,2.083
207505,207506,5,5,1,0.567
207506,210610,5,5,1,0.396
209131,199434,5,5,1,0.981
209131,225200,5,5,5,3.167
209132,197148,5,5,4,2.201
209132,199434,5,5,3,0.98
209133,109739,5,5,4,2.051
209133,155115,5,5,4,2.342
209133,155464,5,5,3,1.851
209133,199434,5,5,7,5.272
209134,120896,5,5,5,2.984
209134,180011,5,5,2,1.789
210610,217133,5,5,1,0.369
211600,66424,5,5,1,0.321
211600,182712,5,5,1,0.111
211600,215514,5,5,1,0.365
214921,82646,5,5,5,3.3
214930,205833,5,5,13,6.693
215260,98399,5,5,11,3.306
215260,155122,5,5,11,3.293
215260,215261,5,5,5,2.741
215260,215263,5,5,8,5.375
215261,209132,5,5,5,3.175
215261,225199,5,5,12,5.727
215262,215260,5,5,8,5.367
215262,215261,5,5,10,7.585
215263,215264,5,5,4,2.264
215263,223200,5,5,18,5.877
215264,215262,5,5,5,2.272
215505,215511,5,5,1,0.397
215507,215505,5,5,1,1.439
215509,215514,5,5,1,0.25
215511,215509,5,5,1,0.438
215514,205833,5,5,1,0.348
215756,96458,5,5,1,0.866
216125,74671,5,5,1,0.314
216125,99966,5,5,5,3.665
216127,194022,5,5,7,3.938
216129,75366,5,5,4,2.605
217127,121168,5,5,1,2.261
217127,121169,5,5,1,2.226
217129,217127,5,5,1,1.149
217130,217129,5,5,2,3.307
217131,217130,5,5,1,0.797
217133,217131,5,5,1,0.197
223200,98400,5,5,14,10.071
223200,215262,5,5,18,5.885
223795,233446,5,5,1,0.393
223797,223802,5,5,3,2.33
223801,223795,5,5,1,1.724
223802,223801,5,5,1,1.069
225194,98397,5,5,5,2.282
225195,225197,5,5,2,0.92
225196,225194,5,5,3,0.924
225197,180015,5,5,5,3.565
225198,225200,5,5,10,5.708
225199,102856,5,5,8,6.685
225200,215260,5,5,5,2.734
225200,215263,5,5,10,7.591
225673,102856,5,5,1,0.331
225674,225673,5,5,1,0.517
226031,101514,5,5,5,0.325
226031,193445,5,5,8,4.198
227018,113899,5,5,5,3.653
227018,121168,5,5,2,2.37
227018,227020,5,5,1,2.31
227018,254555,5,5,4,1.879
227020,256472,5,5,2,2.278
227022,227025,5,5,1,2.051
227025,153299,5,5,5,0.601
227025,196033,5,5,1,0.33
227025,236729,5,5,4,1.281
233446,140795,5,5,1,0.285
233448,130930,5,5,2,1.648
235081,201205,5,5,3,1.508
235083,201407,5,5,5,3.343
235083,235085,5,5,3,3.256
235085,100014,5,5,2,2.013
235964,134150,5,5,2,1.151
235964,134155,5,5,1,0.666
235974,124341,5,5,5,3.534
236729,196033,5,5,8,1.079
236729,246653,5,5,3,1.29
236731,257639,5,5,1,0.308
236735,153296,5,5,1,0.37
237194,257639,5,5,1,0.69
238418,120113,5,5,1,0.378
238418,164995,5,5,4,3.223
238419,252168,5,5,1,0.333
238420,145639,5,5,1,0.426
241163,112266,5,5,1,0.369
242620,223797,5,5,1,0.532
244679,109740,5,5,5,2.541
244680,199427,5,5,11,5.541
245918,58891,5,5,1,2.317
246653,246654,5,5,1,2.122
246654,121169,5,5,2,1.217
246654,246661,5,5,1,1.166
246661,151690,5,5,1,2.516
246661,227018,5,5,3,2.38
246661,256472,5,5,1,2.303
249003,260108,5,5,4,3.293
249007,260113,5,5,1,1.202
249009,260102,5,5,5,3.292
249017,260103,5,5,1,1.206
249085,145635,5,5,1,0.431
252168,74676,5,5,15,9.632
252168,90312,5,5,2,2.218
253102,150452,5,5,3,2.49
253103,120841,5,5,4,2.221
253104,253103,5,5,8,3.093
253105,90748,5,5,1,0.388
253823,84664,5,5,1,0.269
253832,126041,5,5,1,0.36
254553,244679,5,5,5,2.977
254554,227018,5,5,3,1.892
254555,113897,5,5,4,1.273
254556,113896,5,5,7,2.855
256470,55431,5,5,1,0.337
256471,256473,5,5,5,4.051
256471,256475,5,5,1,3.241
256472,256471,5,5,1,1.17
256473,256470,5,5,1,0.202
256475,256473,5,5,2,0.81
256700,55671,5,5,3,2.678
256701,90313,5,5,1,0.209
256701,170269,5,5,1,0.429
256701,170270,5,5,1,0.432
256702,256703,5,5,3,2.146
256703,90314,5,5,1,0.289
257639,120842,5,5,4,2.879
257639,172900,5,5,1,0.185
257639,175271,5,5,1,0.184
260102,249007,5,5,1,1.027
260103,249003,5,5,2,1.023
260108,163948,5,5,4,2.69
260113,58888,5,5,1,1.103
262240,253104,5,5,1,1.655
262241,262240,5,5,3,3.847
