node,layer,lat,lon,degree,geometry
22652,5,54.13208,-0.79722,28,"-0.79722, 54.13208"
53495,5,54.27556,-0.68688,2,"-0.68688, 54.27556"
53496,5,54.2756,-0.68661,2,"-0.68661, 54.2756"
55429,5,54.1357,-0.79375,2,"-0.79375, 54.1357"
55431,5,54.14191,-0.78279,2,"-0.78279, 54.14191"
55516,5,54.2026,-1.08332,2,"-1.08332, 54.2026"
55668,5,54.20593,-1.15121,2,"-1.15121, 54.20593"
55669,5,54.20309,-1.16024,2,"-1.16024, 54.20309"
55670,5,54.19636,-1.10685,5,"-1.10685, 54.19636"
55671,5,54.20593,-1.15106,2,"-1.15106, 54.20593"
55673,5,54.20341,-1.16037,2,"-1.16037, 54.20341"
58883,5,54.14084,-0.45009,2,"-0.45009, 54.14084"
58885,5,54.12451,-0.52441,2,"-0.52441, 54.12451"
58886,5,54.12443,-0.5244,2,"-0.5244, 54.12443"
58887,5,54.1241,-0.52851,2,"-0.52851, 54.1241"
58888,5,54.12418,-0.52856,2,"-0.52856, 54.12418"
58889,5,54.12792,-0.48433,2,"-0.48433, 54.12792"
58890,5,54.12458,-0.51938,2,"-0.51938, 54.12458"
58891,5,54.12448,-0.51942,2,"-0.51942, 54.12448"
62894,5,54.07255,-0.79259,2,"-0.79259, 54.07255"
62896,5,54.07256,-0.79269,2,"-0.79269, 54.07256"
65013,5,54.13963,-0.77198,2,"-0.77198, 54.13963"
65015,5,54.13387,-0.77998,2,"-0.77998, 54.13387"
65016,5,54.1375,-0.77599,2,"-0.77599, 54.1375"
65018,5,54.1323,-0.78646,2,"-0.78646, 54.1323"
65020,5,54.13271,-0.78341,3,"-0.78341, 54.13271"
65243,5,54.12876,-0.98185,2,"-0.98185, 54.12876"
65245,5,54.12763,-0.9749,2,"-0.9749, 54.12763"
66423,5,54.14321,-0.79026,3,"-0.79026, 54.14321"
66424,5,54.12703,-0.78213,2,"-0.78213, 54.12703"
74671,5,54.20349,-1.04619,5,"-1.04619, 54.20349"
74672,5,54.20357,-1.04624,5,"-1.04624, 54.20357"
74674,5,54.14715,-1.00942,4,"-1.00942, 54.14715"
74676,5,54.24085,-1.20904,2,"-1.20904, 54.24085"
74677,5,54.20935,-1.07301,2,"-1.07301, 54.20935"
74853,5,54.17011,-0.97644,2,"-0.97644, 54.17011"
74855,5,54.16993,-0.97692,4,"-0.97692, 54.16993"
74856,5,54.16412,-0.94939,3,"-0.94939, 54.16412"
