ori_node,des_node,ori_layer,des_layer,minutes,km
1065,16823,4,4,15,4.384
3522,260164,4,4,25,9.839
14170,15213,4,4,8,2.402
14170,17510,4,4,20,13.126
14170,24305,4,4,20,15.563
14170,31309,4,4,10,6.293
14170,31311,4,4,5,2.392
14170,34325,4,4,5,3.134
14170,36201,4,4,5,5.998
14170,40760,4,4,20,9.149
14170,41194,4,4,15,9.155
14170,57008,4,4,2,1.243
14170,255667,4,4,20,10.551
14170,260825,4,4,30,17.093
15213,14170,4,4,10,2.402
15213,162599,4,4,5,0.885
16823,1065,4,4,15,4.384
16823,31309,4,4,10,2.454
17510,14170,4,4,20,13.126
17510,36201,4,4,5,7.143
17510,40760,4,4,15,8.696
19898,260825,4,4,15,2.957
24305,14170,4,4,30,15.563
24305,207029,4,4,10,7.562
31309,14170,4,4,10,6.293
31309,16823,4,4,10,2.454
31311,14170,4,4,10,2.392
31311,35056,4,4,5,2.787
34325,14170,4,4,5,3.134
34325,260825,4,4,20,14.195
35056,31311,4,4,5,2.787
35056,38821,4,4,3,2.016
36201,14170,4,4,10,5.998
36201,17510,4,4,12,7.143
36644,40760,4,4,20,11.43
38821,35056,4,4,3,2.016
38821,153298,4,4,4,2.91
40760,14170,4,4,20,9.149
40760,17510,4,4,15,8.696
40760,36644,4,4,25,11.43
41194,14170,4,4,25,9.155
41194,255667,4,4,15,5.976
57008,62318,4,4,1,0.221
62318,15213,4,4,5,0.961
76548,77022,4,4,25,22.401
77022,76548,4,4,35,22.401
88398,130270,4,4,10,0.893
130270,88398,4,4,10,0.893
153298,38821,4,4,4,2.91
162599,258106,4,4,5,0.27
207029,24305,4,4,10,7.562
255667,14170,4,4,20,10.551
255667,41194,4,4,15,5.976
255667,260164,4,4,15,8.662
258106,14170,4,4,10,1.27
260164,3522,4,4,15,9.839
260164,255667,4,4,15,8.662
260825,14170,4,4,30,17.093
260825,19898,4,4,10,2.957
260825,34325,4,4,20,14.195
