node,layer,lat,lon,degree,geometry
1065,4,53.38766,-2.34709,47,"-2.34709, 53.38766"
3522,4,53.59098,-2.29711,33,"-2.29711, 53.59098"
14170,4,53.47737,-2.23091,146,"-2.23091, 53.47737"
15213,4,53.4763,-2.26722,18,"-2.26722, 53.4763"
16823,4,53.42511,-2.32605,10,"-2.32605, 53.42511"
17510,4,53.36167,-2.27179,99,"-2.27179, 53.36167"
19898,4,53.60158,-2.43259,14,"-2.43259, 53.60158"
24305,4,53.46074,-1.99706,16,"-1.99706, 53.46074"
31309,4,53.44464,-2.30865,15,"-2.30865, 53.44464"
31311,4,53.49536,-2.21096,13,"-2.21096, 53.49536"
34325,4,53.4866,-2.27575,57,"-2.27575, 53.4866"
35056,4,53.50528,-2.17218,14,"-2.17218, 53.50528"
36201,4,53.42515,-2.25421,11,"-2.25421, 53.42515"
36644,4,53.35964,-2.00852,34,"-2.00852, 53.35964"
38821,4,53.52343,-2.17102,43,"-2.17102, 53.52343"
40760,4,53.40556,-2.16301,71,"-2.16301, 53.40556"
41194,4,53.49128,-2.09431,50,"-2.09431, 53.49128"
57008,4,53.47547,-2.24946,8,"-2.24946, 53.47547"
62318,4,53.47604,-2.25267,10,"-2.25267, 53.47604"
76548,4,53.48507,-2.2385,17,"-2.2385, 53.48507"
77022,4,53.57842,-2.53947,14,"-2.53947, 53.57842"
88398,4,53.47755,-2.23825,9,"-2.23825, 53.47755"
130270,4,53.4856,-2.23855,26,"-2.23855, 53.4856"
153298,4,53.54517,-2.14637,15,"-2.14637, 53.54517"
162599,4,53.47643,-2.25382,9,"-2.25382, 53.47643"
207029,4,53.48904,-1.89296,4,"-1.89296, 53.48904"
207981,4,53.30113,-2.39975,4,"-2.39975, 53.30113"
207982,4,53.30083,-2.40337,4,"-2.40337, 53.30083"
255667,4,53.54352,-2.11616,8,"-2.11616, 53.54352"
258106,4,53.47568,-2.24993,8,"-2.24993, 53.47568"
260164,4,53.61808,-2.15489,9,"-2.15489, 53.61808"
260825,4,53.57495,-2.43126,20,"-2.43126, 53.57495"
