ori_node,des_node,ori_layer,des_layer,minutes,km
636,4294,2,2,3,2.338
636,14170,2,2,19,16.712
636,17510,2,2,7,4.9
636,19445,2,2,3,2.563
636,22304,2,2,3,2.652
636,40760,2,2,7,9.692
1065,15342,2,2,2,0.891
1065,34260,2,2,3,0.99
1234,22304,2,2,4,4.63
1873,4485,2,2,4,3.192
1873,5621,2,2,3,1.503
1873,16214,2,2,2,1.308
2178,22024,2,2,3,1.85
2178,26718,2,2,5,2.717
2588,5970,2,2,3,2.074
2588,36644,2,2,3,1.776
2967,12071,2,2,3,2.586
2967,14170,2,2,16,11.708
2967,14531,2,2,6,2.149
2967,29151,2,2,3,1.729
2967,43116,2,2,7,7.282
2967,45712,2,2,3,1.712
3122,14170,2,2,8,5.121
3122,35268,2,2,2,1.386
4294,636,2,2,2,2.338
4294,35892,2,2,4,3.671
4485,1873,2,2,5,3.192
4485,20107,2,2,4,3.759
4485,36465,2,2,2,1.644
5621,1873,2,2,3,1.503
5621,16214,2,2,6,2.101
5824,25334,2,2,3,2.689
5824,34325,2,2,16,14.225
5824,40773,2,2,2,1.169
5824,46461,2,2,5,5.553
5970,2588,2,2,3,2.074
7270,11592,2,2,4,3.21
7446,32923,2,2,4,4.652
7446,34325,2,2,10,9.157
7446,97415,2,2,2,1.062
7562,35310,2,2,5,2.935
7757,34325,2,2,2,2.135
7757,38707,2,2,1,0.598
7757,42298,2,2,6,7.375
7757,213735,2,2,5,4.485
8359,29383,2,2,4,3.407
8359,42298,2,2,3,2.073
8359,226880,2,2,2,1.09
10271,31321,2,2,3,4.103
10271,43900,2,2,4,6.37
10271,48862,2,2,3,3.011
10780,192134,2,2,3,2.468
11592,7270,2,2,4,3.21
11592,48220,2,2,5,3.659
11946,31158,2,2,3,1.568
11946,38541,2,2,11,6.076
11946,38707,2,2,10,6.24
12002,14170,2,2,11,9.375
12002,40673,2,2,3,2.632
12002,51130,2,2,2,1.921
12071,2967,2,2,3,2.586
12071,13895,2,2,5,5.245
12071,41748,2,2,4,3.24
12261,14170,2,2,18,13.216
12261,29213,2,2,2,1.657
12261,40760,2,2,7,4.126
12261,50555,2,2,7,5.69
12261,124028,2,2,4,3.22
12413,1873,2,2,11,9.885
12413,14170,2,2,12,7.749
12413,33770,2,2,3,2.371
12413,42861,2,2,3,2.15
12413,46000,2,2,5,5.344
12413,48220,2,2,6,3.544
12413,246257,2,2,3,3.523
13895,12071,2,2,4,5.245
13895,41748,2,2,3,2.186
14170,636,2,2,14,16.712
14170,2967,2,2,12,11.708
14170,3122,2,2,7,5.121
14170,12071,2,2,15,14.293
14170,12413,2,2,8,7.749
14170,17510,2,2,14,13.126
14170,26718,2,2,14,16.761
14170,29030,2,2,5,4.468
14170,29151,2,2,12,9.979
14170,31321,2,2,19,25.267
14170,34325,2,2,4,3.134
14170,38707,2,2,2,0.82
14170,40673,2,2,10,11.989
14170,40760,2,2,5,9.149
14170,42861,2,2,7,5.665
14170,46000,2,2,4,2.491
14170,46315,2,2,7,5.828
14170,48220,2,2,13,11.139
14170,51130,2,2,10,7.576
14170,63204,2,2,3,1.271
14531,2967,2,2,5,2.149
15342,1065,2,2,2,0.891
15342,40760,2,2,14,11.994
16214,1873,2,2,2,1.308
16214,5621,2,2,5,2.101
17510,636,2,2,6,4.9
17510,12002,2,2,5,4.387
17510,14170,2,2,13,13.126
17510,19445,2,2,2,2.548
17510,40673,2,2,3,2.48
17510,51130,2,2,6,6.234
17978,26718,2,2,3,2.589
17978,97415,2,2,2,1.102
18410,14170,2,2,10,6.694
18410,29030,2,2,3,2.253
18410,40760,2,2,3,2.462
19445,636,2,2,3,2.563
19445,17510,2,2,5,2.548
20107,12413,2,2,6,3.684
20107,33770,2,2,2,1.315
20107,36465,2,2,3,2.159
20107,48247,2,2,2,0.968
20285,37970,2,2,3,2.617
20285,38099,2,2,4,4.522
20814,26718,2,2,4,4.513
20814,192134,2,2,3,3.047
21500,34325,2,2,2,1.435
21500,38541,2,2,4,0.944
22024,2178,2,2,1,1.85
22024,102495,2,2,6,4.661
22304,636,2,2,3,2.652
22304,1234,2,2,4,4.63
22929,47892,2,2,3,2.935
23921,34325,2,2,7,5.141
23921,46461,2,2,5,3.924
23921,50929,2,2,2,0.96
25334,5824,2,2,3,2.689
25334,40773,2,2,3,1.521
26718,2178,2,2,5,2.717
26718,14170,2,2,16,16.761
26718,17978,2,2,3,2.589
26718,20814,2,2,4,4.513
26718,32524,2,2,7,6.773
26718,34325,2,2,10,13.877
26718,38541,2,2,17,15.453
26718,38707,2,2,14,16.454
26718,192134,2,2,6,7.516
26756,42594,2,2,2,1.645
29030,14170,2,2,6,4.468
29030,18410,2,2,3,2.253
29030,40760,2,2,5,4.715
29151,2967,2,2,3,1.729
29151,14170,2,2,16,9.979
