ori_node,des_node,ori_layer,des_layer,minutes,km
45,54,5,5,1,0.509
45,8135,5,5,1,0.212
46,5699,5,5,1,0.178
46,32462,5,5,1,0.184
47,1886,5,5,2,0.364
47,8104,5,5,1,0.149
47,8135,5,5,1,0.164
48,8138,5,5,1,0.175
48,108134,5,5,1,0.197
48,252463,5,5,1,0.238
50,1884,5,5,1,0.213
50,6126,5,5,1,0.28
51,32456,5,5,1,0.293
51,32463,5,5,1,0.284
54,45,5,5,1,0.509
54,6126,5,5,1,0.265
55,1886,5,5,1,0.252
55,254157,5,5,2,0.597
88,24734,5,5,1,0.382
88,24740,5,5,2,0.484
88,27308,5,5,1,0.167
379,10466,5,5,1,0.693
379,31402,5,5,1,0.201
476,7929,5,5,1,0.114
476,16511,5,5,1,0.198
477,478,5,5,1,0.155
477,48173,5,5,1,0.188
478,477,5,5,1,0.155
478,479,5,5,1,0.274
479,478,5,5,1,0.274
479,1885,5,5,1,0.254
489,12578,5,5,2,1.213
489,38607,5,5,1,0.283
489,46101,5,5,1,0.919
489,112184,5,5,1,0.083
490,46100,5,5,1,0.177
490,213264,5,5,1,0.162
491,496,5,5,1,0.22
491,24423,5,5,1,0.279
491,162658,5,5,1,0.371
492,2524,5,5,2,0.512
492,15274,5,5,1,0.198
492,19470,5,5,1,0.172
496,491,5,5,1,0.22
496,2524,5,5,1,0.202
799,46069,5,5,8,3.67
799,252266,5,5,2,0.846
802,38207,5,5,1,0.413
802,44331,5,5,1,0.839
802,252209,5,5,1,0.859
938,960,5,5,1,0.25
938,24507,5,5,1,0.234
960,938,5,5,1,0.25
960,14852,5,5,1,0.3
960,20004,5,5,1,0.463
960,24495,5,5,2,0.707
960,31827,5,5,1,0.178
1227,7066,5,5,1,0.24
1227,84914,5,5,1,0.264
1282,22134,5,5,1,0.269
1282,22684,5,5,1,0.47
1282,55629,5,5,1,0.274
1324,40954,5,5,1,0.401
1324,96814,5,5,1,0.133
1324,216526,5,5,1,0.281
1604,20357,5,5,1,0.236
1604,214598,5,5,1,0.19
1781,12007,5,5,1,0.167
1781,27734,5,5,1,0.413
1781,36003,5,5,1,0.149
1822,49713,5,5,1,0.354
1822,227297,5,5,1,0.106
1827,7100,5,5,1,0.154
1827,34558,5,5,1,0.192
1851,22786,5,5,1,0.152
1851,34886,5,5,10,6.452
1883,7929,5,5,1,0.32
1883,48446,5,5,1,0.25
1884,50,5,5,1,0.213
1884,16509,5,5,1,0.285
1885,479,5,5,1,0.254
1885,16511,5,5,1,0.237
1886,47,5,5,1,0.364
1886,55,5,5,1,0.252
1886,48148,5,5,1,0.319
1886,214844,5,5,1,0.466
1887,5700,5,5,1,0.295
1887,34239,5,5,1,0.298
1887,34242,5,5,1,0.467
1931,43107,5,5,5,2.777
1931,45239,5,5,1,0.525
2166,17991,5,5,1,0.221
2166,26281,5,5,1,0.264
2166,26282,5,5,1,0.572
2229,13606,5,5,1,0.436
2229,31554,5,5,1,0.22
2229,138791,5,5,1,0.551
2230,2231,5,5,1,0.332
2230,20386,5,5,1,0.22
2230,37921,5,5,1,0.189
2230,207945,5,5,1,0.304
2231,2230,5,5,1,0.332
2231,2232,5,5,1,0.2
2231,37921,5,5,1,0.222
2232,2231,5,5,1,0.2
2232,34886,5,5,1,0.217
2524,496,5,5,1,0.202
2524,3269,5,5,1,0.117
2524,13684,5,5,1,0.298
2979,9813,5,5,3,2.424
2979,46069,5,5,2,0.439
2980,7066,5,5,1,0.26
2980,14853,5,5,4,2.504
2981,2982,5,5,1,0.19
2981,19420,5,5,1,0.247
2982,2981,5,5,1,0.19
2982,13606,5,5,1,0.37
2982,84914,5,5,1,0.285
2984,13111,5,5,7,4.386
2984,14856,5,5,10,8.208
2984,26852,5,5,6,1.822
3019,31735,5,5,1,0.36
3019,50740,5,5,1,0.299
3264,6128,5,5,2,0.495
3264,32459,5,5,2,0.686
3269,2524,5,5,1,0.117
3269,46100,5,5,1,0.22
3271,11289,5,5,1,0.215
3271,13581,5,5,1,0.149
3271,16319,5,5,2,0.861
3271,32922,5,5,1,0.516
3308,34850,5,5,3,0.025
3308,43240,5,5,1,0.537
3500,3503,5,5,1,0.118
3500,4644,5,5,1,0.158
3500,35931,5,5,1,0.301
3500,62228,5,5,2,0.589
3502,3502,5,5,1,0
3502,4645,5,5,1,0.318
3502,4650,5,5,1,0.261
3502,20564,5,5,1,0.644
3503,3500,5,5,1,0.118
3503,4645,5,5,1,0.365
3503,4650,5,5,1,0.204
3503,35931,5,5,1,0.348
3504,3504,5,5,1,0
3504,3505,5,5,1,0.535
3504,35931,5,5,1,0.404
3505,3504,5,5,2,0.535
3505,4647,5,5,1,0.429
3505,89009,5,5,2,0.331
3509,10980,5,5,1,0.317
3509,37137,5,5,1,0.291
3510,10980,5,5,1,0.34
