node,layer,lat,lon,degree,geometry
45,5,53.15842,-1.15516,4,"-1.15516, 53.15842"
46,5,53.15561,-1.17922,4,"-1.17922, 53.15561"
47,5,53.15574,-1.1586,6,"-1.1586, 53.15574"
48,5,53.14536,-1.15768,6,"-1.15768, 53.14536"
50,5,53.15788,-1.1477,4,"-1.1477, 53.15788"
51,5,53.21598,-1.16254,4,"-1.16254, 53.21598"
54,5,53.15839,-1.14751,4,"-1.14751, 53.15839"
55,5,53.15271,-1.16521,4,"-1.16521, 53.15271"
88,5,53.09162,-1.32362,5,"-1.32362, 53.09162"
379,5,53.11803,-1.32744,4,"-1.32744, 53.11803"
476,5,53.17267,-1.17686,4,"-1.17686, 53.17267"
477,5,53.1669,-1.17377,4,"-1.17377, 53.1669"
478,5,53.16573,-1.17249,4,"-1.17249, 53.16573"
479,5,53.16805,-1.17106,4,"-1.17106, 53.16805"
489,5,53.2089,-1.2289,8,"-1.2289, 53.2089"
490,5,53.21282,-1.22217,4,"-1.22217, 53.21282"
491,5,53.21227,-1.21367,5,"-1.21367, 53.21227"
492,5,53.21024,-1.21922,5,"-1.21922, 53.21024"
496,5,53.21337,-1.21643,5,"-1.21643, 53.21337"
799,5,53.14651,-0.93837,4,"-0.93837, 53.14651"
802,5,53.20016,-1.02911,5,"-1.02911, 53.20016"
938,5,53.20481,-0.99568,4,"-0.99568, 53.20481"
960,5,53.20441,-0.99939,9,"-0.99939, 53.20441"
1227,5,53.18523,-1.0586,4,"-1.0586, 53.18523"
1282,5,53.07653,-1.36254,6,"-1.36254, 53.07653"
1324,5,53.12639,-1.1611,6,"-1.1611, 53.12639"
1604,5,53.1171,-1.10764,4,"-1.10764, 53.1171"
1781,5,53.08344,-1.16453,6,"-1.16453, 53.08344"
1822,5,53.11733,-1.25986,4,"-1.25986, 53.11733"
1827,5,53.13399,-1.26442,4,"-1.26442, 53.13399"
1851,5,53.05825,-1.05981,6,"-1.05981, 53.05825"
1883,5,53.17649,-1.17595,4,"-1.17595, 53.17649"
1884,5,53.15695,-1.1505,4,"-1.1505, 53.15695"
1885,5,53.17021,-1.17233,4,"-1.17233, 53.17021"
1886,5,53.15293,-1.16143,8,"-1.16143, 53.15293"
1887,5,53.13721,-1.2165,6,"-1.2165, 53.13721"
1931,5,53.23448,-1.2025,4,"-1.2025, 53.23448"
2166,5,53.12995,-1.26815,7,"-1.26815, 53.12995"
2229,5,53.19678,-1.06477,7,"-1.06477, 53.19678"
2230,5,53.07637,-0.95692,8,"-0.95692, 53.07637"
2231,5,53.07498,-0.96134,7,"-0.96134, 53.07498"
2232,5,53.07524,-0.96431,4,"-0.96431, 53.07524"
2524,5,53.21482,-1.21829,7,"-1.21829, 53.21482"
2979,5,53.15368,-0.99747,5,"-0.99747, 53.15368"
2980,5,53.18216,-1.0584,4,"-1.0584, 53.18216"
2981,5,53.18927,-1.05947,4,"-1.05947, 53.18927"
2982,5,53.18967,-1.06225,7,"-1.06225, 53.18967"
2984,5,53.10587,-0.8386,8,"-0.8386, 53.10587"
3019,5,53.12655,-1.34401,4,"-1.34401, 53.12655"
3264,5,53.21861,-1.1358,5,"-1.1358, 53.21861"
3269,5,53.21423,-1.21975,4,"-1.21975, 53.21423"
3271,5,53.19908,-1.14745,7,"-1.14745, 53.19908"
3308,5,53.09259,-1.39338,8,"-1.39338, 53.09259"
3500,5,53.14353,-1.2711,8,"-1.2711, 53.14353"
3502,5,53.14168,-1.27874,8,"-1.27874, 53.14168"
3503,5,53.14259,-1.27194,8,"-1.27194, 53.14259"
3504,5,53.14381,-1.26087,7,"-1.26087, 53.14381"
3505,5,53.14127,-1.25404,5,"-1.25404, 53.14127"
3509,5,53.12902,-1.25568,4,"-1.25568, 53.12902"
3510,5,53.13045,-1.25777,8,"-1.25777, 53.13045"
3989,5,53.12467,-1.25945,4,"-1.25945, 53.12467"
3990,5,53.07467,-1.31722,8,"-1.31722, 53.07467"
3991,5,53.12392,-1.26921,4,"-1.26921, 53.12392"
3993,5,53.07908,-1.312,4,"-1.312, 53.07908"
3996,5,53.1154,-1.28655,4,"-1.28655, 53.1154"
4302,5,53.09372,-1.29821,4,"-1.29821, 53.09372"
4334,5,53.09743,-1.23605,4,"-1.23605, 53.09743"
