node,layer,lat,lon,degree,geometry
674,5,51.3908,1.40116,12,"1.40116, 51.3908"
7386,5,51.36133,1.4221,10,"1.4221, 51.36133"
10022,5,51.38127,1.41384,20,"1.41384, 51.38127"
11089,5,51.22305,1.39886,33,"1.39886, 51.22305"
12278,5,51.3775,1.30142,18,"1.30142, 51.3775"
12598,5,51.32918,1.31723,17,"1.31723, 51.32918"
12853,5,51.20332,1.38289,34,"1.38289, 51.20332"
14444,5,51.26991,1.34258,21,"1.34258, 51.26991"
14615,5,51.38704,1.37758,35,"1.37758, 51.38704"
16018,5,51.34103,1.40606,19,"1.40606, 51.34103"
16425,5,51.34626,1.35808,15,"1.35808, 51.34626"
17849,5,51.38595,1.40878,16,"1.40878, 51.38595"
18806,5,51.38145,1.33838,31,"1.33838, 51.38145"
22406,5,51.32925,1.36595,6,"1.36595, 51.32925"
22487,5,51.37389,1.3074,16,"1.3074, 51.37389"
26622,5,51.32723,1.41412,11,"1.41412, 51.32723"
29210,5,51.1993,1.26422,7,"1.26422, 51.1993"
44086,5,51.36068,1.43358,38,"1.43358, 51.36068"
45650,5,51.34571,1.42584,30,"1.42584, 51.34571"
47465,5,51.33775,1.42312,19,"1.42312, 51.33775"
48195,5,51.33217,1.42036,13,"1.42036, 51.33217"
50550,5,51.36747,1.42357,14,"1.42357, 51.36747"
51565,5,51.20758,1.38779,2,"1.38779, 51.20758"
52161,5,51.35018,1.40063,6,"1.40063, 51.35018"
52606,5,51.38399,1.36277,2,"1.36277, 51.38399"
52767,5,51.18305,1.37396,2,"1.37396, 51.18305"
52828,5,51.33494,1.39287,3,"1.39287, 51.33494"
53338,5,51.36923,1.30024,3,"1.30024, 51.36923"
54246,5,51.37643,1.40262,2,"1.40262, 51.37643"
54744,5,51.37797,1.28901,2,"1.28901, 51.37797"
54883,5,51.35773,1.40879,3,"1.40879, 51.35773"
54884,5,51.34984,1.25625,4,"1.25625, 51.34984"
54885,5,51.3496,1.25624,2,"1.25624, 51.3496"
54886,5,51.35326,1.25434,2,"1.25434, 51.35326"
55269,5,51.20963,1.39344,3,"1.39344, 51.20963"
55609,5,51.25759,1.3369,4,"1.3369, 51.25759"
56011,5,51.34517,1.395,2,"1.395, 51.34517"
56314,5,51.36563,1.41866,5,"1.41866, 51.36563"
56346,5,51.34392,1.43085,3,"1.43085, 51.34392"
56550,5,51.38027,1.38961,3,"1.38961, 51.38027"
56671,5,51.20943,1.38123,3,"1.38123, 51.20943"
56860,5,51.21411,1.35875,5,"1.35875, 51.21411"
57335,5,51.33797,1.28494,2,"1.28494, 51.33797"
58039,5,51.22732,1.30266,2,"1.30266, 51.22732"
58080,5,51.38728,1.38453,2,"1.38453, 51.38728"
58366,5,51.3919,1.39115,2,"1.39115, 51.3919"
58369,5,51.35147,1.43913,2,"1.43913, 51.35147"
58718,5,51.20207,1.26139,4,"1.26139, 51.20207"
58867,5,51.35848,1.43922,4,"1.43922, 51.35848"
58871,5,51.38126,1.39841,2,"1.39841, 51.38126"
59442,5,51.20795,1.38234,2,"1.38234, 51.20795"
60158,5,51.35337,1.40127,4,"1.40127, 51.35337"
60226,5,51.26369,1.33681,3,"1.33681, 51.26369"
60227,5,51.26388,1.33686,8,"1.33686, 51.26388"
60348,5,51.33833,1.42694,3,"1.42694, 51.33833"
60877,5,51.33578,1.39013,3,"1.39013, 51.33578"
61082,5,51.23517,1.40133,2,"1.40133, 51.23517"
61153,5,51.26913,1.33658,2,"1.33658, 51.26913"
61203,5,51.2202,1.33922,3,"1.33922, 51.2202"
61422,5,51.21154,1.29976,3,"1.29976, 51.21154"
62210,5,51.3664,1.30775,2,"1.30775, 51.3664"
62357,5,51.3787,1.40056,3,"1.40056, 51.3787"
63254,5,51.21891,1.38419,2,"1.38419, 51.21891"
63536,5,51.26122,1.33104,6,"1.33104, 51.26122"
63974,5,51.34627,1.39179,4,"1.39179, 51.34627"
64323,5,51.33202,1.41489,3,"1.41489, 51.33202"
64498,5,51.38024,1.34368,3,"1.34368, 51.38024"
64500,5,51.38307,1.34183,3,"1.34183, 51.38307"
64502,5,51.36013,1.40641,9,"1.40641, 51.36013"
65358,5,51.33438,1.31449,3,"1.31449, 51.33438"
65402,5,51.3711,1.30185,2,"1.30185, 51.3711"
66151,5,51.24885,1.30959,2,"1.30959, 51.24885"
66385,5,51.37436,1.41785,2,"1.41785, 51.37436"
66524,5,51.37772,1.29237,2,"1.29237, 51.37772"
66808,5,51.19858,1.31562,4,"1.31562, 51.19858"
66856,5,51.38295,1.40604,2,"1.40604, 51.38295"
67356,5,51.21318,1.37482,2,"1.37482, 51.21318"
67647,5,51.3408,1.40116,3,"1.40116, 51.3408"
67721,5,51.22866,1.3029,2,"1.3029, 51.22866"
68034,5,51.20916,1.38979,2,"1.38979, 51.20916"
68105,5,51.35765,1.40643,2,"1.40643, 51.35765"
68673,5,51.36053,1.41939,3,"1.41939, 51.36053"
69016,5,51.27015,1.33268,3,"1.33268, 51.27015"
69045,5,51.33087,1.41067,4,"1.41067, 51.33087"
69152,5,51.36826,1.2987,2,"1.2987, 51.36826"
70183,5,51.38055,1.4027,2,"1.4027, 51.38055"
71253,5,51.22026,1.38761,2,"1.38761, 51.22026"
71557,5,51.26139,1.33131,6,"1.33131, 51.26139"
71943,5,51.34353,1.43056,2,"1.43056, 51.34353"
72277,5,51.33235,1.41888,6,"1.41888, 51.33235"
72321,5,51.37656,1.31425,3,"1.31425, 51.37656"
72527,5,51.21119,1.38383,2,"1.38383, 51.21119"
73067,5,51.19444,1.38351,2,"1.38351, 51.19444"
73205,5,51.33476,1.31027,3,"1.31027, 51.33476"
74081,5,51.38434,1.42671,2,"1.42671, 51.38434"
74082,5,51.38308,1.42521,2,"1.42521, 51.38308"
74091,5,51.37054,1.42592,3,"1.42592, 51.37054"
74207,5,51.37461,1.41795,3,"1.41795, 51.37461"
74603,5,51.19214,1.30567,7,"1.30567, 51.19214"
75162,5,51.21671,1.36895,3,"1.36895, 51.21671"
75489,5,51.33791,1.40409,6,"1.40409, 51.33791"
75533,5,51.34592,1.39262,4,"1.39262, 51.34592"
75537,5,51.34231,1.39979,3,"1.39979, 51.34231"
75835,5,51.34123,1.41193,3,"1.41193, 51.34123"
75836,5,51.38699,1.41945,3,"1.41945, 51.38699"
75837,5,51.34508,1.39877,4,"1.39877, 51.34508"
75838,5,51.3308,1.41097,3,"1.41097, 51.3308"
75839,5,51.3506,1.40405,4,"1.40405, 51.3506"
75998,5,51.35752,1.40885,3,"1.40885, 51.35752"
76681,5,51.18584,1.3968,5,"1.3968, 51.18584"
76955,5,51.27763,1.33811,2,"1.33811, 51.27763"
77136,5,51.37055,1.30186,4,"1.30186, 51.37055"
77695,5,51.34236,1.39991,3,"1.39991, 51.34236"
78789,5,51.36149,1.41273,4,"1.41273, 51.36149"
79754,5,51.38514,1.42319,3,"1.42319, 51.38514"
79973,5,51.27158,1.2965,2,"1.2965, 51.27158"
79982,5,51.26925,1.30158,3,"1.30158, 51.26925"
79983,5,51.27139,1.2963,2,"1.2963, 51.27139"
80785,5,51.21349,1.38703,2,"1.38703, 51.21349"
81469,5,51.33213,1.40662,2,"1.40662, 51.33213"
81990,5,51.38307,1.35877,3,"1.35877, 51.38307"
82798,5,51.19441,1.38386,2,"1.38386, 51.19441"
82799,5,51.20132,1.38514,2,"1.38514, 51.20132"
82800,5,51.20019,1.38836,4,"1.38836, 51.20019"
82801,5,51.1969,1.38563,2,"1.38563, 51.1969"
82856,5,51.38212,1.41027,2,"1.41027, 51.38212"
83308,5,51.21545,1.3655,3,"1.3655, 51.21545"
83452,5,51.36156,1.41839,10,"1.41839, 51.36156"
83652,5,51.33765,1.40315,12,"1.40315, 51.33765"
83675,5,51.38897,1.42502,5,"1.42502, 51.38897"
83799,5,51.26263,1.30697,2,"1.30697, 51.26263"
84062,5,51.35806,1.41156,2,"1.41156, 51.35806"
84717,5,51.2038,1.40014,2,"1.40014, 51.2038"
84901,5,51.23506,1.40151,2,"1.40151, 51.23506"
85119,5,51.37031,1.30941,5,"1.30941, 51.37031"
85123,5,51.33007,1.39976,2,"1.39976, 51.33007"
85162,5,51.39071,1.41339,1,"1.41339, 51.39071"
85401,5,51.18609,1.28699,2,"1.28699, 51.18609"
85491,5,51.33487,1.42331,2,"1.42331, 51.33487"
85492,5,51.3359,1.42196,2,"1.42196, 51.3359"
85495,5,51.33474,1.42318,4,"1.42318, 51.33474"
85636,5,51.34659,1.39863,4,"1.39863, 51.34659"
85648,5,51.35162,1.42767,2,"1.42767, 51.35162"
85675,5,51.37764,1.31759,2,"1.31759, 51.37764"
86072,5,51.36983,1.40581,3,"1.40581, 51.36983"
86228,5,51.21039,1.37875,2,"1.37875, 51.21039"
86547,5,51.35098,1.25858,4,"1.25858, 51.35098"
86706,5,51.38752,1.39833,2,"1.39833, 51.38752"
86747,5,51.36107,1.41124,4,"1.41124, 51.36107"
87722,5,51.38481,1.42285,2,"1.42285, 51.38481"
88070,5,51.34522,1.39857,4,"1.39857, 51.34522"
88856,5,51.34446,1.39841,4,"1.39841, 51.34446"
89505,5,51.33626,1.40498,3,"1.40498, 51.33626"
89736,5,51.36808,1.43163,5,"1.43163, 51.36808"
90024,5,51.38097,1.39315,2,"1.39315, 51.38097"
90739,5,51.23001,1.3437,2,"1.3437, 51.23001"
90741,5,51.22928,1.32994,3,"1.32994, 51.22928"
90743,5,51.22906,1.34428,2,"1.34428, 51.22906"
90897,5,51.26905,1.30145,2,"1.30145, 51.26905"
90965,5,51.38217,1.40966,2,"1.40966, 51.38217"
91491,5,51.37597,1.41084,2,"1.41084, 51.37597"
91696,5,51.34738,1.42285,3,"1.42285, 51.34738"
91847,5,51.25493,1.33929,2,"1.33929, 51.25493"
92113,5,51.35777,1.41453,2,"1.41453, 51.35777"
92432,5,51.21548,1.3904,2,"1.3904, 51.21548"
92433,5,51.21734,1.39293,2,"1.39293, 51.21734"
92434,5,51.21877,1.39482,2,"1.39482, 51.21877"
92437,5,51.20515,1.38585,3,"1.38585, 51.20515"
