ori_node,des_node,ori_layer,des_layer,minutes,km
11089,12853,2,2,3,2.456
11089,14444,2,2,5,6.509
12278,14615,2,2,5,5.382
12278,18806,2,2,4,2.598
12598,14444,2,2,7,6.811
12598,16018,2,2,5,6.3
12853,11089,2,2,3,2.456
14444,11089,2,2,6,6.509
14444,12598,2,2,7,6.811
14444,16018,2,2,10,9.042
14615,12278,2,2,5,5.382
14615,18806,2,2,3,2.786
14615,44086,2,2,5,4.861
16018,12598,2,2,6,6.3
16018,14444,2,2,11,9.042
16018,44086,2,2,5,2.898
16018,45650,2,2,3,1.466
18806,12278,2,2,3,2.598
18806,14615,2,2,3,2.786
44086,14615,2,2,4,4.861
44086,16018,2,2,5,2.898
44086,45650,2,2,3,1.746
45650,16018,2,2,3,1.466
45650,44086,2,2,3,1.746
