node,layer,lat,lon,degree,geometry
1945,5,51.16572,0.62749,19,"0.62749, 51.16572"
2878,5,51.29322,0.30626,19,"0.30626, 51.29322"
2907,5,51.37267,0.5596,11,"0.5596, 51.37267"
5198,5,51.3663,0.61135,24,"0.61135, 51.3663"
6468,5,51.24483,0.67241,12,"0.67241, 51.24483"
6721,5,51.30696,0.42195,9,"0.42195, 51.30696"
7186,5,51.27582,0.57759,18,"0.57759, 51.27582"
8758,5,51.30132,0.46618,12,"0.46618, 51.30132"
9868,5,51.38924,0.74715,17,"0.74715, 51.38924"
10775,5,51.38289,0.52454,42,"0.52454, 51.38289"
12707,5,51.38555,0.51029,31,"0.51029, 51.38555"
15388,5,51.22648,0.41217,12,"0.41217, 51.22648"
16447,5,51.17517,0.49317,20,"0.49317, 51.17517"
17982,5,51.37393,0.46171,24,"0.46171, 51.37393"
18457,5,51.33684,0.4456,6,"0.4456, 51.33684"
19615,5,51.38672,0.55051,25,"0.55051, 51.38672"
20765,5,51.29191,0.48373,4,"0.48373, 51.29191"
21863,5,51.39655,0.50019,27,"0.50019, 51.39655"
22830,5,51.27783,0.5213,68,"0.5213, 51.27783"
24232,5,51.42113,0.7855,6,"0.7855, 51.42113"
25343,5,51.44106,0.75855,17,"0.75855, 51.44106"
28538,5,51.36244,0.73537,21,"0.73537, 51.36244"
29050,5,51.27525,0.49807,7,"0.49807, 51.27525"
30354,5,51.17147,0.55045,15,"0.55045, 51.17147"
33146,5,51.2492,0.42003,15,"0.42003, 51.2492"
33950,5,51.27046,0.51578,29,"0.51578, 51.27046"
34110,5,51.27254,0.52668,18,"0.52668, 51.27254"
34270,5,51.35248,0.44494,22,"0.44494, 51.35248"
38041,5,51.41564,0.74968,19,"0.74968, 51.41564"
38372,5,51.36464,0.60217,13,"0.60217, 51.36464"
39621,5,51.29841,0.41974,15,"0.41974, 51.29841"
39639,5,51.26392,0.63249,12,"0.63249, 51.26392"
40529,5,51.28489,0.47896,13,"0.47896, 51.28489"
40827,5,51.25523,0.48473,12,"0.48473, 51.25523"
41501,5,51.35334,0.66858,18,"0.66858, 51.35334"
42652,5,51.29202,0.41866,19,"0.41866, 51.29202"
43692,5,51.28581,0.43928,12,"0.43928, 51.28581"
45435,5,51.36778,0.58535,11,"0.58535, 51.36778"
45436,5,51.40253,0.47901,12,"0.47901, 51.40253"
45643,5,51.33339,0.80744,19,"0.80744, 51.33339"
47920,5,51.37355,0.55337,9,"0.55337, 51.37355"
50506,5,51.34197,0.7347,46,"0.7347, 51.34197"
51572,5,51.31748,0.47851,2,"0.47851, 51.31748"
51734,5,51.27906,0.55201,4,"0.55201, 51.27906"
51850,5,51.25493,0.42532,3,"0.42532, 51.25493"
52101,5,51.3558,0.64754,4,"0.64754, 51.3558"
52103,5,51.39269,0.54965,2,"0.54965, 51.39269"
52117,5,51.41168,0.50893,6,"0.50893, 51.41168"
52138,5,51.26036,0.50819,5,"0.50819, 51.26036"
52140,5,51.29972,0.42393,5,"0.42393, 51.29972"
52273,5,51.29178,0.32129,2,"0.32129, 51.29178"
52274,5,51.29279,0.32535,2,"0.32535, 51.29279"
52294,5,51.29967,0.30964,5,"0.30964, 51.29967"
52296,5,51.25797,0.54904,4,"0.54904, 51.25797"
52432,5,51.38344,0.52367,5,"0.52367, 51.38344"
52458,5,51.30034,0.49991,2,"0.49991, 51.30034"
52462,5,51.3456,0.56997,3,"0.56997, 51.3456"
52463,5,51.34755,0.57008,2,"0.57008, 51.34755"
52464,5,51.35837,0.54334,3,"0.54334, 51.35837"
52465,5,51.34562,0.56987,3,"0.56987, 51.34562"
52466,5,51.3522,0.57087,3,"0.57087, 51.3522"
52467,5,51.35313,0.57225,3,"0.57225, 51.35313"
52468,5,51.34791,0.57045,2,"0.57045, 51.34791"
52469,5,51.3519,0.57091,3,"0.57091, 51.3519"
52470,5,51.35959,0.54365,2,"0.54365, 51.35959"
52795,5,51.16396,0.55271,3,"0.55271, 51.16396"
53110,5,51.32564,0.69339,2,"0.69339, 51.32564"
53172,5,51.33563,0.74431,5,"0.74431, 51.33563"
53203,5,51.3312,0.3551,3,"0.3551, 51.3312"
53218,5,51.34989,0.56888,2,"0.56888, 51.34989"
53262,5,51.2886,0.51251,2,"0.51251, 51.2886"
53273,5,51.26441,0.51154,2,"0.51154, 51.26441"
53465,5,51.29967,0.44913,2,"0.44913, 51.29967"
53560,5,51.4313,0.75548,5,"0.75548, 51.4313"
53695,5,51.33893,0.74035,6,"0.74035, 51.33893"
53933,5,51.3392,0.75275,2,"0.75275, 51.3392"
