node,layer,lat,lon,degree,geometry
1945,2,51.16572,0.62749,19,"0.62749, 51.16572"
2878,2,51.29322,0.30626,19,"0.30626, 51.29322"
5198,2,51.3663,0.61135,24,"0.61135, 51.3663"
6468,2,51.24483,0.67241,12,"0.67241, 51.24483"
7186,2,51.27582,0.57759,18,"0.57759, 51.27582"
8758,2,51.30132,0.46618,12,"0.46618, 51.30132"
9868,2,51.38924,0.74715,17,"0.74715, 51.38924"
10775,2,51.38289,0.52454,42,"0.52454, 51.38289"
12707,2,51.38555,0.51029,31,"0.51029, 51.38555"
15388,2,51.22648,0.41217,12,"0.41217, 51.22648"
16447,2,51.17517,0.49317,20,"0.49317, 51.17517"
17982,2,51.37393,0.46171,24,"0.46171, 51.37393"
19615,2,51.38672,0.55051,25,"0.55051, 51.38672"
21863,2,51.39655,0.50019,27,"0.50019, 51.39655"
22830,2,51.27783,0.5213,68,"0.5213, 51.27783"
25343,2,51.44106,0.75855,17,"0.75855, 51.44106"
28538,2,51.36244,0.73537,21,"0.73537, 51.36244"
30354,2,51.17147,0.55045,15,"0.55045, 51.17147"
33146,2,51.2492,0.42003,15,"0.42003, 51.2492"
33950,2,51.27046,0.51578,29,"0.51578, 51.27046"
34270,2,51.35248,0.44494,22,"0.44494, 51.35248"
38041,2,51.41564,0.74968,19,"0.74968, 51.41564"
39639,2,51.26392,0.63249,12,"0.63249, 51.26392"
40529,2,51.28489,0.47896,13,"0.47896, 51.28489"
40827,2,51.25523,0.48473,12,"0.48473, 51.25523"
41501,2,51.35334,0.66858,18,"0.66858, 51.35334"
42652,2,51.29202,0.41866,19,"0.41866, 51.29202"
43692,2,51.28581,0.43928,12,"0.43928, 51.28581"
45643,2,51.33339,0.80744,19,"0.80744, 51.33339"
50506,2,51.34197,0.7347,46,"0.7347, 51.34197"
55591,2,51.33023,0.44825,4,"0.44825, 51.33023"
83244,2,51.313,0.45493,4,"0.45493, 51.313"
94040,2,51.2047,0.4035,4,"0.4035, 51.2047"
130192,2,51.23448,0.70777,4,"0.70777, 51.23448"
