node,layer,lat,lon,degree,geometry
6789,5,51.66072,-3.32281,13,"-3.32281, 51.66072"
7485,5,51.68133,-3.37636,20,"-3.37636, 51.68133"
9228,5,51.70193,-3.41374,13,"-3.41374, 51.70193"
9780,5,51.64471,-3.327,25,"-3.327, 51.64471"
15737,5,51.75884,-3.28931,8,"-3.28931, 51.75884"
19056,5,51.68649,-3.3959,16,"-3.3959, 51.68649"
20190,5,51.81669,-3.00966,19,"-3.00966, 51.81669"
20497,5,51.71242,-3.34676,19,"-3.34676, 51.71242"
21051,5,51.72501,-3.36233,27,"-3.36233, 51.72501"
23685,5,51.68664,-3.33659,16,"-3.33659, 51.68664"
31417,5,51.75714,-3.19611,14,"-3.19611, 51.75714"
34211,5,51.74459,-3.37729,43,"-3.37729, 51.74459"
37639,5,51.71506,-3.4431,26,"-3.4431, 51.71506"
40263,5,51.74663,-3.27897,18,"-3.27897, 51.74663"
45802,5,51.7003,-3.13521,12,"-3.13521, 51.7003"
50971,5,51.66992,-3.35996,12,"-3.35996, 51.66992"
52085,5,51.7312,-3.48167,2,"-3.48167, 51.7312"
52433,5,51.73109,-3.47761,2,"-3.47761, 51.73109"
52864,5,51.72089,-3.35425,2,"-3.35425, 51.72089"
52865,5,51.74174,-3.37631,6,"-3.37631, 51.74174"
53154,5,51.85469,-3.12999,2,"-3.12999, 51.85469"
53747,5,51.64971,-3.33174,3,"-3.33174, 51.64971"
53748,5,51.64794,-3.32984,2,"-3.32984, 51.64794"
53749,5,51.6476,-3.3296,2,"-3.3296, 51.6476"
53750,5,51.65582,-3.34187,3,"-3.34187, 51.65582"
53751,5,51.65333,-3.33682,3,"-3.33682, 51.65333"
53752,5,51.65333,-3.33658,3,"-3.33658, 51.65333"
53753,5,51.64985,-3.33181,3,"-3.33181, 51.64985"
53754,5,51.65712,-3.34162,3,"-3.34162, 51.65712"
53755,5,51.65607,-3.3425,3,"-3.3425, 51.65607"
54133,5,51.77442,-2.92416,2,"-2.92416, 51.77442"
54134,5,51.77453,-2.92464,2,"-2.92464, 51.77453"
54137,5,51.77454,-2.90751,2,"-2.90751, 51.77454"
54138,5,51.77442,-2.90796,2,"-2.90796, 51.77442"
54139,5,51.78517,-2.89343,2,"-2.89343, 51.78517"
54140,5,51.78511,-2.89315,3,"-2.89315, 51.78511"
54141,5,51.7748,-2.88656,3,"-2.88656, 51.7748"
54142,5,51.77485,-2.88628,4,"-2.88628, 51.77485"
54226,5,51.66794,-3.30704,2,"-3.30704, 51.66794"
54227,5,51.66791,-3.30694,2,"-3.30694, 51.66791"
54228,5,51.7193,-3.3522,2,"-3.3522, 51.7193"
54515,5,51.7033,-3.13757,2,"-3.13757, 51.7033"
54516,5,51.73675,-3.13307,3,"-3.13307, 51.73675"
55434,5,51.71791,-3.46929,2,"-3.46929, 51.71791"
55435,5,51.71784,-3.46932,2,"-3.46932, 51.71784"
55436,5,51.71841,-3.46737,2,"-3.46737, 51.71841"
55437,5,51.71835,-3.46731,2,"-3.46731, 51.71835"
55438,5,51.7176,-3.46364,2,"-3.46364, 51.7176"
55440,5,51.71619,-3.46246,2,"-3.46246, 51.71619"
55441,5,51.71598,-3.4627,2,"-3.4627, 51.71598"
55442,5,51.71493,-3.45951,2,"-3.45951, 51.71493"
55443,5,51.71487,-3.45952,2,"-3.45952, 51.71487"
55845,5,51.83647,-3.00736,2,"-3.00736, 51.83647"
55864,5,51.76286,-3.36914,2,"-3.36914, 51.76286"
57188,5,51.71461,-3.44977,4,"-3.44977, 51.71461"
57838,5,51.78766,-3.2072,3,"-3.2072, 51.78766"
57839,5,51.78796,-3.20692,3,"-3.20692, 51.78796"
57840,5,51.78599,-3.20775,3,"-3.20775, 51.78599"
57842,5,51.78604,-3.20755,5,"-3.20755, 51.78604"
57908,5,51.75429,-3.39135,5,"-3.39135, 51.75429"
58461,5,51.76455,-3.38635,4,"-3.38635, 51.76455"
58464,5,51.76627,-3.38792,3,"-3.38792, 51.76627"
58484,5,51.76184,-3.389,3,"-3.389, 51.76184"
58580,5,51.75054,-3.27802,4,"-3.27802, 51.75054"
59298,5,51.649,-3.32376,3,"-3.32376, 51.649"
59630,5,51.70968,-3.34844,3,"-3.34844, 51.70968"
59633,5,51.71675,-3.34823,3,"-3.34823, 51.71675"
59634,5,51.71673,-3.34806,2,"-3.34806, 51.71673"
59635,5,51.72075,-3.35419,4,"-3.35419, 51.72075"
59636,5,51.71955,-3.35218,3,"-3.35218, 51.71955"
59637,5,51.71478,-3.34655,2,"-3.34655, 51.71478"
59639,5,51.71474,-3.34638,2,"-3.34638, 51.71474"
59916,5,51.76859,-3.28928,2,"-3.28928, 51.76859"
59926,5,51.80409,-3.1679,2,"-3.1679, 51.80409"
59927,5,51.7976,-3.20284,2,"-3.20284, 51.7976"
59956,5,51.66479,-3.30734,5,"-3.30734, 51.66479"
59957,5,51.66485,-3.30727,2,"-3.30727, 51.66485"
59993,5,51.75542,-3.44256,3,"-3.44256, 51.75542"
60708,5,51.7464,-3.37971,10,"-3.37971, 51.7464"
60710,5,51.74619,-3.38011,1,"-3.38011, 51.74619"
61688,5,51.80388,-3.1552,3,"-3.1552, 51.80388"
61689,5,51.80385,-3.15471,4,"-3.15471, 51.80385"
62097,5,51.77687,-3.29513,2,"-3.29513, 51.77687"
62369,5,51.66255,-3.31992,2,"-3.31992, 51.66255"
62374,5,51.68283,-3.33556,2,"-3.33556, 51.68283"
63415,5,51.65608,-3.3394,3,"-3.3394, 51.65608"
63416,5,51.65841,-3.34526,4,"-3.34526, 51.65841"
63417,5,51.6589,-3.3454,4,"-3.3454, 51.6589"
63418,5,51.65966,-3.34798,3,"-3.34798, 51.65966"
63419,5,51.66014,-3.3497,2,"-3.3497, 51.66014"
63420,5,51.66072,-3.35251,2,"-3.35251, 51.66072"
63421,5,51.6607,-3.34798,3,"-3.34798, 51.6607"
63422,5,51.66146,-3.35106,3,"-3.35106, 51.66146"
63423,5,51.66142,-3.35176,4,"-3.35176, 51.66142"
63424,5,51.662,-3.35686,2,"-3.35686, 51.662"
63578,5,51.64952,-3.32419,3,"-3.32419, 51.64952"
63783,5,51.80479,-3.00405,3,"-3.00405, 51.80479"
63784,5,51.90123,-2.97167,2,"-2.97167, 51.90123"
63785,5,51.80483,-3.00399,2,"-3.00399, 51.80483"
63788,5,51.78602,-2.97226,2,"-2.97226, 51.78602"
63789,5,51.78637,-2.96555,2,"-2.96555, 51.78637"
63859,5,51.6647,-3.29522,5,"-3.29522, 51.6647"
63860,5,51.66476,-3.29536,3,"-3.29536, 51.66476"
65021,5,51.71654,-3.45693,2,"-3.45693, 51.71654"
65022,5,51.71656,-3.4571,2,"-3.4571, 51.71656"
65024,5,51.71475,-3.44989,4,"-3.44989, 51.71475"
65025,5,51.71736,-3.45352,2,"-3.45352, 51.71736"
65027,5,51.71298,-3.44769,5,"-3.44769, 51.71298"
65028,5,51.71353,-3.44702,6,"-3.44702, 51.71353"
65029,5,51.7158,-3.44813,4,"-3.44813, 51.7158"
65030,5,51.71725,-3.44857,5,"-3.44857, 51.71725"
65129,5,51.76236,-3.37599,4,"-3.37599, 51.76236"
65156,5,51.87677,-3.10656,1,"-3.10656, 51.87677"
65530,5,51.77575,-3.08573,5,"-3.08573, 51.77575"
65531,5,51.77436,-3.0897,6,"-3.0897, 51.77436"
65917,5,51.76622,-3.36954,3,"-3.36954, 51.76622"
65918,5,51.76552,-3.36787,2,"-3.36787, 51.76552"
65925,5,51.76493,-3.36968,2,"-3.36968, 51.76493"
65926,5,51.76493,-3.36961,2,"-3.36961, 51.76493"
66061,5,51.79705,-3.07843,2,"-3.07843, 51.79705"
66133,5,51.81036,-3.03362,2,"-3.03362, 51.81036"
66134,5,51.81042,-3.03355,2,"-3.03355, 51.81042"
66510,5,51.80894,-3.44298,2,"-3.44298, 51.80894"
66521,5,51.80905,-3.44311,2,"-3.44311, 51.80905"
67248,5,51.78943,-3.37096,2,"-3.37096, 51.78943"
67250,5,51.78615,-3.38037,2,"-3.38037, 51.78615"
67260,5,51.79334,-3.36799,2,"-3.36799, 51.79334"
67353,5,51.69729,-3.39442,2,"-3.39442, 51.69729"
