ori_node,des_node,ori_layer,des_layer,minutes,km
6789,9780,2,2,3,1.8
6789,23685,2,2,5,3.03
7485,19056,2,2,2,1.461
7485,50971,2,2,3,1.696
9228,19056,2,2,4,2.108
9228,37639,2,2,8,2.491
9780,6789,2,2,4,1.8
9780,50971,2,2,4,3.603
15737,40263,2,2,3,1.53
19056,7485,2,2,3,1.461
19056,9228,2,2,3,2.108
20497,21051,2,2,3,1.76
20497,23685,2,2,3,2.946
21051,20497,2,2,2,1.76
21051,34211,2,2,8,2.404
23685,6789,2,2,5,3.03
23685,20497,2,2,3,2.946
31417,45802,2,2,8,7.573
34211,21051,2,2,3,2.404
37639,9228,2,2,3,2.491
40263,15737,2,2,3,1.53
45802,31417,2,2,9,7.573
50971,7485,2,2,3,1.696
50971,9780,2,2,5,3.603
