ori_node,des_node,ori_layer,des_layer,minutes,km
206,207,5,5,1,0.281
206,1284,5,5,1,0.21
207,206,5,5,1,0.281
207,9104,5,5,1,0.175
208,9104,5,5,1,0.196
208,44031,5,5,1,0.218
209,5838,5,5,1,0.44
209,23211,5,5,1,0.466
210,19138,5,5,1,0.191
210,19139,5,5,1,0.212
211,19136,5,5,1,0.148
211,38308,5,5,1,0.252
212,1284,5,5,1,0.138
212,2727,5,5,1,0.171
213,2721,5,5,1,0.302
213,32597,5,5,1,0.386
214,38311,5,5,1,0.343
214,44891,5,5,1,0.388
1241,27887,5,5,1,0.339
1241,27888,5,5,1,0.549
1241,39361,5,5,2,1.335
1242,8644,5,5,1,0.404
1242,8645,5,5,1,0.616
1243,46873,5,5,1,0.17
1243,46875,5,5,1,0.284
1244,1245,5,5,2,3.205
1244,1246,5,5,1,2.259
1244,1247,5,5,1,1.217
1244,18310,5,5,3,3.761
1245,1244,5,5,2,3.205
1245,1246,5,5,1,1.084
1245,1249,5,5,1,1.84
1245,20261,5,5,3,2.483
1245,110042,5,5,2,1.321
1246,1244,5,5,2,2.259
1246,1245,5,5,1,1.084
1247,1244,5,5,1,1.217
1247,20262,5,5,1,0.805
1249,1245,5,5,1,1.84
1249,20261,5,5,1,0.643
1284,206,5,5,1,0.21
1284,212,5,5,1,0.138
1629,1634,5,5,2,0.691
1629,20735,5,5,1,0.401
1630,20735,5,5,1,0.367
1630,44610,5,5,1,0.25
1633,31591,5,5,1,0.46
1633,50600,5,5,1,0.322
1633,182137,5,5,1,0.24
1634,1629,5,5,2,0.691
1634,20736,5,5,1,0.93
1634,24989,5,5,6,1.861
1635,57503,5,5,1,0.457
1635,57504,5,5,1,0.506
1635,81804,5,5,1,0.201
1911,1912,5,5,1,0.303
1911,34281,5,5,1,0.267
1911,40017,5,5,1,0.498
1911,40018,5,5,1,0.325
1912,1911,5,5,1,0.303
1912,1912,5,5,1,0
1912,1915,5,5,1,0.29
1912,16541,5,5,1,0.34
1912,34282,5,5,1,0.247
1913,1914,5,5,1,0.367
1913,1916,5,5,1,0.444
1914,1913,5,5,1,0.367
1914,1914,5,5,1,0
1914,11056,5,5,1,0.831
1914,12663,5,5,1,0.179
1914,47603,5,5,1,0.479
1915,1912,5,5,1,0.29
