ori_node,des_node,ori_layer,des_layer,minutes,km
4716,16871,2,2,7,4.666
5422,30570,2,2,8,7.997
8435,11056,2,2,2,1.769
8435,28928,2,2,2,0.848
11056,8435,2,2,3,1.769
11056,47768,2,2,6,4.508
11604,21866,2,2,1,1.076
12033,12102,2,2,2,1.422
12033,13255,2,2,7,7.695
12033,47768,2,2,10,11.314
12033,248224,2,2,3,2.777
12102,12033,2,2,2,1.422
12102,45399,2,2,3,2.63
13255,12033,2,2,7,7.695
13255,47768,2,2,5,3.771
16871,4716,2,2,7,4.666
16871,30570,2,2,4,1.66
20382,42660,2,2,4,2.913
21866,11604,2,2,2,1.076
21866,30570,2,2,5,4.532
28928,8435,2,2,2,0.848
28928,84031,2,2,6,5.479
30570,5422,2,2,7,7.997
30570,16871,2,2,4,1.66
30570,21866,2,2,5,4.532
30570,47768,2,2,5,4.824
42660,20382,2,2,7,2.913
42660,45399,2,2,2,0.77
45399,12102,2,2,3,2.63
45399,42660,2,2,1,0.77
47768,11056,2,2,5,4.508
47768,12033,2,2,9,11.314
47768,13255,2,2,4,3.771
47768,30570,2,2,5,4.824
47768,248224,2,2,8,8.56
84031,28928,2,2,6,5.479
84031,203744,2,2,6,3.821
87948,203744,2,2,5,2.711
203744,84031,2,2,5,3.821
203744,87948,2,2,5,2.711
248224,12033,2,2,4,2.777
248224,13255,2,2,5,5.03
