ori_node,des_node,ori_layer,des_layer,minutes,km
570,570,5,5,1,0
570,18107,5,5,5,1.481
570,18947,5,5,13,12.139
570,21857,5,5,1,0.55
570,84543,5,5,4,1.373
570,106216,5,5,1,0.696
570,134206,5,5,1,0.774
570,186385,5,5,1,0.728
570,228137,5,5,2,0.89
570,245989,5,5,20,14.861
570,254276,5,5,1,0.872
570,257763,5,5,10,4.597
570,257925,5,5,5,3.012
4670,4670,5,5,1,0
4670,104320,5,5,1,0.553
4670,104322,5,5,6,0.534
4670,142517,5,5,1,0.221
4670,152454,5,5,2,1.207
4670,152455,5,5,1,0.414
4670,152458,5,5,3,1.079
4670,172133,5,5,2,0.901
4670,172136,5,5,3,0.653
4670,215685,5,5,1,0.745
4670,235854,5,5,1,0.18
4670,243589,5,5,6,2.882
6157,6744,5,5,4,1.833
6157,29176,5,5,1,0.163
6157,110799,5,5,5,1.555
6603,29160,5,5,2,1.36
6603,33709,5,5,1,0.237
6603,104569,5,5,1,0.162
6744,11831,5,5,10,2.9
6744,25266,5,5,4,3.254
6744,143953,5,5,1,0.83
7597,11834,5,5,1,0.276
8617,44080,5,5,1,0.295
8874,18107,5,5,10,1.51
8874,18110,5,5,1,1.081
8874,124324,5,5,1,0.394
8874,145570,5,5,1,0.737
8874,179205,5,5,1,0.555
8874,229025,5,5,8,3.239
11829,6603,5,5,7,3.599
11829,11832,5,5,1,0.303
11829,11834,5,5,1,0.291
11829,36954,5,5,1,0.396
11831,11832,5,5,1,0.279
11831,25266,5,5,4,1.421
11832,6157,5,5,11,2.477
11832,11829,5,5,1,0.303
11832,11831,5,5,1,0.279
11834,7597,5,5,1,0.276
11834,11829,5,5,1,0.291
12888,33602,5,5,2,0.736
12888,78469,5,5,1,0.853
13112,13112,5,5,1,0
13112,132495,5,5,1,0.653
13112,189218,5,5,1,0.314
13112,201644,5,5,1,0.486
15053,69432,5,5,4,4.005
15053,136009,5,5,1,0.32
15053,201864,5,5,6,3.593
15053,256557,5,5,5,2.397
18107,570,5,5,5,1.481
18107,8874,5,5,5,1.51
18107,18110,5,5,1,0.429
18107,21856,5,5,1,0.549
18107,110958,5,5,6,4.415
18107,135875,5,5,7,5.268
18107,183423,5,5,7,4.395
18107,205919,5,5,1,0.596
18107,224220,5,5,2,0.643
18107,224942,5,5,1,0.843
18107,250877,5,5,1,0.856
18110,8874,5,5,1,1.081
18110,18107,5,5,1,0.429
18110,51707,5,5,16,12.735
18110,79858,5,5,10,4.292
18110,92418,5,5,20,12.524
18110,124323,5,5,1,0.709
18110,142141,5,5,1,0.594
18110,147519,5,5,3,0.779
18110,187465,5,5,22,16.006
18110,205919,5,5,2,0.895
18110,239792,5,5,1,0.238
18947,570,5,5,16,12.139
19380,6744,5,5,4,5.503
19380,33709,5,5,5,1.925
19380,33715,5,5,5,1.507
21856,18107,5,5,1,0.549
21856,21857,5,5,1,0.383
21857,570,5,5,2,0.55
21857,21856,5,5,1,0.383
21857,92418,5,5,15,13.596
21857,157393,5,5,2,0.8
25266,6744,5,5,5,3.254
25266,11831,5,5,3,1.421
25451,135857,5,5,2,1.326
25451,170932,5,5,2,1.174
25451,170933,5,5,2,1.22
25451,200142,5,5,1,0.708
25514,54495,5,5,1,0.74
25514,167651,5,5,2,0.749
25514,200418,5,5,1,0.563
25514,200419,5,5,1,0.131
25514,222128,5,5,7,2.025
25514,222132,5,5,5,0.621
25514,224570,5,5,5,3.329
26888,171294,5,5,3,0.18
26888,201013,5,5,1,0.244
26888,242024,5,5,2,0.893
28820,172712,5,5,3,0.851
29153,29160,5,5,1,0.222
29153,29176,5,5,1,0.247
29160,6603,5,5,3,1.36
29160,29153,5,5,1,0.222
29160,33712,5,5,3,1.262
29176,6157,5,5,1,0.163
29176,29153,5,5,1,0.247
29176,110799,5,5,3,1.45
33602,15053,5,5,2,1.371
33602,33602,5,5,1,0
33602,58165,5,5,1,0.582
33602,63287,5,5,1,0.647
33602,166812,5,5,1,0.764
33602,173465,5,5,1,0.564
33602,176558,5,5,2,0.715
33602,194264,5,5,1,1.002
33602,205719,5,5,1,0.61
33602,249382,5,5,3,0.764
33602,253686,5,5,1,0.454
33709,19380,5,5,6,1.925
33709,33717,5,5,1,0.352
33711,33712,5,5,1,0.315
33711,33714,5,5,1,0.249
33712,6603,5,5,1,0.576
33712,29160,5,5,4,1.262
33712,33711,5,5,1,0.315
33713,33714,5,5,1,0.151
33713,33716,5,5,1,0.256
33714,33711,5,5,1,0.249
33714,33713,5,5,1,0.151
33715,33716,5,5,1,0.234
33715,33717,5,5,1,0.278
33716,33713,5,5,1,0.256
33716,33715,5,5,1,0.234
33717,33709,5,5,1,0.352
33717,33715,5,5,1,0.278
35522,35522,5,5,1,0
35522,51707,5,5,8,5.482
35522,94186,5,5,1,0.33
35522,94191,5,5,1,0.602
35522,99790,5,5,1,0.392
35522,133173,5,5,3,0.983
35522,205932,5,5,3,2.307
35522,233717,5,5,5,3.088
36954,11829,5,5,2,0.396
39550,39550,5,5,1,0
39550,82772,5,5,2,0.556
39550,108524,5,5,2,0.681
39550,141387,5,5,1,0.253
41558,41558,5,5,1,0
41558,82772,5,5,6,3.552
41558,89623,5,5,1,0.513
41558,260149,5,5,1,0.023
44080,8617,5,5,1,0.295
45149,45149,5,5,1,0
45149,88822,5,5,2,1.042
45149,110265,5,5,1,0.602
45149,154999,5,5,1,0.362
45149,216333,5,5,1,0.674
45149,218651,5,5,5,1.652
50092,50092,5,5,1,0
50092,100480,5,5,1,0.454
50092,116451,5,5,2,0.984
50092,148144,5,5,1,0.544
50092,233719,5,5,1,0.393
51705,61429,5,5,3,0.778
51706,51711,5,5,1,0.651
51707,51709,5,5,1,0.312
51707,88707,5,5,10,3.306
51708,35522,5,5,8,5.477
51708,61431,5,5,1,0.142
51708,61434,5,5,1,0.43
51709,214592,5,5,2,0.69
51710,51705,5,5,2,0.682
51711,51712,5,5,1,0.379
51712,129558,5,5,1,0.922
51713,51710,5,5,1,0.369
52074,162983,5,5,1,0.345
52075,143917,5,5,1,0.135
52350,205917,5,5,1,0.278
52580,69592,5,5,2,0.603
52580,141388,5,5,2,0.443
52581,98385,5,5,1,0.127
52695,128022,5,5,1,0.375
52735,62422,5,5,1,0.195
52736,62951,5,5,1,0.148
52736,78469,5,5,1,0.293
52786,108578,5,5,1,0.384
52786,212524,5,5,2,0.361
52786,222317,5,5,1,0.239
52830,90343,5,5,3,5.738
52830,114564,5,5,5,2.638
52912,52920,5,5,1,0.427
52913,52915,5,5,3,1.972
52914,52912,5,5,1,0.299
52915,52917,5,5,1,0.255
52916,52914,5,5,3,1.984
52916,88863,5,5,4,1.794
52917,120956,5,5,1,0.149
52917,120957,5,5,1,0.154
52918,52916,5,5,1,0.254
52920,214626,5,5,1,0.323
52921,52913,5,5,1,0.295
52937,71869,5,5,1,0.279
53070,96084,5,5,1,0.172
53076,81528,5,5,1,0.365
53076,227885,5,5,1,0.583
53077,192973,5,5,1,0.385
53234,82363,5,5,3,0.722
53234,123033,5,5,1,0.549
53302,181744,5,5,1,0.369
53303,231685,5,5,1,0.198
53310,158951,5,5,1,0.397
53310,215496,5,5,1,0.445
53310,251433,5,5,1,0.366
53311,115514,5,5,1,0.207
53311,179203,5,5,1,0.309
53398,258092,5,5,1,0.323
53404,130291,5,5,1,0.254
53404,192524,5,5,1,0.712
54150,158824,5,5,4,3.621
54150,162949,5,5,1,0.164
54270,166890,5,5,1,0.534
54493,64169,5,5,4,3.679
54493,69006,5,5,18,13.719
54494,25514,5,5,1,0.74
54495,570,5,5,20,14.137
54495,54493,5,5,1,0.584
54496,25514,5,5,7,2.036
54497,54502,5,5,3,1.226
54500,54494,5,5,1,0.634
54502,170445,5,5,6,2.591
54621,54622,5,5,1,0.459
54621,250083,5,5,2,0.745
54622,250083,5,5,1,0.288
54745,199447,5,5,1,0.635
54746,54753,5,5,1,0.569
54748,54754,5,5,1,0.379
54748,102677,5,5,5,0.718
54749,54751,5,5,1,0.334
54749,127886,5,5,1,0.448
54749,189703,5,5,6,5.159
54749,189708,5,5,7,3.904
54750,54748,5,5,1,0.294
54750,127886,5,5,1,0.459
54751,64379,5,5,1,0.287
54752,54745,5,5,1,0.468
54753,54755,5,5,1,0.331
54754,54752,5,5,1,0.421
54754,92989,5,5,4,2.851
54755,54749,5,5,1,0.214
54755,127886,5,5,1,0.506
55777,113662,5,5,2,0.621
55777,113663,5,5,1,0.133
55777,123320,5,5,1,0.38
55877,254814,5,5,1,0.166
56997,79858,5,5,2,0.993
56997,166889,5,5,1,0.639
56998,82410,5,5,1,0.275
56998,140370,5,5,2,0.385
56998,157878,5,5,1,0.212
57388,201470,5,5,1,0.215
57388,227030,5,5,1,0.465
57389,226493,5,5,1,0.713
57489,58113,5,5,2,0.71
57490,186616,5,5,2,0.521
58112,57490,5,5,2,0.617
58113,119574,5,5,1,0.354
58165,33602,5,5,1,0.582
58165,81528,5,5,2,1.022
58619,134132,5,5,1,0.226
58803,62100,5,5,1,0.574
58803,73688,5,5,1,0.718
59345,244912,5,5,1,0.329
59346,87434,5,5,1,0.177
59346,92418,5,5,16,10.017
59346,214313,5,5,1,0.656
60032,178350,5,5,2,0.757
60033,151845,5,5,2,0.604
60061,126477,5,5,1,0.228
60259,72600,5,5,1,0.645
60794,249580,5,5,1,0.373
60795,60794,5,5,1,0.488
61046,97058,5,5,1,0.858
61429,61432,5,5,1,0.24
61430,51706,5,5,4,0.726
61431,61430,5,5,1,0.259
61432,61434,5,5,1,0.52
61433,51707,5,5,1,0.497
61433,61431,5,5,1,0.599
61434,61435,5,5,1,0.306
61434,61436,5,5,1,0.28
61435,570,5,5,15,12.308
61435,18107,5,5,17,12.158
61435,61433,5,5,1,0.253
61435,103841,5,5,3,1.66
61435,234421,5,5,6,3.765
61436,61433,5,5,1,0.226
61436,103841,5,5,2,1.685
62032,243959,5,5,2,0.661
62053,63538,5,5,1,0.389
62053,235254,5,5,1,0.378
62075,169106,5,5,2,0.737
62100,84624,5,5,1,0.366
62422,33602,5,5,1,0.59
62466,94266,5,5,1,0.399
62466,204165,5,5,1,0.15
62521,145443,5,5,1,0.406
62521,213811,5,5,1,0.169
62951,62953,5,5,1,0.451
62952,12888,5,5,1,0.207
62952,248104,5,5,1,0.477
62953,62952,5,5,1,0.269
63286,63287,5,5,1,0.286
63287,33602,5,5,2,0.647
63287,176559,5,5,1,0.35
63287,205720,5,5,1,0.144
63456,149566,5,5,1,0.491
63456,161943,5,5,1,0.363
63456,254278,5,5,1,0.324
63457,163422,5,5,1,0.252
63538,178562,5,5,1,0.601
64164,54503,5,5,4,1.224
64165,92987,5,5,2,2.582
64165,92990,5,5,4,3.077
64166,187273,5,5,1,0.482
64167,92990,5,5,6,4.666
64167,93012,5,5,4,4.225
64167,145899,5,5,6,2.138
64168,64171,5,5,3,2.821
64169,235464,5,5,1,0.368
64170,54500,5,5,7,3.71
64170,111058,5,5,9,4.395
64171,64165,5,5,1,0.465
64304,8874,5,5,10,3.231
64304,110959,5,5,1,0.207
64363,64367,5,5,1,0.219
64367,73446,5,5,1,0.203
64379,64387,5,5,2,1.641
64380,54750,5,5,1,0.278
64381,73818,5,5,1,0.268
64382,64384,5,5,1,0.2
64383,80478,5,5,1,1.166
64384,64386,5,5,1,0.357
64385,64383,5,5,1,0.219
64386,64388,5,5,3,1.646
64387,64385,5,5,1,0.353
64388,64380,5,5,1,0.358
65136,217489,5,5,1,0.128
65137,123319,5,5,1,0.56
65138,65136,5,5,1,0.589
65138,123318,5,5,1,0.576
65177,85445,5,5,1,0.317
65760,73006,5,5,1,0.369
65783,73003,5,5,1,0.357
66324,66325,5,5,1,0.195
66325,72862,5,5,1,0.607
67039,60259,5,5,1,0.415
67040,151211,5,5,2,0.741
67452,242081,5,5,1,0.236
68076,251123,5,5,1,0.369
68511,233717,5,5,1,0.412
68512,162946,5,5,1,0.39
69006,227884,5,5,1,0.601
69039,52350,5,5,1,0.582
69039,62075,5,5,1,0.711
69040,69039,5,5,1,0.02
69198,74279,5,5,1,0.327
69201,255147,5,5,1,0.236
69432,177265,5,5,1,0.309
69432,253311,5,5,1,0.509
69592,233254,5,5,1,0.541
69827,111163,5,5,1,0.479
69827,146606,5,5,1,0.55
71460,120705,5,5,1,0.067
71502,90343,5,5,3,1.916
71502,172616,5,5,6,5.241
71502,214024,5,5,3,1.874
71562,71564,5,5,1,0.281
71563,71562,5,5,1,0.295
71564,45149,5,5,1,0.58
71577,110252,5,5,1,0.223
71708,186220,5,5,1,0.321
71709,209196,5,5,1,0.277
71863,4670,5,5,2,0.198
71863,152455,5,5,1,0.322
71863,172133,5,5,2,0.804
71863,187465,5,5,3,2.109
71869,198309,5,5,1,0.118
71869,218651,5,5,1,0.406
71870,121417,5,5,1,0.381
71870,218318,5,5,1,0.2
72220,175555,5,5,2,0.386
72243,91335,5,5,1,0.449
72243,253781,5,5,2,0.721
72600,26888,5,5,4,0.897
72600,171294,5,5,3,0.887
72600,184468,5,5,1,0.771
72600,197310,5,5,1,0.481
72600,226535,5,5,1,0.469
72861,241502,5,5,1,0.156
72861,247962,5,5,1,0.416
72862,196636,5,5,1,0.349
73003,249153,5,5,1,0.161
73006,257925,5,5,3,0.887
73052,156879,5,5,4,2.234
73052,193728,5,5,2,13.283
73446,186616,5,5,1,0.426
73447,88825,5,5,1,0.274
73447,121345,5,5,1,0.289
73447,149563,5,5,3,1.38
73501,113665,5,5,1,0.166
73501,133176,5,5,1,0.374
73501,261664,5,5,7,3.52
73583,187261,5,5,1,0.391
73587,187275,5,5,1,0.334
73589,161122,5,5,5,2.076
73589,161130,5,5,4,2.706
73590,83343,5,5,5,2.56
73590,102679,5,5,4,2.451
73591,233024,5,5,1,0.39
73688,215037,5,5,1,0.162
73688,243960,5,5,1,0.433
73817,126039,5,5,1,0.931
73818,73822,5,5,1,0.334
73819,73821,5,5,1,0.329
