ori_node,des_node,ori_layer,des_layer,minutes,km
51520,172721,5,5,12,4.608
51523,172723,5,5,6,3.582
51724,182463,5,5,1,0.342
51724,220449,5,5,1,0.201
57873,182466,5,5,7,5.386
57874,182467,5,5,6,4.576
58049,145223,5,5,2,1.18
58052,107501,5,5,4,2.343
58053,145224,5,5,1,0.585
60262,60263,5,5,1,0.521
60263,203860,5,5,1,0.873
67541,149456,5,5,3,1.242
67542,125288,5,5,3,1.571
67542,213584,5,5,4,1.571
67543,67545,5,5,1,0.2
67544,67543,5,5,1,0.136
67545,149456,5,5,4,1.223
67545,184493,5,5,2,1.502
67546,67542,5,5,1,0.122
67547,182461,5,5,3,1.195
67547,182468,5,5,1,1.197
67548,67546,5,5,1,0.203
70771,107498,5,5,1,1.122
70772,217227,5,5,1,0.642
70776,184494,5,5,2,1.203
77968,87653,5,5,1,0.217
77971,203858,5,5,1,0.38
77972,87645,5,5,2,0.989
77972,136399,5,5,2,0.907
77972,181856,5,5,1,0.734
77973,77976,5,5,1,0.164
77974,77973,5,5,1,0.268
77975,212281,5,5,1,0.184
77976,77975,5,5,1,0.287
87034,206145,5,5,2,1.672
87035,136400,5,5,2,0.806
87035,181853,5,5,1,0.613
87370,146907,5,5,6,1.967
87373,172723,5,5,3,3.316
87645,87035,5,5,4,1.195
87645,87646,5,5,1,0.646
87645,181851,5,5,3,0.283
87645,211042,5,5,2,0.772
87646,87035,5,5,3,0.819
87646,136401,5,5,3,0.552
87646,181852,5,5,1,0.39
87646,181853,5,5,1,0.364
87647,87645,5,5,2,0.749
87650,87647,5,5,1,0.488
87651,87652,5,5,1,0.233
87652,87645,5,5,3,0.635
87653,87654,5,5,3,0.392
87654,87651,5,5,2,0.305
88165,97793,5,5,1,0.395
93569,173645,5,5,1,0.368
93569,239275,5,5,4,1.499
97788,107498,5,5,4,1.233
97788,218272,5,5,1,0.264
97789,97793,5,5,1,0.367
97790,97788,5,5,1,0.194
97791,97794,5,5,1,0.197
97792,97794,5,5,1,0.203
97793,97791,5,5,1,0.195
97793,97792,5,5,1,0.2
97794,97790,5,5,2,0.38
99871,164934,5,5,1,0.23
99874,194162,5,5,1,0.108
107495,107497,5,5,1,0.243
107495,107498,5,5,1,0.243
107496,107502,5,5,2,2.359
107496,121815,5,5,8,0.404
107497,85049,5,5,1,1.154
107497,121356,5,5,1,1.036
107498,107496,5,5,1,0.241
107498,194161,5,5,2,0.63
107501,107495,5,5,2,2.374
107502,206146,5,5,1,0.858
121336,97789,5,5,1,0.214
121356,121336,5,5,1,0.264
121815,107495,5,5,1,0.416
125285,172718,5,5,1,0.445
125287,213584,5,5,1,0.373
125288,213582,5,5,3,2.048
127028,172806,5,5,1,0.346
127028,249227,5,5,2,0.486
127029,127032,5,5,1,0.825
127030,127035,5,5,2,1.032
127031,127030,5,5,1,0.802
127032,127028,5,5,1,0.627
127033,203856,5,5,1,0.693
127034,127036,5,5,2,1.188
127035,127033,5,5,1,1.219
127036,127029,5,5,2,1.062
127036,239270,5,5,2,1.078
133824,88601,5,5,11,2.911
133824,172720,5,5,10,7.793
136397,60262,5,5,2,0.826
136397,77971,5,5,2,0.942
136397,77974,5,5,2,0.376
136397,181851,5,5,1,0.243
136398,60262,5,5,1,0.819
136398,77971,5,5,2,0.954
136398,181851,5,5,1,0.256
136399,60262,5,5,1,0.96
136399,77971,5,5,1,0.92
136399,136397,5,5,1,0.161
136399,136398,5,5,1,0.16
136399,136400,5,5,1,0.421
136399,181851,5,5,1,0.336
136400,136398,5,5,4,0.582
136400,136399,5,5,1,0.421
136401,181853,5,5,1,0.193
136402,87035,5,5,2,0.565
136402,136401,5,5,1,0.067
136402,181853,5,5,1,0.182
136899,145054,5,5,1,0.478
136900,249228,5,5,6,3.066
136901,136902,5,5,1,0.47
136902,136900,5,5,3,1.438
136906,136901,5,5,1,0.944
145051,230964,5,5,8,3.963
145054,145051,5,5,2,0.942
145223,145228,5,5,2,1.3
145223,181855,5,5,1,0.403
145225,58049,5,5,1,0.584
145225,145223,5,5,2,1.763
145227,145229,5,5,2,1.262
145227,191631,5,5,1,0.836
145228,158785,5,5,1,1.053
145229,58053,5,5,1,1.147
145229,145224,5,5,2,1.728
146904,146914,5,5,1,0.262
146905,125287,5,5,1,1.053
146906,146904,5,5,1,1.155
146907,146910,5,5,8,2.892
146908,87373,5,5,6,1.974
146909,146908,5,5,8,2.883
146910,203856,5,5,5,2.366
146914,156811,5,5,1,0.549
146915,146905,5,5,1,1.188
149455,51724,5,5,5,0.904
149455,182467,5,5,8,3.857
149456,67548,5,5,3,1.216
149456,149455,5,5,3,1.242
153115,133824,5,5,11,2.932
156808,67541,5,5,5,0.907
156808,156812,5,5,1,0.825
156809,156808,5,5,1,0.255
156809,182466,5,5,4,2.278
156810,194164,5,5,2,1.757
156811,51724,5,5,1,0.833
156812,220489,5,5,1,0.538
156813,156809,5,5,1,1.212
156813,164935,5,5,2,1.759
156813,181854,5,5,1,0.978
158785,164937,5,5,1,0.816
158786,145227,5,5,1,1.175
160046,182466,5,5,2,1.35
160047,169843,5,5,2,0.695
160048,160046,5,5,2,1.684
160049,160047,5,5,2,1.689
162953,249226,5,5,1,0.448
162954,162956,5,5,2,1.148
162955,162954,5,5,8,4.804
162955,172722,5,5,14,6.581
162955,249233,5,5,14,6.018
162956,172714,5,5,2,0.994
162957,162953,5,5,8,4.803
164932,164938,5,5,3,1.78
164933,181854,5,5,1,0.933
164934,164936,5,5,1,0.576
164934,164939,5,5,1,0.095
164934,181854,5,5,3,2.746
164935,99874,5,5,1,0.238
164935,194160,5,5,3,0.465
164936,158786,5,5,1,0.77
164937,164935,5,5,1,0.584
164938,164935,5,5,1,0.078
164939,164933,5,5,2,1.784
169846,87035,5,5,5,0.619
169846,181853,5,5,5,1.202
169850,160048,5,5,2,0.702
172713,162957,5,5,2,1.142
172714,172713,5,5,1,0.986
172714,182461,5,5,8,5.024
172717,213582,5,5,1,0.453
172718,172724,5,5,1,0.453
172719,133824,5,5,10,7.789
172719,182461,5,5,12,4.42
172720,172721,5,5,8,4.59
172720,172723,5,5,5,3.549
172721,162953,5,5,13,6.589
172721,211622,5,5,9,5.588
172722,51523,5,5,9,4.619
172722,182462,5,5,7,4.597
172723,172717,5,5,1,0.434
172724,51520,5,5,8,3.581
172724,87370,5,5,4,3.323
172724,172719,5,5,5,3.539
172724,172720,5,5,9,3.548
172806,249227,5,5,1,0.157
173645,127031,5,5,1,0.63
181851,77971,5,5,1,0.749
181851,223118,5,5,1,0.262
181852,87035,5,5,2,0.617
181852,136402,5,5,1,0.158
181852,213583,5,5,4,2.695
181853,87035,5,5,2,0.613
181853,136399,5,5,1,0.767
181853,136400,5,5,1,0.364
181854,156809,5,5,1,0.24
181855,145228,5,5,1,0.902
181856,87645,5,5,1,0.286
181857,156810,5,5,1,0.975
181857,164932,5,5,1,0.941
181857,164935,5,5,4,2.743
182307,203861,5,5,1,0.458
182461,57873,5,5,3,1.189
182461,57874,5,5,2,1.187
182461,172720,5,5,12,4.429
182462,172723,5,5,8,3.552
182463,182466,5,5,4,2.03
182464,156808,5,5,1,0.332
182465,160049,5,5,3,1.358
182465,181857,5,5,4,2.432
182465,182464,5,5,2,2.023
182466,182467,5,5,1,1.081
182467,67541,5,5,8,3.854
182467,67547,5,5,7,4.556
182467,182465,5,5,2,1.085
182468,172714,5,5,8,5.022
184489,184491,5,5,1,0.533
184491,156813,5,5,3,1.759
184491,194163,5,5,1,0.452
184493,70772,5,5,2,1.202
184494,67548,5,5,2,1.492
184575,172806,5,5,4,1.487
191631,145229,5,5,1,0.431
193823,211625,5,5,2,0.181
194157,99871,5,5,1,0.121
194158,194157,5,5,1,0.242
194159,194164,5,5,1,0.458
194160,194162,5,5,1,0.17
194161,107496,5,5,3,0.745
194162,199784,5,5,1,0.25
194163,194158,5,5,1,1.145
194164,184490,5,5,1,0.54
199784,194159,5,5,2,1.146
203856,203864,5,5,1,0.465
203857,127034,5,5,1,0.694
203857,146909,5,5,6,2.354
203858,203859,5,5,1,0.276
203859,213581,5,5,1,0.332
203860,203862,5,5,1,1.402
203861,77972,5,5,1,0.223
203861,87645,5,5,3,1.213
203862,203857,5,5,1,0.462
203863,87650,5,5,1,0.929
