node,layer,lat,lon,degree,geometry
51520,5,51.16933,-3.49615,2,"-3.49615, 51.16933"
51523,5,51.16943,-3.49622,2,"-3.49622, 51.16943"
51724,5,51.16123,-3.36715,4,"-3.36715, 51.16123"
57873,5,51.12918,-3.45257,2,"-3.45257, 51.12918"
57874,5,51.12921,-3.45259,2,"-3.45259, 51.12921"
58049,5,51.13843,-3.2615,2,"-3.2615, 51.13843"
58052,5,51.17782,-3.24147,4,"-3.24147, 51.17782"
58053,5,51.13861,-3.26125,2,"-3.26125, 51.13861"
60262,5,51.20714,-3.48935,4,"-3.48935, 51.20714"
60263,5,51.20699,-3.49685,2,"-3.49685, 51.20699"
67541,5,51.16806,-3.37426,3,"-3.37426, 51.16806"
67542,5,51.18161,-3.40177,3,"-3.40177, 51.18161"
67543,5,51.18224,-3.40021,3,"-3.40021, 51.18224"
67544,5,51.18162,-3.40191,2,"-3.40191, 51.18162"
67545,5,51.18234,-3.39734,3,"-3.39734, 51.18234"
67546,5,51.18212,-3.40021,2,"-3.40021, 51.18212"
67547,5,51.12948,-3.45235,3,"-3.45235, 51.12948"
67548,5,51.18226,-3.39729,3,"-3.39729, 51.18226"
70771,5,51.17997,-3.32208,2,"-3.32208, 51.17997"
70772,5,51.17847,-3.35899,2,"-3.35899, 51.17847"
70776,5,51.1783,-3.3591,2,"-3.3591, 51.1783"
77968,5,51.20302,-3.48958,2,"-3.48958, 51.20302"
77971,5,51.19875,-3.46963,6,"-3.46963, 51.19875"
77972,5,51.19879,-3.46993,4,"-3.46993, 51.19879"
77973,5,51.20196,-3.48099,2,"-3.48099, 51.20196"
77974,5,51.20217,-3.47714,2,"-3.47714, 51.20217"
77975,5,51.20137,-3.48665,2,"-3.48665, 51.20137"
77976,5,51.20267,-3.48307,2,"-3.48307, 51.20267"
85049,5,51.18005,-3.32257,2,"-3.32257, 51.18005"
87034,5,51.17755,-3.24178,2,"-3.24178, 51.17755"
87035,5,51.20131,-3.46311,9,"-3.46311, 51.20131"
87370,5,51.17326,-3.49427,2,"-3.49427, 51.17326"
87373,5,51.17329,-3.49417,2,"-3.49417, 51.17329"
87645,5,51.20579,-3.47873,9,"-3.47873, 51.20579"
87646,5,51.20739,-3.46979,5,"-3.46979, 51.20739"
87647,5,51.20724,-3.48926,2,"-3.48926, 51.20724"
87650,5,51.20754,-3.49627,2,"-3.49627, 51.20754"
87651,5,51.20624,-3.49091,2,"-3.49091, 51.20624"
87652,5,51.20538,-3.48784,2,"-3.48784, 51.20538"
87653,5,51.20264,-3.49264,2,"-3.49264, 51.20264"
87654,5,51.20578,-3.49524,2,"-3.49524, 51.20578"
88165,5,51.17922,-3.32786,2,"-3.32786, 51.17922"
88601,5,51.07268,-3.49707,2,"-3.49707, 51.07268"
93569,5,51.2093,-3.59409,3,"-3.59409, 51.2093"
97788,5,51.17752,-3.32386,3,"-3.32386, 51.17752"
97789,5,51.17879,-3.32598,2,"-3.32598, 51.17879"
97790,5,51.17883,-3.32571,3,"-3.32571, 51.17883"
97791,5,51.17394,-3.32713,2,"-3.32713, 51.17394"
97792,5,51.17389,-3.32713,2,"-3.32713, 51.17389"
97793,5,51.17566,-3.3277,4,"-3.3277, 51.17566"
97794,5,51.17567,-3.32782,4,"-3.32782, 51.17567"
99871,5,51.16272,-3.32145,2,"-3.32145, 51.16272"
