node,layer,lat,lon,degree,geometry
1476,2,55.78282,-3.99418,17,"-3.99418, 55.78282"
4355,2,55.81655,-4.02518,31,"-4.02518, 55.81655"
4640,2,55.85172,-4.07174,20,"-4.07174, 55.85172"
5020,2,55.86583,-3.95408,20,"-3.95408, 55.86583"
5408,2,55.85369,-4.01864,25,"-4.01864, 55.85369"
6055,2,55.81289,-3.97391,27,"-3.97391, 55.81289"
6498,2,55.81864,-3.79832,25,"-3.79832, 55.81864"
8767,2,55.80464,-3.91024,16,"-3.91024, 55.80464"
8954,2,55.77895,-4.05416,26,"-4.05416, 55.77895"
10755,2,55.81147,-3.83932,10,"-3.83932, 55.81147"
11214,2,55.77318,-4.03887,39,"-4.03887, 55.77318"
11972,2,55.86397,-3.9829,21,"-3.9829, 55.86397"
14588,2,55.79167,-3.99431,62,"-3.99431, 55.79167"
16830,2,55.73859,-3.9755,17,"-3.9755, 55.73859"
18545,2,55.7487,-3.97824,14,"-3.97824, 55.7487"
18957,2,55.86659,-4.04217,20,"-4.04217, 55.86659"
20296,2,55.86503,-4.03034,29,"-4.03034, 55.86503"
20414,2,55.77203,-3.92643,27,"-3.92643, 55.77203"
23358,2,55.82352,-4.08669,22,"-4.08669, 55.82352"
26244,2,55.80733,-3.95625,14,"-3.95625, 55.80733"
32040,2,55.85418,-4.04839,21,"-4.04839, 55.85418"
32059,2,55.86433,-4.00497,24,"-4.00497, 55.86433"
32775,2,55.67307,-3.77287,16,"-3.77287, 55.67307"
36481,2,55.77748,-3.95699,14,"-3.95699, 55.77748"
40926,2,55.69103,-3.66847,24,"-3.66847, 55.69103"
43955,2,55.79755,-4.08641,20,"-4.08641, 55.79755"
46257,2,55.76521,-4.00466,14,"-4.00466, 55.76521"
47217,2,55.93522,-3.99308,17,"-3.99308, 55.93522"
220245,2,55.73125,-3.84892,8,"-3.84892, 55.73125"
