ori_node,des_node,ori_layer,des_layer,minutes,km
764,765,5,5,6,3.879
764,48332,5,5,10,8.146
765,764,5,5,6,3.879
765,769,5,5,8,5.39
767,769,5,5,9,6.077
767,48332,5,5,8,6.535
769,765,5,5,8,5.39
769,767,5,5,9,6.077
770,772,5,5,3,1.308
771,772,5,5,4,3.537
772,770,5,5,2,1.308
772,771,5,5,4,3.537
1130,29280,5,5,6,3.54
1130,44313,5,5,4,2.243
4014,38825,5,5,4,0.702
4014,38826,5,5,2,0.718
4846,28655,5,5,5,2.493
4846,39532,5,5,9,4.708
4846,39642,5,5,5,2.539
7940,19766,5,5,1,0.361
7940,19768,5,5,5,3.606
10032,41460,5,5,9,5.506
10032,50481,5,5,5,5
10034,29285,5,5,1,0.795
10034,50481,5,5,5,3.914
11086,51837,5,5,2,1.576
11086,51838,5,5,8,1.813
12417,12417,5,5,1,0
12417,40304,5,5,10,8.269
12419,29283,5,5,12,8.26
16045,19761,5,5,1,0.151
16045,19765,5,5,10,7.27
19761,16045,5,5,1,0.151
19761,19767,5,5,4,2.582
19762,19762,5,5,1,0
19762,19768,5,5,9,6.741
19762,30066,5,5,2,0.358
19762,121192,5,5,3,0.269
19765,16045,5,5,10,7.27
19765,38830,5,5,5,6.567
19766,7940,5,5,1,0.361
19766,19767,5,5,1,0.421
19767,19761,5,5,4,2.582
19767,19766,5,5,1,0.421
19768,7940,5,5,5,3.606
19768,19762,5,5,9,6.741
19768,30066,5,5,9,6.461
27391,38823,5,5,11,7.971
27391,227285,5,5,26,9.735
28654,28655,5,5,2,2.176
28654,39532,5,5,8,3.567
28654,51837,5,5,1,3.095
28655,4846,5,5,5,2.493
28655,28654,5,5,2,2.176
28660,40244,5,5,8,3.551
28660,51838,5,5,2,1.173
29278,29280,5,5,11,8.218
29278,29281,5,5,1,0.246
29278,186146,5,5,1,0.293
29278,186147,5,5,1,0.383
29278,186148,5,5,1,0.184
29280,1130,5,5,7,3.54
29280,29278,5,5,10,8.218
29280,29281,5,5,9,8.037
29281,29278,5,5,1,0.246
29281,29280,5,5,13,8.037
29281,170420,5,5,1,0.286
29281,186146,5,5,1,0.525
29282,44313,5,5,5,3.425
29283,12419,5,5,12,8.26
29283,44313,5,5,1,0.28
29285,10034,5,5,1,0.795
30066,19762,5,5,1,0.358
30066,19768,5,5,9,6.461
37636,38112,5,5,15,5.359
37636,59815,5,5,1,0.748
38112,37636,5,5,15,5.359
38112,48232,5,5,20,6.689
38823,27391,5,5,11,7.971
38823,38823,5,5,1,0
38823,53545,5,5,2,0.943
38823,195854,5,5,10,6.444
38823,227283,5,5,8,5.316
38824,227283,5,5,8,5.05
38825,4014,5,5,4,0.702
38825,38825,5,5,1,0
38825,38826,5,5,1,0.798
38826,4014,5,5,2,0.718
38826,38825,5,5,1,0.798
38826,38827,5,5,2,0.811
38826,227284,5,5,13,4.19
38827,38826,5,5,2,0.811
38827,38828,5,5,2,1.011
38827,227284,5,5,13,4.602
38828,38827,5,5,2,1.011
38828,38829,5,5,3,2.255
38829,38828,5,5,3,2.255
38829,38830,5,5,1,0.462
38830,19765,5,5,5,6.567
38830,38829,5,5,1,0.462
39532,4846,5,5,9,4.708
39532,28654,5,5,8,3.567
39532,40076,5,5,6,2.143
39642,4846,5,5,5,2.539
39642,80751,5,5,5,2.832
39642,80752,5,5,2,0.971
39642,237196,5,5,5,2.117
39812,43774,5,5,5,1.991
40067,40067,5,5,1,0
40067,40085,5,5,3,2.595
40076,39532,5,5,7,2.143
40076,43774,5,5,3,2.378
40085,40244,5,5,6,1.583
40085,80752,5,5,6,2.545
40244,28660,5,5,8,3.551
40244,40085,5,5,6,1.583
40304,12417,5,5,9,8.269
40621,41460,5,5,11,8.568
41460,10032,5,5,9,5.506
41460,40621,5,5,11,8.568
43774,39812,5,5,5,1.991
43774,40076,5,5,3,2.378
44313,1130,5,5,4,2.243
44313,29282,5,5,4,3.425
44313,29283,5,5,1,0.28
48232,29281,5,5,5,0.89
48232,38112,5,5,20,6.689
48332,764,5,5,10,8.146
48332,767,5,5,10,6.535
50481,10032,5,5,5,5
50481,10034,5,5,5,3.914
51837,11086,5,5,2,1.576
51837,28654,5,5,1,3.095
51838,11086,5,5,8,1.813
51838,28660,5,5,2,1.173
53545,38823,5,5,2,0.943
59815,37636,5,5,1,0.748
80751,39642,5,5,5,2.832
80752,39642,5,5,2,0.971
80752,40067,5,5,3,1.108
121192,19762,5,5,3,0.269
170420,29281,5,5,1,0.286
170420,186148,5,5,1,0.303
186146,29278,5,5,1,0.293
186146,29280,5,5,11,8.333
186147,29281,5,5,1,0.602
186147,170420,5,5,3,0.322
186147,186146,5,5,1,0.104
186148,29281,5,5,1,0.173
186148,48232,5,5,3,0.834
195854,38823,5,5,10,6.444
227283,38823,5,5,8,5.316
227283,38824,5,5,8,5.05
227284,38826,5,5,13,4.19
227284,38827,5,5,13,4.602
227285,27391,5,5,26,9.735
237196,39642,5,5,5,2.117
