node,layer,lat,lon,degree,geometry
764,5,55.75548,-6.28688,7,"-6.28688, 55.75548"
765,5,55.73488,-6.23673,4,"-6.23673, 55.73488"
767,5,55.63443,-6.19548,6,"-6.19548, 55.63443"
769,5,55.68695,-6.22289,4,"-6.22289, 55.68695"
770,5,55.64242,-6.11027,2,"-6.11027, 55.64242"
771,5,55.62927,-6.18267,4,"-6.18267, 55.62927"
772,5,55.63566,-6.12737,4,"-6.12737, 55.63566"
1130,5,56.53153,-5.97605,4,"-5.97605, 56.53153"
4014,5,55.84769,-6.10508,16,"-6.10508, 55.84769"
4846,5,56.4887,-6.87958,6,"-6.87958, 56.4887"
7940,5,55.73608,-6.38278,4,"-6.38278, 55.73608"
10032,5,56.4123,-5.75465,4,"-5.75465, 56.4123"
10034,5,56.47078,-5.70654,12,"-5.70654, 56.47078"
11086,5,56.52307,-6.91751,4,"-6.91751, 56.52307"
12417,5,56.32543,-6.36856,12,"-6.36856, 56.32543"
12419,5,56.51472,-5.81032,10,"-5.81032, 56.51472"
16045,5,55.76524,-6.36238,4,"-6.36238, 55.76524"
19761,5,55.76388,-6.36256,4,"-6.36256, 55.76388"
19762,5,55.67758,-6.50813,8,"-6.50813, 55.67758"
19765,5,55.78112,-6.24941,7,"-6.24941, 55.78112"
19766,5,55.73853,-6.37898,4,"-6.37898, 55.73853"
19767,5,55.74228,-6.37791,4,"-6.37791, 55.74228"
19768,5,55.70988,-6.41689,6,"-6.41689, 55.70988"
27391,5,55.93793,-5.85399,4,"-5.85399, 55.93793"
28654,5,56.52128,-6.85562,6,"-6.85562, 56.52128"
28655,5,56.5109,-6.88576,4,"-6.88576, 56.5109"
28660,5,56.51314,-6.94937,4,"-6.94937, 56.51314"
29278,5,56.62091,-6.07276,9,"-6.07276, 56.62091"
29280,5,56.56244,-5.99029,7,"-5.99029, 56.56244"
29281,5,56.6187,-6.07306,10,"-6.07306, 56.6187"
29282,5,56.49438,-5.98665,2,"-5.98665, 56.49438"
29283,5,56.51714,-5.94513,6,"-5.94513, 56.51714"
29285,5,56.47532,-5.71657,4,"-5.71657, 56.47532"
30066,5,55.68061,-6.50615,4,"-6.50615, 55.68061"
37636,5,56.58291,-6.27182,4,"-6.27182, 56.58291"
38112,5,56.58927,-6.18491,4,"-6.18491, 56.58927"
38823,5,55.87889,-5.92691,10,"-5.92691, 55.87889"
38824,5,55.80203,-6.01023,4,"-6.01023, 55.80203"
38825,5,55.85268,-6.11202,6,"-6.11202, 55.85268"
38826,5,55.84587,-6.11614,8,"-6.11614, 55.84587"
38827,5,55.84148,-6.12656,6,"-6.12656, 55.84148"
38828,5,55.83625,-6.13985,4,"-6.13985, 55.83625"
38829,5,55.81911,-6.15926,4,"-6.15926, 55.81911"
38830,5,55.81664,-6.16524,4,"-6.16524, 55.81664"
39532,5,56.50326,-6.8074,8,"-6.8074, 56.50326"
39642,5,56.46793,-6.89695,8,"-6.89695, 56.46793"
39812,5,56.54141,-6.74493,2,"-6.74493, 56.54141"
40067,5,56.48354,-6.90673,4,"-6.90673, 56.48354"
40076,5,56.52257,-6.80761,6,"-6.80761, 56.52257"
40085,5,56.48035,-6.94867,4,"-6.94867, 56.48035"
40244,5,56.48408,-6.97361,4,"-6.97361, 56.48408"
40304,5,56.31601,-6.23531,4,"-6.23531, 56.31601"
40621,5,56.39134,-5.97732,4,"-5.97732, 56.39134"
41460,5,56.41447,-5.84424,4,"-5.84424, 56.41447"
43774,5,56.53271,-6.77339,4,"-6.77339, 56.53271"
44313,5,56.51752,-5.94965,6,"-5.94965, 56.51752"
48232,5,56.61596,-6.08676,5,"-6.08676, 56.61596"
48332,5,55.6856,-6.2471,12,"-6.2471, 55.6856"
50481,5,56.43724,-5.68683,4,"-5.68683, 56.43724"
51837,5,56.51138,-6.90288,4,"-6.90288, 56.51138"
51838,5,56.50879,-6.9319,4,"-6.9319, 56.50879"
53545,5,55.87714,-5.91209,2,"-5.91209, 55.87714"
59815,5,56.57695,-6.27755,2,"-6.27755, 56.57695"
80751,5,56.45751,-6.93911,2,"-6.93911, 56.45751"
80752,5,56.47363,-6.90897,4,"-6.90897, 56.47363"
121192,5,55.67992,-6.5093,2,"-6.5093, 55.67992"
170420,5,56.62083,-6.07042,6,"-6.07042, 56.62083"
186146,5,56.6232,-6.07037,5,"-6.07037, 56.6232"
186147,5,56.6236,-6.06883,5,"-6.06883, 56.6236"
186148,5,56.61982,-6.07504,4,"-6.07504, 56.61982"
195854,5,55.92647,-5.86759,2,"-5.86759, 55.92647"
227283,5,55.83291,-5.95077,4,"-5.95077, 55.83291"
227284,5,55.88292,-6.12906,4,"-6.12906, 55.88292"
227285,5,56.01605,-5.78276,2,"-5.78276, 56.01605"
237196,5,56.44891,-6.89436,2,"-6.89436, 56.44891"
