ori_node,des_node,ori_layer,des_layer,minutes,km
7,11913,5,5,1,0.464
7,77687,5,5,1,0.404
21,5272,5,5,1,0.413
21,10247,5,5,1,0.25
59,2838,5,5,1,0.269
59,37479,5,5,5,2.963
267,3988,5,5,1,1.251
267,21670,5,5,1,0.169
768,5385,5,5,2,2.481
768,15705,5,5,1,0.428
768,19032,5,5,1,1.205
888,27961,5,5,1,0.449
888,35850,5,5,1,0.743
892,27961,5,5,2,1.465
892,38074,5,5,1,0.477
978,18361,5,5,1,0.37
978,29494,5,5,1,0.367
980,1575,5,5,1,0.213
980,39982,5,5,1,0.144
980,45358,5,5,1,0.213
1061,1844,5,5,1,0.33
1061,18923,5,5,1,0.388
1315,27689,5,5,1,0.897
1315,30705,5,5,1,1.261
1315,158439,5,5,1,0.953
1315,253433,5,5,1,1.291
1365,1844,5,5,1,0.571
1365,27056,5,5,1,0.235
1554,7788,5,5,1,0.343
1554,9531,5,5,1,1.105
1575,980,5,5,1,0.213
1575,45358,5,5,1,0.229
1575,48426,5,5,1,0.393
1705,7238,5,5,1,0.257
1705,24594,5,5,1,1.131
1705,32931,5,5,1,1
1705,36203,5,5,1,0.723
1705,45966,5,5,1,0.433
1705,51462,5,5,1,0.37
1726,29604,5,5,1,0.452
1726,33447,5,5,1,0.311
1726,49318,5,5,1,0.487
1836,3174,5,5,1,0.462
1836,24722,5,5,1,0.296
1844,1061,5,5,1,0.33
1844,1365,5,5,1,0.571
2320,11689,5,5,1,0.384
2320,14538,5,5,1,0.328
2689,15614,5,5,1,0.648
2689,32671,5,5,2,0.938
2838,59,5,5,1,0.269
2838,37033,5,5,1,0.799
3083,29494,5,5,1,0.5
3083,30312,5,5,1,0.49
3174,1836,5,5,1,0.462
3174,217231,5,5,1,0.563
3321,5385,5,5,1,1.985
3321,90336,5,5,1,0.752
3555,19017,5,5,2,0.481
3555,44498,5,5,1,0.203
3988,267,5,5,1,1.251
3988,20912,5,5,1,0.495
4024,15481,5,5,2,0.535
4024,32671,5,5,1,0.811
4024,39982,5,5,1,0.33
4024,49350,5,5,1,0.699
4110,9894,5,5,2,1.858
