node,layer,lat,lon,degree,geometry
7,5,51.41801,-1.26289,4,"-1.26289, 51.41801"
21,5,51.40161,-1.24141,4,"-1.24141, 51.40161"
59,5,51.46159,-1.31614,4,"-1.31614, 51.46159"
267,5,51.5107,-1.36301,4,"-1.36301, 51.5107"
768,5,51.47453,-1.44943,6,"-1.44943, 51.47453"
888,5,51.44026,-1.33402,4,"-1.33402, 51.44026"
892,5,51.4231,-1.3314,4,"-1.3314, 51.4231"
978,5,51.40371,-1.26272,5,"-1.26272, 51.40371"
980,5,51.39774,-1.25928,6,"-1.25928, 51.39774"
1061,5,51.48413,-1.36898,4,"-1.36898, 51.48413"
1315,5,51.37202,-1.29748,6,"-1.29748, 51.37202"
1365,5,51.47816,-1.36252,4,"-1.36252, 51.47816"
1554,5,51.37498,-1.45532,4,"-1.45532, 51.37498"
1575,5,51.39937,-1.26092,6,"-1.26092, 51.39937"
1705,5,51.40488,-1.32477,11,"-1.32477, 51.40488"
1726,5,51.40152,-1.27521,6,"-1.27521, 51.40152"
1836,5,51.48196,-1.247,4,"-1.247, 51.48196"
1844,5,51.48116,-1.36924,4,"-1.36924, 51.48116"
2320,5,51.51376,-1.24744,4,"-1.24744, 51.51376"
2689,5,51.38611,-1.24868,4,"-1.24868, 51.38611"
2838,5,51.46401,-1.31647,4,"-1.31647, 51.46401"
3083,5,51.40541,-1.2749,4,"-1.2749, 51.40541"
3174,5,51.47828,-1.25013,4,"-1.25013, 51.47828"
3321,5,51.46536,-1.4989,4,"-1.4989, 51.46536"
3555,5,51.39128,-1.31042,4,"-1.31042, 51.39128"
3988,5,51.51219,-1.38096,4,"-1.38096, 51.51219"
4024,5,51.39556,-1.25458,7,"-1.25458, 51.39556"
4110,5,51.39263,-1.49574,5,"-1.49574, 51.39263"
4353,5,51.40642,-1.33324,6,"-1.33324, 51.40642"
4389,5,51.40944,-1.27275,4,"-1.27275, 51.40944"
4813,5,51.43064,-1.14551,4,"-1.14551, 51.43064"
4993,5,51.40828,-1.5165,19,"-1.5165, 51.40828"
5206,5,51.39653,-1.33051,6,"-1.33051, 51.39653"
5272,5,51.40369,-1.24636,6,"-1.24636, 51.40369"
5385,5,51.45767,-1.47298,12,"-1.47298, 51.45767"
5414,5,51.41628,-1.1615,5,"-1.1615, 51.41628"
5608,5,51.40882,-1.52101,6,"-1.52101, 51.40882"
5720,5,51.40457,-1.29623,13,"-1.29623, 51.40457"
6015,5,51.38789,-1.33999,4,"-1.33999, 51.38789"
6373,5,51.40977,-1.51948,6,"-1.51948, 51.40977"
6536,5,51.41395,-1.43381,4,"-1.43381, 51.41395"
6706,5,51.39728,-1.20826,4,"-1.20826, 51.39728"
6716,5,51.37516,-1.22427,5,"-1.22427, 51.37516"
6773,5,51.47508,-1.31596,4,"-1.31596, 51.47508"
6815,5,51.38222,-1.34042,6,"-1.34042, 51.38222"
6972,5,51.41449,-1.37254,4,"-1.37254, 51.41449"
7045,5,51.41475,-1.5412,4,"-1.5412, 51.41475"
7119,5,51.41023,-1.34519,11,"-1.34519, 51.41023"
7157,5,51.40625,-1.27702,4,"-1.27702, 51.40625"
7238,5,51.40257,-1.32439,9,"-1.32439, 51.40257"
7273,5,51.3738,-1.4675,4,"-1.4675, 51.3738"
7343,5,51.41076,-1.52025,4,"-1.52025, 51.41076"
7489,5,51.42342,-1.18038,10,"-1.18038, 51.42342"
7788,5,51.3726,-1.45849,4,"-1.45849, 51.3726"
8409,5,51.39775,-1.22128,4,"-1.22128, 51.39775"
8573,5,51.39846,-1.3078,14,"-1.3078, 51.39846"
8951,5,51.48282,-1.31921,4,"-1.31921, 51.48282"
9424,5,51.44726,-1.40073,4,"-1.40073, 51.44726"
9483,5,51.49609,-1.39894,4,"-1.39894, 51.49609"
9520,5,51.41407,-1.3108,4,"-1.3108, 51.41407"
9531,5,51.38386,-1.4481,4,"-1.4481, 51.38386"
9603,5,51.49036,-1.49511,4,"-1.49511, 51.49036"
9640,5,51.45891,-1.26686,4,"-1.26686, 51.45891"
9654,5,51.37287,-1.27961,8,"-1.27961, 51.37287"
9706,5,51.38976,-1.37559,6,"-1.37559, 51.38976"
9787,5,51.42546,-1.16472,4,"-1.16472, 51.42546"
9788,5,51.42584,-1.165,8,"-1.165, 51.42584"
9894,5,51.40513,-1.51358,6,"-1.51358, 51.40513"
9908,5,51.40372,-1.2498,8,"-1.2498, 51.40372"
9961,5,51.41491,-1.51229,54,"-1.51229, 51.41491"
10003,5,51.48605,-1.33601,4,"-1.33601, 51.48605"
10115,5,51.39139,-1.33931,6,"-1.33931, 51.39139"
10247,5,51.40029,-1.23847,4,"-1.23847, 51.40029"
10283,5,51.37075,-1.27742,8,"-1.27742, 51.37075"
10366,5,51.40094,-1.2527,6,"-1.2527, 51.40094"
10387,5,51.40142,-1.23521,5,"-1.23521, 51.40142"
10479,5,51.38267,-1.33551,6,"-1.33551, 51.38267"
10689,5,51.49461,-1.50492,6,"-1.50492, 51.49461"
11298,5,51.4141,-1.22387,4,"-1.22387, 51.4141"
11620,5,51.44329,-1.43084,4,"-1.43084, 51.44329"
11689,5,51.51604,-1.25163,4,"-1.25163, 51.51604"
11841,5,51.39895,-1.33158,4,"-1.33158, 51.39895"
11913,5,51.41383,-1.26298,4,"-1.26298, 51.41383"
12534,5,51.47964,-1.31884,4,"-1.31884, 51.47964"
13170,5,51.50193,-1.51945,4,"-1.51945, 51.50193"
13173,5,51.40537,-1.31325,4,"-1.31325, 51.40537"
13746,5,51.43589,-1.28459,4,"-1.28459, 51.43589"
13918,5,51.4066,-1.29872,4,"-1.29872, 51.4066"
14201,5,51.46959,-1.51003,4,"-1.51003, 51.46959"
14445,5,51.51578,-1.25563,4,"-1.25563, 51.51578"
14538,5,51.51311,-1.2428,4,"-1.2428, 51.51311"
14729,5,51.37547,-1.22889,4,"-1.22889, 51.37547"
