ori_node,des_node,ori_layer,des_layer,minutes,km
194,21956,3,3,3,1.606
194,30086,3,3,3,2.022
844,17736,3,3,5,3.662
844,20998,3,3,2,1.573
1163,9011,3,3,1,1.297
1163,12626,3,3,1,1.042
2793,13509,3,3,1,0.73
2793,26344,3,3,2,1.21
4384,5080,3,3,1,0.634
4384,7436,3,3,2,0.476
4384,22509,3,3,1,0.569
4384,42427,3,3,1,0.424
5080,4384,3,3,1,0.634
5080,31544,3,3,1,1.155
7436,4384,3,3,2,0.476
8995,17736,3,3,2,0.847
8995,38290,3,3,1,1.001
9007,16549,3,3,1,0.855
9007,35000,3,3,2,0.895
9011,1163,3,3,2,1.297
9011,41082,3,3,2,1.325
11341,13621,3,3,1,0.844
11341,30353,3,3,2,1.122
11979,13621,3,3,1,0.621
11979,41569,3,3,2,1.305
12626,1163,3,3,2,1.042
12626,29288,3,3,1,0.632
13509,2793,3,3,1,0.73
13509,30353,3,3,1,0.641
13621,11341,3,3,1,0.844
13621,11979,3,3,1,0.621
16549,9007,3,3,1,0.855
16549,49608,3,3,2,1.763
17736,844,3,3,4,3.662
17736,8995,3,3,2,0.847
17736,25926,3,3,3,2.915
20998,844,3,3,2,1.573
21044,33679,3,3,1,0.837
21044,42949,3,3,1,0.796
21083,25276,3,3,2,1.416
21083,49608,3,3,2,1.084
21956,194,3,3,3,1.606
21956,27855,3,3,2,1.29
22509,4384,3,3,1,0.569
22509,35000,3,3,2,1.647
25276,21083,3,3,2,1.416
25276,50616,3,3,2,1.362
25926,17736,3,3,4,2.915
25926,41749,3,3,2,1.761
26344,2793,3,3,1,1.21
26344,42427,3,3,1,0.817
27855,21956,3,3,2,1.29
27855,50616,3,3,1,0.614
28163,41570,3,3,2,1.106
28207,34186,3,3,2,1.866
28207,44398,3,3,1,1.08
29288,12626,3,3,1,0.632
29288,41749,3,3,2,1.902
29968,31544,3,3,1,1.085
29968,38290,3,3,1,1.197
30086,194,3,3,2,2.022
30086,31347,3,3,1,0.689
30353,11341,3,3,2,1.122
30353,13509,3,3,1,0.641
30353,33679,3,3,2,1.117
31347,30086,3,3,1,0.689
31347,44398,3,3,1,1.127
31544,5080,3,3,1,1.155
31544,29968,3,3,1,1.085
33679,21044,3,3,1,0.837
33679,30353,3,3,2,1.117
34186,28207,3,3,2,1.866
34186,35437,3,3,2,1.129
35000,9007,3,3,2,0.895
35000,22509,3,3,2,1.647
35007,41569,3,3,1,0.829
35007,41570,3,3,2,2.237
35437,34186,3,3,2,1.129
35437,50440,3,3,2,1.577
38290,8995,3,3,1,1.001
38290,29968,3,3,1,1.197
41082,9011,3,3,2,1.325
41569,11979,3,3,2,1.305
41569,35007,3,3,2,0.829
41570,28163,3,3,3,1.106
41570,35007,3,3,2,2.237
41749,25926,3,3,3,1.761
41749,29288,3,3,2,1.902
42427,4384,3,3,2,0.424
42427,26344,3,3,1,0.817
42949,21044,3,3,1,0.796
42949,50440,3,3,2,2.053
44398,28207,3,3,2,1.08
44398,31347,3,3,1,1.127
49608,16549,3,3,2,1.763
49608,21083,3,3,1,1.084
50440,35437,3,3,3,1.577
50440,42949,3,3,2,2.053
50616,25276,3,3,2,1.362
50616,27855,3,3,1,0.614
