node,layer,lat,lon,degree,geometry
412,5,54.90053,-4.37913,13,"-4.37913, 54.90053"
1858,5,54.85005,-4.31211,8,"-4.31211, 54.85005"
1944,5,54.71359,-4.42737,4,"-4.42737, 54.71359"
1947,5,54.71878,-4.4533,6,"-4.4533, 54.71878"
2002,5,54.71284,-4.40341,4,"-4.40341, 54.71284"
2146,5,54.94723,-4.507,4,"-4.507, 54.94723"
2251,5,54.81332,-4.40821,4,"-4.40821, 54.81332"
2253,5,54.75681,-4.43515,4,"-4.43515, 54.75681"
2254,5,54.79138,-4.41187,5,"-4.41187, 54.79138"
2257,5,54.73233,-4.41602,4,"-4.41602, 54.73233"
2305,5,54.99141,-4.53033,6,"-4.53033, 54.99141"
2882,5,54.96018,-4.47454,6,"-4.47454, 54.96018"
2897,5,54.89216,-4.38469,5,"-4.38469, 54.89216"
2969,5,54.87533,-4.37019,7,"-4.37019, 54.87533"
4395,5,54.93271,-4.59317,4,"-4.59317, 54.93271"
8890,5,54.88195,-4.17497,4,"-4.17497, 54.88195"
8896,5,54.87304,-4.19669,4,"-4.19669, 54.87304"
8917,5,54.86479,-4.2271,4,"-4.2271, 54.86479"
8925,5,54.87029,-4.21392,4,"-4.21392, 54.87029"
8993,5,54.89834,-4.46586,4,"-4.46586, 54.89834"
9135,5,54.8811,-4.18592,12,"-4.18592, 54.8811"
9426,5,54.92068,-4.39639,4,"-4.39639, 54.92068"
10436,5,54.96688,-4.48894,6,"-4.48894, 54.96688"
10589,5,54.95155,-4.49468,6,"-4.49468, 54.95155"
11872,5,54.78179,-4.61441,4,"-4.61441, 54.78179"
11873,5,54.73642,-4.55246,4,"-4.55246, 54.73642"
11875,5,54.76561,-4.58549,6,"-4.58549, 54.76561"
12362,5,54.84388,-4.27995,5,"-4.27995, 54.84388"
13056,5,54.96072,-4.47717,7,"-4.47717, 54.96072"
13252,5,54.95498,-4.44791,4,"-4.44791, 54.95498"
13254,5,54.94172,-4.41818,8,"-4.41818, 54.94172"
13261,5,54.78955,-4.37212,8,"-4.37212, 54.78955"
13290,5,54.817,-4.48636,4,"-4.48636, 54.817"
13806,5,54.72238,-4.49862,4,"-4.49862, 54.72238"
15219,5,54.85289,-4.25291,4,"-4.25291, 54.85289"
15631,5,54.96058,-4.48047,7,"-4.48047, 54.96058"
17028,5,54.82172,-4.43413,4,"-4.43413, 54.82172"
17097,5,54.97524,-4.52355,4,"-4.52355, 54.97524"
17111,5,55.05687,-4.58501,8,"-4.58501, 55.05687"
18040,5,54.92037,-4.64537,4,"-4.64537, 54.92037"
18827,5,54.96426,-4.48254,4,"-4.48254, 54.96426"
18910,5,55.05463,-4.58582,4,"-4.58582, 55.05463"
19212,5,54.85802,-4.45904,5,"-4.45904, 54.85802"
