node,layer,lat,lon,degree,geometry
262,5,52.48508,-3.43696,19,"-3.43696, 52.48508"
16915,5,52.65751,-3.13987,16,"-3.13987, 52.65751"
20894,5,52.40627,-3.60577,17,"-3.60577, 52.40627"
27999,5,52.70583,-3.0349,14,"-3.0349, 52.70583"
28050,5,52.6516,-3.32288,7,"-3.32288, 52.6516"
29495,5,52.69506,-3.06917,12,"-3.06917, 52.69506"
35425,5,52.5828,-3.19105,22,"-3.19105, 52.5828"
41345,5,52.51233,-3.3114,30,"-3.3114, 52.51233"
51876,5,52.70483,-3.32193,3,"-3.32193, 52.70483"
51878,5,52.47757,-3.24088,2,"-3.24088, 52.47757"
51879,5,52.50158,-3.25766,5,"-3.25766, 52.50158"
51880,5,52.47788,-3.2407,2,"-3.2407, 52.47788"
53155,5,52.43765,-3.5232,2,"-3.5232, 52.43765"
53887,5,52.66563,-3.30197,5,"-3.30197, 52.66563"
54106,5,52.53156,-3.04122,3,"-3.04122, 52.53156"
56570,5,52.733,-2.9972,2,"-2.9972, 52.733"
58706,5,52.71578,-3.12317,3,"-3.12317, 52.71578"
61477,5,52.45482,-3.47782,2,"-3.47782, 52.45482"
61600,5,52.50572,-3.3385,12,"-3.3385, 52.50572"
61628,5,52.66138,-3.15031,3,"-3.15031, 52.66138"
64260,5,52.64872,-3.32504,3,"-3.32504, 52.64872"
64261,5,52.65167,-3.19727,3,"-3.19727, 52.65167"
64262,5,52.65162,-3.19709,3,"-3.19709, 52.65162"
67788,5,52.52113,-3.31679,2,"-3.31679, 52.52113"
68785,5,52.51759,-3.3173,3,"-3.3173, 52.51759"
68786,5,52.54988,-3.0522,3,"-3.0522, 52.54988"
68792,5,52.5189,-3.31273,3,"-3.31273, 52.5189"
68793,5,52.52201,-3.31045,4,"-3.31045, 52.52201"
69200,5,52.51523,-3.31747,19,"-3.31747, 52.51523"
69374,5,52.51184,-3.32476,2,"-3.32476, 52.51184"
69464,5,52.67666,-3.43049,5,"-3.43049, 52.67666"
69466,5,52.71036,-3.25297,5,"-3.25297, 52.71036"
71119,5,52.66463,-3.14306,2,"-3.14306, 52.66463"
71122,5,52.65823,-3.14415,2,"-3.14415, 52.65823"
71123,5,52.65463,-3.14784,2,"-3.14784, 52.65463"
71124,5,52.666,-3.14237,2,"-3.14237, 52.666"
72605,5,52.737,-3.09763,2,"-3.09763, 52.737"
72968,5,52.51059,-3.32909,2,"-3.32909, 52.51059"
72969,5,52.51272,-3.31682,9,"-3.31682, 52.51272"
80802,5,52.52321,-3.00803,6,"-3.00803, 52.52321"
82488,5,52.71146,-3.24986,4,"-3.24986, 52.71146"
82508,5,52.69346,-3.16804,5,"-3.16804, 52.69346"
85190,5,52.56953,-3.21199,4,"-3.21199, 52.56953"
87097,5,52.74228,-3.03574,4,"-3.03574, 52.74228"
87098,5,52.66567,-3.30208,4,"-3.30208, 52.66567"
87100,5,52.64806,-3.32628,3,"-3.32628, 52.64806"
87101,5,52.65315,-3.3462,2,"-3.3462, 52.65315"
87304,5,52.43016,-3.70724,2,"-3.70724, 52.43016"
87889,5,52.68661,-3.46387,3,"-3.46387, 52.68661"
87895,5,52.71045,-3.25295,7,"-3.25295, 52.71045"
88273,5,52.41025,-3.62938,2,"-3.62938, 52.41025"
88274,5,52.41733,-3.65697,2,"-3.65697, 52.41733"
88277,5,52.38219,-3.60036,2,"-3.60036, 52.38219"
88585,5,52.50721,-3.33205,6,"-3.33205, 52.50721"
88614,5,52.5622,-3.297,2,"-3.297, 52.5622"
88620,5,52.64791,-3.32584,5,"-3.32584, 52.64791"
90102,5,52.51591,-3.3044,10,"-3.3044, 52.51591"
90173,5,52.51843,-3.3144,3,"-3.3144, 52.51843"
90208,5,52.51836,-3.31444,4,"-3.31444, 52.51836"
90232,5,52.51779,-3.30624,4,"-3.30624, 52.51779"
90419,5,52.53983,-3.07267,7,"-3.07267, 52.53983"
95199,5,52.59005,-3.14177,2,"-3.14177, 52.59005"
95972,5,52.50683,-3.32987,2,"-3.32987, 52.50683"
