node,layer,lat,lon,degree,geometry
8860,5,54.37724,-1.63092,15,"-1.63092, 54.37724"
20147,5,54.33308,-1.44128,26,"-1.44128, 54.33308"
30188,5,54.22822,-1.37259,18,"-1.37259, 54.22822"
53062,5,54.267,-1.74179,3,"-1.74179, 54.267"
53063,5,54.26691,-1.74162,3,"-1.74162, 54.26691"
55672,5,54.18088,-1.17263,2,"-1.17263, 54.18088"
55675,5,54.16263,-1.16351,2,"-1.16351, 54.16263"
58612,5,54.30814,-2.10322,10,"-2.10322, 54.30814"
59517,5,54.39063,-1.65206,7,"-1.65206, 54.39063"
59518,5,54.39077,-1.65232,2,"-1.65232, 54.39077"
59519,5,54.429,-1.63669,2,"-1.63669, 54.429"
59520,5,54.39594,-1.61633,5,"-1.61633, 54.39594"
59521,5,54.39315,-1.65378,7,"-1.65378, 54.39315"
59522,5,54.42938,-1.63711,3,"-1.63711, 54.42938"
59523,5,54.39646,-1.61442,8,"-1.61442, 54.39646"
60805,5,54.18574,-1.34101,3,"-1.34101, 54.18574"
60806,5,54.18585,-1.34097,3,"-1.34097, 54.18585"
60807,5,54.1506,-1.28837,2,"-1.28837, 54.1506"
60856,5,54.45478,-1.7844,3,"-1.7844, 54.45478"
60858,5,54.45293,-1.73334,3,"-1.73334, 54.45293"
60859,5,54.45498,-1.78446,3,"-1.78446, 54.45498"
61057,5,54.23356,-1.34509,3,"-1.34509, 54.23356"
61641,5,54.413,-1.7312,2,"-1.7312, 54.413"
65134,5,54.17874,-1.27392,2,"-1.27392, 54.17874"
65805,5,54.31527,-1.89258,2,"-1.89258, 54.31527"
65807,5,54.20424,-1.58889,5,"-1.58889, 54.20424"
66750,5,54.38088,-1.69201,2,"-1.69201, 54.38088"
67459,5,54.3896,-1.94268,2,"-1.94268, 54.3896"
69102,5,54.40895,-1.72833,2,"-1.72833, 54.40895"
69103,5,54.40945,-1.72694,4,"-1.72694, 54.40945"
69104,5,54.41033,-1.7255,4,"-1.7255, 54.41033"
69105,5,54.41027,-1.72539,3,"-1.72539, 54.41027"
69106,5,54.41339,-1.72123,4,"-1.72123, 54.41339"
69107,5,54.41104,-1.71659,2,"-1.71659, 54.41104"
69108,5,54.41094,-1.71571,2,"-1.71571, 54.41094"
69109,5,54.41068,-1.71682,2,"-1.71682, 54.41068"
69110,5,54.40832,-1.71847,2,"-1.71847, 54.40832"
74529,5,54.33519,-1.42095,2,"-1.42095, 54.33519"
75226,5,54.21949,-1.5757,2,"-1.5757, 54.21949"
77073,5,54.46625,-1.78383,8,"-1.78383, 54.46625"
77074,5,54.46632,-1.78366,4,"-1.78366, 54.46632"
77075,5,54.45034,-1.76809,8,"-1.76809, 54.45034"
77076,5,54.45284,-1.77704,6,"-1.77704, 54.45284"
77077,5,54.38134,-1.9293,3,"-1.9293, 54.38134"
77078,5,54.38145,-1.92927,4,"-1.92927, 54.38145"
77079,5,54.40358,-2.1669,2,"-2.1669, 54.40358"
77080,5,54.37936,-2.16826,2,"-2.16826, 54.37936"
77081,5,54.37615,-2.13952,2,"-2.13952, 54.37615"
77082,5,54.37929,-2.07706,4,"-2.07706, 54.37929"
78124,5,54.37924,-2.16842,3,"-2.16842, 54.37924"
78812,5,54.41165,-1.72048,3,"-1.72048, 54.41165"
78813,5,54.41779,-1.69471,2,"-1.69471, 54.41779"
78814,5,54.41222,-1.72878,3,"-1.72878, 54.41222"
78816,5,54.4119,-1.73214,2,"-1.73214, 54.4119"
78817,5,54.4106,-1.72588,3,"-1.72588, 54.4106"
78818,5,54.40949,-1.7301,2,"-1.7301, 54.40949"
